,,,,,,,,,Standard,,,,,,,,,,,,Expected,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
41,Kevin Akpoguma\Kevin-Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,24,1995,12.7,0.00,0.16,0.00,0.0,0.16,0.00,0.00,,18.7,0.00,0.00,0.00,0.01,0.01,0.06,-0.01,-0.01,Matches
42,David Alaba\David-Alaba,at AUT,DF,Bayern Munich,de Bundesliga,27,1992,27.8,0.04,0.65,0.25,38.9,0.65,0.25,0.06,0.14,25.6,0.22,0.00,0.00,0.03,0.03,0.04,0.01,0.01,Matches
43,Sofiane Alakouch\Sofiane-Alakouch,fr FRA,DF,Nîmes,fr Ligue 1,21,1998,15.6,0.00,0.64,0.26,40.0,0.64,0.26,0.00,0.00,19.7,0.00,0.00,0.00,0.04,0.04,0.06,-0.04,-0.04,Matches
44,Lucas Alario\Lucas-Alario,ar ARG,FW,Leverkusen,de Bundesliga,26,1992,13.0,0.54,3.62,1.38,38.3,3.60,1.38,0.13,0.33,11.7,0.00,0.08,0.08,0.55,0.48,0.13,-0.01,-0.02,Matches
45,Jordi Alba\Jordi-Alba,es ESP,DF,Barcelona,es La Liga,30,1989,24.3,0.08,0.29,0.12,42.9,0.29,0.12,0.29,0.67,16.0,0.00,0.00,0.00,0.05,0.05,0.15,0.04,0.04,Matches
46,Luis Alberto\Luis-Alberto,es ESP,MF,Lazio,it Serie A,26,1992,34.6,0.17,2.86,0.78,27.3,2.86,0.78,0.05,0.19,20.6,0.32,0.03,0.03,0.21,0.18,0.06,-0.03,-0.04,Matches
47,Raúl Albiol\Raul-Albiol,es ESP,DF,Villarreal,es La Liga,33,1985,36.0,0.03,0.39,0.11,28.6,0.39,0.11,0.07,0.25,10.5,0.00,0.00,0.00,0.04,0.04,0.10,-0.01,-0.01,Matches
48,Marc Albrighton\Marc-Albrighton,eng ENG,MFDF,Leicester City,eng Premier League,29,1989,9.6,0.00,1.04,0.21,20.0,1.04,0.21,0.00,0.00,20.7,0.00,0.00,0.00,0.06,0.06,0.06,-0.06,-0.06,Matches
49,Paco Alcácer\Paco-Alcacer,es ESP,FW,Villarreal,es La Liga,25,1993,10.3,0.39,2.43,0.78,32.0,2.44,0.78,0.16,0.50,16.3,0.10,0.00,0.00,0.31,0.31,0.13,0.08,0.08,Matches
50,Paco Alcácer\Paco-Alcacer,es ESP,FW,Dortmund,de Bundesliga,25,1993,5.9,0.85,2.54,1.19,46.7,2.55,1.19,0.33,0.71,12.1,0.00,0.00,0.00,0.64,0.64,0.25,0.20,0.20,Matches
