,,,,,,,,,Standard,,,,,,,,,,,,Expected,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1398,Iñigo Lekue\Inigo-Lekue,es ESP,FWDF,Athletic Club,es La Liga,26,1993,6.9,0.00,0.43,0.00,0.0,0.43,0.00,0.00,,18.0,0.00,0.00,0.00,0.03,0.03,0.05,-0.03,-0.03,Matches
1399,Nicolas Lemaître\Nicolas-Lemaitre,fr FRA,GK,Reims,fr Ligue 1,22,1997,1.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
1400,Thomas Lemar\Thomas-Lemar,fr FRA,MF,Atlético Madrid,es La Liga,23,1995,10.3,0.00,1.07,0.29,27.3,1.07,0.29,0.00,0.00,22.7,0.29,0.00,0.00,0.05,0.05,0.05,-0.05,-0.05,Matches
1401,Tim Lemperle\Tim-Lemperle,de GER,FWMF,Köln,de Bundesliga,17,2002,0.2,0.00,5.00,0.00,0.0,5.63,0.00,0.00,,11.0,0.00,0.00,0.00,0.50,0.50,0.08,-0.50,-0.50,Matches
1402,Clément Lenglet\Clement-Lenglet,fr FRA,DF,Barcelona,es La Liga,24,1995,26.9,0.07,0.37,0.11,30.0,0.37,0.11,0.20,0.67,13.9,0.00,0.00,0.00,0.03,0.03,0.09,0.04,0.04,Matches
1403,Aaron Lennon\Aaron-Lennon,eng ENG,MF,Burnley,eng Premier League,32,1987,5.5,0.00,0.18,0.00,0.0,0.18,0.00,0.00,,17.7,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,Matches
1404,Bernd Leno\Bernd-Leno,de GER,GK,Arsenal,eng Premier League,27,1992,29.4,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
1405,Christopher Lenz\Christopher-Lenz,de GER,DF,Union Berlin,de Bundesliga,24,1994,25.2,0.00,0.60,0.12,20.0,0.60,0.12,0.00,0.00,24.6,0.04,0.00,0.00,0.02,0.02,0.04,-0.02,-0.02,Matches
1406,Donovan Léon\Donovan-Leon,gf GUF,GK,Brest,fr Ligue 1,26,1992,1.4,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
1407,Pedro León\Pedro-Leon,es ESP,MFFW,Eibar,es La Liga,32,1986,21.1,0.05,1.80,0.66,36.8,1.80,0.66,0.03,0.07,20.0,0.28,0.00,0.00,0.14,0.14,0.08,-0.09,-0.09,Matches
1408,Sergio León\Sergio-Leon,es ESP,FW,Levante,es La Liga,30,1989,7.5,0.13,2.93,0.67,22.7,2.95,0.67,0.05,0.20,18.9,0.00,0.00,0.00,0.32,0.32,0.11,-0.19,-0.19,Matches
1409,Lukas Lerager\Lukas-Lerager,dk DEN,MF,Genoa,it Serie A,26,1993,15.4,0.06,0.91,0.32,35.7,0.91,0.32,0.07,0.20,14.6,0.00,0.00,0.00,0.08,0.08,0.09,-0.01,-0.01,Matches
1410,Mehdi Léris\Mehdi-Leris,fr FRA,MFFW,Sampdoria,it Serie A,21,1998,5.7,0.18,2.11,0.53,25.0,2.12,0.53,0.08,0.33,20.8,0.18,0.00,0.00,0.14,0.11,0.05,0.04,0.07,Matches
1411,Jefferson Lerma\Jefferson-Lerma,co COL,MF,Bournemouth,eng Premier League,24,1994,30.0,0.03,1.00,0.07,6.7,1.00,0.07,0.03,0.50,23.3,0.00,0.00,0.00,0.04,0.04,0.04,-0.01,-0.01,Matches
1412,Karlo Letica\Karlo-Letica,hr CRO,GK,SPAL,it Serie A,22,1997,10.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
1413,Robert Lewandowski\Robert-Lewandowski,pl POL,FW,Bayern Munich,de Bundesliga,30,1988,30.7,1.11,4.36,1.92,44.0,4.37,1.92,0.22,0.49,12.7,0.07,0.16,0.16,0.90,0.77,0.18,0.21,0.17,Matches
1414,Jamal Lewis\Jamal-Lewis,nir NIR,DF,Norwich City,eng Premier League,21,1998,25.6,0.04,0.35,0.16,44.4,0.35,0.16,0.11,0.25,22.6,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.02,Matches
1415,Aaron Leya Iseka\Aaron-Leya-Iseka,be BEL,FW,Toulouse,fr Ligue 1,21,1997,8.6,0.23,2.91,0.93,32.0,2.90,0.93,0.04,0.13,14.1,0.00,0.12,0.23,0.57,0.40,0.13,-0.34,-0.28,Matches
1416,Stephan Lichtsteiner\Stephan-Lichtsteiner,ch SUI,DF,Augsburg,de Bundesliga,35,1984,14.9,0.00,0.13,0.00,0.0,0.13,0.00,0.00,,27.0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,Matches
1417,Dimitri Liénard\Dimitri-Lienard,fr FRA,MF,Strasbourg,fr Ligue 1,31,1988,16.5,0.12,2.06,0.61,29.4,2.06,0.60,0.06,0.20,25.6,0.42,0.00,0.00,0.10,0.10,0.05,0.02,0.02,Matches
1418,Philipp Lienhart\Philipp-Lienhart,at AUT,DF,Freiburg,de Bundesliga,23,1996,20.2,0.00,0.35,0.10,28.6,0.35,0.10,0.00,0.00,20.7,0.00,0.00,0.00,0.05,0.05,0.15,-0.05,-0.05,Matches
1419,Matthijs de Ligt\Matthijs-de-Ligt,nl NED,DF,Juventus,it Serie A,19,1999,27.2,0.15,0.66,0.33,50.0,0.66,0.33,0.22,0.44,13.1,0.00,0.00,0.00,0.10,0.10,0.15,0.05,0.05,Matches
1420,Isaac Lihadji\Isaac-Lihadji,fr FRA,DFMF,Marseille,fr Ligue 1,17,2002,0.3,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
1421,Lillo\Lillo,es ESP,DF,Osasuna,es La Liga,30,1989,2.2,0.00,0.45,0.00,0.0,0.46,0.00,0.00,,20.0,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,Matches
1422,Anderson Lima\Anderson-Lima,br BRA,MF,Lazio,it Serie A,19,1999,0.7,0.00,7.14,2.86,40.0,7.26,2.90,0.00,0.00,22.1,0.00,0.00,0.00,0.14,0.14,0.03,-0.14,-0.14,Matches
1423,Lucas Lima\Lucas-Lima,br BRA,FWDF,Nantes,fr Ligue 1,27,1991,3.0,0.00,0.67,0.33,50.0,0.67,0.33,0.00,0.00,34.6,0.33,0.00,0.00,0.03,0.03,0.06,-0.03,-0.03,Matches
1424,Anthony Limbombe\Anthony-Limbombe,be BEL,FWMF,Nantes,fr Ligue 1,25,1994,1.7,0.59,1.18,0.59,50.0,1.19,0.60,0.50,1.00,11.0,0.00,0.00,0.00,0.18,0.18,0.15,0.41,0.41,Matches
1425,Victor Lindelöf\Victor-Lindelof,se SWE,DF,Manchester Utd,eng Premier League,25,1994,34.4,0.03,0.17,0.03,16.7,0.17,0.03,0.17,1.00,10.8,0.00,0.00,0.00,0.01,0.01,0.07,0.02,0.02,Matches
1426,Karol Linetty\Karol-Linetty,pl POL,MF,Sampdoria,it Serie A,24,1995,22.4,0.18,1.38,0.40,29.0,1.38,0.40,0.13,0.44,20.2,0.00,0.00,0.00,0.08,0.08,0.06,0.10,0.10,Matches
1427,Jesse Lingard\Jesse-Lingard,eng ENG,MFFW,Manchester Utd,eng Premier League,26,1992,10.4,0.10,2.12,0.58,27.3,2.12,0.58,0.05,0.17,17.9,0.00,0.00,0.00,0.26,0.26,0.12,-0.16,-0.16,Matches
1428,Pol Lirola\Pol-Lirola,es ESP,DF,Fiorentina,it Serie A,21,1997,29.4,0.00,0.78,0.27,34.8,0.78,0.27,0.00,0.00,18.2,0.00,0.00,0.00,0.05,0.05,0.07,-0.05,-0.05,Matches
1429,Diego Llorente\Diego-Llorente,es ESP,DF,Real Sociedad,es La Liga,25,1993,25.9,0.04,0.39,0.15,40.0,0.39,0.15,0.10,0.25,13.0,0.00,0.00,0.00,0.04,0.04,0.10,0.00,0.00,Matches
1430,Fernando Llorente\Fernando-Llorente,es ESP,FW,Napoli,it Serie A,34,1985,5.6,0.54,5.54,1.96,35.5,5.57,1.98,0.10,0.27,9.0,0.00,0.00,0.00,0.84,0.84,0.15,-0.30,-0.30,Matches
1431,Marcos Llorente\Marcos-Llorente,es ESP,MFFW,Atlético Madrid,es La Liga,24,1995,15.2,0.20,0.92,0.33,35.7,0.92,0.33,0.21,0.60,17.2,0.00,0.00,0.00,0.13,0.13,0.13,0.07,0.07,Matches
1432,Gautier Lloris\Gautier-Lloris,fr FRA,DF,Nice,fr Ligue 1,24,1995,3.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
1433,Hugo Lloris\Hugo-Lloris,fr FRA,GK,Tottenham,eng Premier League,32,1986,20.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
1434,Giovani Lo Celso\Giovani-Lo-Celso,ar ARG,MFFW,Tottenham,eng Premier League,23,1996,16.6,0.00,1.08,0.18,16.7,1.09,0.18,0.00,0.00,20.6,0.06,0.00,0.00,0.07,0.07,0.07,-0.07,-0.07,Matches
1435,Stanislav Lobotka\Stanislav-Lobotka,sk SVK,MF,Napoli,it Serie A,24,1994,8.4,0.00,0.24,0.00,0.0,0.24,0.00,0.00,,14.4,0.00,0.00,0.00,0.01,0.01,0.06,-0.01,-0.01,Matches
1436,Stanislav Lobotka\Stanislav-Lobotka,sk SVK,MF,Celta Vigo,es La Liga,24,1994,15.4,0.00,0.45,0.13,28.6,0.46,0.13,0.00,0.00,26.4,0.00,0.00,0.00,0.01,0.01,0.02,-0.01,-0.01,Matches
1437,Jürgen Locadia\Jurgen-Locadia,nl NED,FW,Hoffenheim,de Bundesliga,25,1993,5.9,0.68,3.05,1.69,55.6,3.06,1.70,0.17,0.30,13.7,0.00,0.17,0.17,0.51,0.37,0.12,0.17,0.14,Matches
1438,Jürgen Locadia\Jurgen-Locadia,nl NED,MFFW,Brighton,eng Premier League,25,1993,1.0,0.00,2.00,1.00,50.0,2.09,1.05,0.00,0.00,9.7,0.00,0.00,0.00,0.30,0.30,0.17,-0.30,-0.30,Matches
1439,Manuel Locatelli\Manuel-Locatelli,it ITA,MF,Sassuolo,it Serie A,21,1998,28.7,0.00,1.15,0.21,18.2,1.15,0.21,0.00,0.00,24.2,0.14,0.00,0.00,0.06,0.06,0.05,-0.06,-0.06,Matches
1440,Renan Lodi\Renan-Lodi,br BRA,DF,Atlético Madrid,es La Liga,21,1998,26.6,0.04,0.60,0.11,18.8,0.60,0.11,0.06,0.33,22.6,0.00,0.00,0.00,0.03,0.03,0.06,0.00,0.00,Matches
1441,Ruben Loftus-Cheek\Ruben-Loftus-Cheek,eng ENG,MFFW,Chelsea,eng Premier League,23,1996,2.3,0.00,1.74,0.00,0.0,1.73,0.00,0.00,,9.1,0.00,0.00,0.00,0.22,0.22,0.13,-0.22,-0.22,Matches
1442,Enzo Loiodice\Enzo-Loiodice,fr FRA,MF,Dijon,fr Ligue 1,18,2000,2.1,0.00,1.43,0.00,0.0,1.41,0.00,0.00,,25.4,0.00,0.00,0.00,0.05,0.05,0.02,-0.05,-0.05,Matches
1443,Kevin Long\Kevin-Long,ie IRL,DF,Burnley,eng Premier League,28,1990,6.3,0.00,0.32,0.00,0.0,0.32,0.00,0.00,,10.5,0.00,0.00,0.00,0.03,0.03,0.09,-0.03,-0.03,Matches
1444,Shane Long\Shane-Long,ie IRL,FW,Southampton,eng Premier League,32,1987,15.5,0.13,2.13,0.84,39.4,2.13,0.84,0.06,0.15,10.9,0.00,0.00,0.00,0.31,0.31,0.14,-0.18,-0.18,Matches
1445,Matthew Longstaff\Matthew-Longstaff,eng ENG,MF,Newcastle Utd,eng Premier League,19,2000,6.4,0.31,0.63,0.31,50.0,0.63,0.31,0.50,1.00,19.4,0.00,0.00,0.00,0.06,0.06,0.11,0.25,0.25,Matches
1446,Sean Longstaff\Sean-Longstaff,eng ENG,MF,Newcastle Utd,eng Premier League,21,1997,15.3,0.07,1.70,0.39,23.1,1.70,0.39,0.04,0.17,24.0,0.20,0.00,0.00,0.06,0.06,0.04,0.01,0.01,Matches
1447,Ademola Lookman\Ademola-Lookman,eng ENG,MFFW,RB Leipzig,de Bundesliga,21,1997,3.4,0.00,2.94,0.29,10.0,2.91,0.29,0.00,0.00,15.4,0.00,0.00,0.00,0.29,0.29,0.10,-0.29,-0.29,Matches
1448,Anthony Lopes\Anthony-Lopes,pt POR,GK,Lyon,fr Ligue 1,28,1990,26.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
1449,Rony Lopes\Rony-Lopes,pt POR,FW,Sevilla,es La Liga,23,1995,1.5,0.00,1.33,1.33,100.0,1.34,1.34,0.00,0.00,24.2,0.67,0.00,0.00,0.07,0.07,0.06,-0.07,-0.07,Matches
1450,Rony Lopes\Rony-Lopes,pt POR,FW,Monaco,fr Ligue 1,23,1995,0.9,0.00,2.22,0.00,0.0,2.25,0.00,0.00,,12.4,0.00,0.00,0.00,0.22,0.22,0.10,-0.22,-0.22,Matches
1451,Adrián López\Adrian-Lopez,es ESP,FWMF,Osasuna,es La Liga,31,1988,16.0,0.13,1.13,0.44,38.9,1.12,0.44,0.06,0.14,14.6,0.00,0.06,0.06,0.16,0.11,0.10,-0.04,-0.05,Matches
1452,David López\David-Lopez,es ESP,DFMF,Espanyol,es La Liga,29,1989,27.3,0.15,0.55,0.33,60.0,0.55,0.33,0.27,0.44,13.1,0.00,0.00,0.00,0.04,0.04,0.08,0.11,0.11,Matches
1453,Diego López\Diego-Lopez,es ESP,GK,Espanyol,es La Liga,37,1981,35.9,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
1454,Javi López\Javi-Lopez,es ESP,DF,Alavés,es La Liga,17,2002,1.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
1455,Javi López\Javi-Lopez,es ESP,DF,Espanyol,es La Liga,33,1986,15.4,0.00,0.19,0.00,0.0,0.20,0.00,0.00,,24.6,0.00,0.00,0.00,0.01,0.01,0.03,-0.01,-0.01,Matches
1456,Lluis López\Lluis-Lopez,es ESP,DF,Espanyol,es La Liga,22,1997,3.3,0.00,0.61,0.00,0.0,0.60,0.00,0.00,,11.0,0.00,0.00,0.00,0.03,0.03,0.07,-0.03,-0.03,Matches
1457,Maxime Lopez\Maxime-Lopez,fr FRA,MFFW,Marseille,fr Ligue 1,21,1997,12.3,0.00,0.89,0.16,18.2,0.89,0.16,0.00,0.00,20.0,0.00,0.00,0.00,0.07,0.07,0.07,-0.07,-0.07,Matches
1458,Pau López\Pau-Lopez,es ESP,GK,Roma,it Serie A,24,1994,32.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
1459,Roberto López\Roberto-Lopez,es ESP,MF,Real Sociedad,es La Liga,19,2000,0.6,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
1460,Unai López\Unai-Lopez,es ESP,MF,Athletic Club,es La Liga,23,1995,19.9,0.05,1.41,0.45,32.1,1.41,0.45,0.04,0.11,27.1,0.25,0.00,0.00,0.04,0.04,0.03,0.01,0.01,Matches
1461,Losada\Losada,es ESP,MFFW,Celta Vigo,es La Liga,17,2001,0.1,10.0,10.0,10.0,100.0,6.92,6.92,1.00,1.00,17.7,0.00,0.00,0.00,0.00,0.00,0.03,10.0,10.0,Matches
1462,Albert Lottin\Albert-Lottin,fr FRA,MF,Bordeaux,fr Ligue 1,17,2001,0.5,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
1463,Imran Louza\Imran-Louza,fr FRA,MFFW,Nantes,fr Ligue 1,20,1999,22.3,0.09,1.66,0.58,35.1,1.66,0.58,0.05,0.15,25.0,0.13,0.00,0.00,0.08,0.08,0.05,0.01,0.01,Matches
1464,Matteo Lovato\Matteo-Lovato,it ITA,DF,Hellas Verona,it Serie A,19,2000,0.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
1465,Dejan Lovren\Dejan-Lovren,hr CRO,DF,Liverpool,eng Premier League,30,1989,8.6,0.00,0.58,0.12,20.0,0.58,0.12,0.00,0.00,8.0,0.00,0.00,0.00,0.03,0.03,0.06,-0.03,-0.03,Matches
1466,Eduard Löwen\Eduard-Lowen,de GER,MFFW,Augsburg,de Bundesliga,22,1997,7.5,0.27,1.33,0.80,60.0,1.34,0.80,0.20,0.33,23.5,0.40,0.00,0.00,0.09,0.09,0.07,0.17,0.17,Matches
1467,Eduard Löwen\Eduard-Lowen,de GER,MF,Hertha BSC,de Bundesliga,22,1997,3.5,0.00,1.43,0.00,0.0,1.43,0.00,0.00,,27.5,0.57,0.00,0.00,0.06,0.06,0.04,-0.06,-0.06,Matches
1468,Matthew Lowton\Matthew-Lowton,eng ENG,DF,Burnley,eng Premier League,30,1989,17.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
1469,Hirving Lozano\Hirving-Lozano,mx MEX,FW,Napoli,it Serie A,24,1995,11.4,0.35,2.98,1.14,38.2,2.99,1.14,0.12,0.31,15.5,0.00,0.00,0.00,0.36,0.36,0.12,-0.01,-0.01,Matches
1470,Pol Lozano\Pol-Lozano,es ESP,MFFW,Espanyol,es La Liga,19,1999,1.9,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
1471,Jan Luca Rumpf\Jan-Luca-Rumpf,de GER,DF,Paderborn 07,de Bundesliga,20,1999,1.0,0.00,1.00,0.00,0.0,1.00,0.00,0.00,,15.0,0.00,0.00,0.00,0.10,0.10,0.09,-0.10,-0.10,Matches
1472,Lucas\Lucas,br BRA,MF,Hoffenheim,de Bundesliga,20,1999,0.7,1.43,1.43,1.43,100.0,1.38,1.38,1.00,1.00,2.0,0.00,0.00,0.00,0.71,0.71,0.52,0.71,0.71,Matches
1473,Jean Lucas\Jean-Lucas,br BRA,MF,Lyon,fr Ligue 1,21,1998,2.2,0.45,2.73,0.91,33.3,2.70,0.90,0.17,0.50,26.2,0.00,0.00,0.00,0.14,0.14,0.06,0.32,0.32,Matches
1474,Fabio Lucioni\Fabio-Lucioni,it ITA,DF,Lecce,it Serie A,31,1987,34.8,0.09,0.40,0.11,28.6,0.40,0.11,0.21,0.75,11.9,0.00,0.00,0.00,0.05,0.05,0.12,0.04,0.04,Matches
1475,José Luis Gayà\Jose-Luis-Gaya,es ESP,DF,Valencia,es La Liga,24,1995,22.1,0.00,0.41,0.09,22.2,0.41,0.09,0.00,0.00,18.3,0.00,0.00,0.00,0.02,0.02,0.06,-0.02,-0.02,Matches
1476,José Luis Morales\Jose-Luis-Morales,es ESP,FWMF,Levante,es La Liga,32,1987,28.0,0.14,1.39,0.50,35.9,1.39,0.50,0.10,0.29,16.9,0.00,0.00,0.00,0.17,0.17,0.12,-0.02,-0.02,Matches
1477,José Luis Palomino\Jose-Luis-Palomino,ar ARG,DF,Atalanta,it Serie A,29,1990,27.6,0.07,0.54,0.11,20.0,0.54,0.11,0.13,0.67,10.7,0.00,0.00,0.00,0.09,0.09,0.16,-0.01,-0.01,Matches
1478,José Luis Rodríguez\Jose-Luis-Rodriguez,pa PAN,FW,Alavés,es La Liga,21,1998,0.2,0.00,5.00,5.00,100.0,4.09,4.09,0.00,0.00,24.0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,Matches
1479,David Luiz\David-Luiz,br BRA,DF,Arsenal,eng Premier League,32,1987,31.2,0.06,0.74,0.22,30.4,0.74,0.22,0.09,0.29,20.1,0.22,0.00,0.00,0.06,0.06,0.08,0.00,0.00,Matches
1480,Douglas Luiz\Douglas-Luiz,br BRA,MF,Aston Villa,eng Premier League,21,1998,29.0,0.10,1.34,0.41,30.8,1.34,0.41,0.08,0.25,22.9,0.10,0.00,0.00,0.08,0.08,0.06,0.02,0.02,Matches
1481,Jordan Lukaku\Jordan-Lukaku,be BEL,DF,Lazio,it Serie A,25,1994,4.4,0.00,0.45,0.00,0.0,0.45,0.00,0.00,,19.5,0.00,0.00,0.00,0.02,0.02,0.04,-0.02,-0.02,Matches
1482,Romelu Lukaku\Romelu-Lukaku,be BEL,FW,Inter,it Serie A,26,1993,33.1,0.69,2.87,1.24,43.2,2.87,1.24,0.18,0.41,13.9,0.03,0.18,0.18,0.61,0.47,0.16,0.09,0.04,Matches
1483,Dodi Lukebakio\Dodi-Lukebakio,be BEL,FWMF,Hertha BSC,de Bundesliga,21,1997,22.6,0.31,1.68,0.80,47.4,1.68,0.80,0.18,0.39,16.3,0.09,0.00,0.00,0.27,0.27,0.16,0.04,0.04,Matches
1484,Saša Lukić\Sasa-Lukic,rs SRB,MF,Torino,it Serie A,22,1996,20.7,0.05,0.87,0.19,22.2,0.87,0.19,0.06,0.25,18.8,0.00,0.00,0.00,0.04,0.04,0.05,0.00,0.00,Matches
1485,Senad Lulić\Senad-Lulic,ba BIH,DF,Lazio,it Serie A,33,1986,17.5,0.00,0.91,0.17,18.8,0.92,0.17,0.00,0.00,15.2,0.00,0.00,0.00,0.06,0.06,0.07,-0.06,-0.06,Matches
1486,John Lundstram\John-Lundstram,eng ENG,MF,Sheffield Utd,eng Premier League,25,1994,27.3,0.18,1.61,0.40,25.0,1.61,0.40,0.11,0.45,16.9,0.00,0.00,0.00,0.19,0.19,0.12,-0.01,-0.01,Matches
1487,Sebastiano Luperto\Sebastiano-Luperto,it ITA,DF,Napoli,it Serie A,22,1996,5.9,0.00,0.17,0.00,0.0,0.17,0.00,0.00,,36.1,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,Matches
1488,Arnaud Lusamba\Arnaud-Lusamba,fr FRA,MFFW,Nice,fr Ligue 1,22,1997,10.9,0.09,0.46,0.28,60.0,0.46,0.27,0.20,0.33,19.6,0.00,0.00,0.00,0.06,0.06,0.11,0.04,0.04,Matches
1489,Andreas Luthe\Andreas-Luthe,de GER,GK,Augsburg,de Bundesliga,32,1987,10.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
1490,Lyanco\Lyanco,br BRA,DF,Torino,it Serie A,22,1997,13.1,0.00,0.31,0.00,0.0,0.31,0.00,0.00,,31.4,0.00,0.00,0.00,0.01,0.01,0.03,-0.01,-0.01,Matches
1491,Charalambos Lykogiannis\Charalambos-Lykogiannis,gr GRE,DF,Cagliari,it Serie A,25,1993,14.9,0.00,0.94,0.20,21.4,0.94,0.20,0.00,0.00,28.2,0.27,0.00,0.00,0.03,0.03,0.04,-0.03,-0.03,Matches
1492,Yann M'Vila\Yann-MVila,fr FRA,MFDF,Saint-Étienne,fr Ligue 1,29,1990,21.6,0.00,0.42,0.14,33.3,0.42,0.14,0.00,0.00,21.9,0.00,0.00,0.00,0.02,0.02,0.05,-0.02,-0.02,Matches
1493,Alexis Mac Allister\Alexis-Mac-Allister,ar ARG,MFFW,Brighton,eng Premier League,20,1998,3.9,0.00,1.79,0.26,14.3,1.79,0.26,0.00,0.00,22.2,0.26,0.00,0.00,0.10,0.10,0.05,-0.10,-0.10,Matches
1494,Darwin Machís\Darwin-Machis,ve VEN,FWMF,Granada,es La Liga,26,1993,23.7,0.30,3.04,1.14,37.5,3.04,1.14,0.08,0.22,20.7,0.08,0.04,0.04,0.25,0.22,0.07,0.04,0.03,Matches
1495,Yvann Macon\Yvann-Macon,fr FRA,DF,Saint-Étienne,fr Ligue 1,20,1998,1.1,0.00,0.91,0.91,100.0,0.95,0.95,0.00,0.00,30.9,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,Matches
1496,James Maddison\James-Maddison,eng ENG,MF,Leicester City,eng Premier League,22,1996,29.2,0.21,2.53,0.62,24.3,2.54,0.62,0.08,0.33,20.9,0.48,0.00,0.00,0.17,0.17,0.07,0.04,0.04,Matches
1497,Lisandro Magallán\Lisandro-Magallan,ar ARG,DF,Alavés,es La Liga,25,1993,13.3,0.08,0.45,0.08,16.7,0.45,0.08,0.17,1.00,9.4,0.00,0.00,0.00,0.05,0.05,0.11,0.03,0.03,Matches
1498,Francesco Magnanelli\Francesco-Magnanelli,it ITA,MF,Sassuolo,it Serie A,34,1984,15.5,0.00,0.58,0.00,0.0,0.58,0.00,0.00,,25.7,0.00,0.00,0.00,0.03,0.03,0.05,-0.03,-0.03,Matches
1499,Giangiacomo Magnani\Giangiacomo-Magnani,it ITA,DFMF,Brescia,it Serie A,23,1995,1.3,0.00,1.54,0.77,50.0,1.57,0.78,0.00,0.00,9.5,0.00,0.00,0.00,0.08,0.08,0.06,-0.08,-0.08,Matches
1500,Giangiacomo Magnani\Giangiacomo-Magnani,it ITA,DF,Sassuolo,it Serie A,23,1995,1.6,0.63,1.25,1.25,100.0,1.24,1.24,0.50,0.50,4.1,0.00,0.00,0.00,0.63,0.63,0.51,0.00,0.00,Matches
1501,Hugo Magnetti\Hugo-Magnetti,fr FRA,MF,Brest,fr Ligue 1,21,1998,2.6,0.00,2.31,0.77,33.3,2.29,0.76,0.00,0.00,23.7,0.00,0.00,0.00,0.08,0.08,0.03,-0.08,-0.08,Matches
1502,Harry Maguire\Harry-Maguire,eng ENG,DF,Manchester Utd,eng Premier League,26,1993,38.0,0.03,0.84,0.21,25.0,0.84,0.21,0.03,0.13,11.7,0.00,0.00,0.00,0.05,0.05,0.06,-0.03,-0.03,Matches
1503,Abdallahi Mahmoud\Abdallahi-Mahmoud,mr MTN,MF,Alavés,es La Liga,19,2000,1.7,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
1504,Riyad Mahrez\Riyad-Mahrez,dz ALG,FW,Manchester City,eng Premier League,28,1991,21.6,0.51,3.38,1.39,41.1,3.38,1.39,0.14,0.33,16.7,0.28,0.05,0.05,0.33,0.30,0.09,0.18,0.17,Matches
1505,Thiago Maia\Thiago-Maia,br BRA,MF,Lille,fr Ligue 1,22,1997,0.5,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
1506,Arne Maier\Arne-Maier,de GER,MF,Hertha BSC,de Bundesliga,20,1999,5.9,0.00,1.02,0.51,50.0,1.01,0.50,0.00,0.00,24.3,0.00,0.00,0.00,0.03,0.03,0.04,-0.03,-0.03,Matches
1507,Habib Maïga\Habib-Maiga,ci CIV,MF,Metz,fr Ligue 1,23,1996,25.2,0.04,1.19,0.36,30.0,1.19,0.36,0.03,0.11,22.5,0.00,0.00,0.00,0.06,0.06,0.05,-0.02,-0.02,Matches
1508,Mike Maignan\Mike-Maignan,fr FRA,GK,Lille,fr Ligue 1,23,1995,28.0,0.00,0.04,0.00,0.0,0.04,0.00,0.00,,9.8,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,Matches
1509,Ainsley Maitland-Niles\Ainsley-Maitland-Niles,eng ENG,DF,Arsenal,eng Premier League,21,1997,15.4,0.00,0.26,0.06,25.0,0.26,0.06,0.00,0.00,18.2,0.00,0.00,0.00,0.02,0.02,0.08,-0.02,-0.02,Matches
