,,,,,,,,,Performance,,,,,,,,,,,,,Aerial Duels,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
73,Rachid Alioui\Rachid-Alioui,ma MAR,FW,Angers,fr Ligue 1,28-320,1992,0.2,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.0,0.00,5.00,0.0,Matches
74,Alisson\Alisson,br BRA,GK,Liverpool,eng Premier League,28-214,1992,28.0,0.04,0.00,0.00,0.04,0.07,0.00,0.00,0.00,0.00,0.00,0.04,0.00,5.32,0.00,0.04,0.0,Matches
75,Saturnin Allagbé\Saturnin-Allagbe,bj BEN,GK,Dijon,fr Ligue 1,27-163,1993,9.0,0.22,0.00,0.00,0.22,0.11,0.00,0.00,0.00,0.00,0.00,0.11,0.00,6.22,0.00,0.00,,Matches
76,Allan\Allan,br BRA,MF,Everton,eng Premier League,30-116,1991,17.8,0.28,0.00,0.00,1.40,1.24,0.00,0.11,1.01,2.30,0.00,0.00,0.00,10.3,0.22,0.67,25.0,Matches
77,Dele Alli\Dele-Alli,eng ENG,MF,Tottenham,eng Premier League,25-023,1996,3.5,0.00,0.00,0.00,1.14,2.00,0.00,1.43,2.29,1.43,0.00,0.00,0.00,11.4,1.71,2.29,42.9,Matches
78,Miguel Almirón\Miguel-Almiron,py PAR,MFFW,Newcastle Utd,eng Premier League,27-083,1994,23.1,0.13,0.00,0.00,0.69,1.43,0.26,1.17,1.04,1.08,0.00,0.00,0.00,7.06,0.30,0.69,30.4,Matches
79,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,eng Premier League,30-127,1990,9.7,0.21,0.00,0.00,1.24,1.13,0.21,1.24,0.93,0.72,0.00,0.00,0.00,8.04,2.58,1.96,56.8,Matches
80,Sergio Álvarez\Sergio-Alvarez,es ESP,MFDF,Eibar,es La Liga,29-101,1992,17.1,0.18,0.00,0.00,2.16,0.94,0.00,0.35,0.70,1.35,0.00,0.00,0.00,12.9,2.46,2.69,47.7,Matches
81,Yeray Álvarez\Yeray-Alvarez,es ESP,DF,Athletic Club,es La Liga,26-100,1995,19.6,0.31,0.00,0.00,0.92,0.77,0.00,0.10,1.84,0.82,0.00,0.00,0.00,10.1,3.52,2.14,62.2,Matches
82,Bruno Alves\Bruno-Alves,pt POR,DF,Parma,it Serie A,39-158,1981,16.1,0.19,0.00,0.00,1.18,0.56,0.06,0.37,0.87,0.37,0.00,0.00,0.00,9.32,2.73,0.37,88.0,Matches
83,Steven Alzate\Steven-Alzate,co COL,MFDF,Brighton,eng Premier League,22-238,1998,8.2,0.24,0.00,0.00,2.32,0.73,0.12,0.24,0.61,1.59,0.00,0.00,0.00,6.83,0.73,1.34,35.3,Matches
84,Ibrahim Amadou\Ibrahim-Amadou,fr FRA,MF,Angers,fr Ligue 1,28-028,1993,16.6,0.36,0.00,0.00,2.05,0.30,0.00,0.18,1.75,1.81,0.00,0.00,0.00,8.61,1.45,0.96,60.0,Matches
85,Romain Amalfitano\Romain-Amalfitano,fr FRA,FWDF,Dijon,fr Ligue 1,31-250,1989,1.3,0.00,0.00,0.00,1.54,0.77,0.00,3.08,0.77,0.77,0.00,0.00,0.00,6.92,0.77,0.77,50.0,Matches
86,Emmanuel Amankwaa Akurugu\Emmanuel-Amankwaa-Akurugu,gh GHA,DF,Getafe,es La Liga,19-165,2001,0.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,2.00,0.00,100.0,Matches
87,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,eng Premier League,26-134,1994,8.0,0.25,0.00,0.00,0.38,0.13,0.00,0.00,1.50,0.75,0.00,0.00,0.00,11.8,2.63,1.88,58.3,Matches
88,Jordan Amavi\Jordan-Amavi,fr FRA,DF,Marseille,fr Ligue 1,27-056,1994,8.2,0.37,0.12,0.00,1.10,1.59,0.12,0.98,1.46,1.34,0.12,0.00,0.00,10.0,2.56,1.34,65.6,Matches
89,Thierry Ambrose\Thierry-Ambrose,fr FRA,FW,Metz,fr Ligue 1,24-037,1997,6.7,0.30,0.00,0.00,2.69,0.75,0.45,1.79,0.45,0.45,0.00,0.00,0.00,6.42,2.99,3.28,47.6,Matches
90,Nadiem Amiri\Nadiem-Amiri,de GER,MF,Leverkusen,de Bundesliga,24-189,1996,20.1,0.20,0.00,0.00,1.00,1.19,0.20,1.00,0.90,0.65,0.00,0.00,0.00,7.66,0.30,1.24,19.4,Matches
91,Ethan Ampadu\Ethan-Ampadu,wal WAL,DFMF,Sheffield Utd,eng Premier League,20-232,2000,23.2,0.13,0.00,0.00,1.08,1.08,0.04,0.47,1.68,1.55,0.00,0.04,0.04,9.48,2.84,1.29,68.8,Matches
92,Sofyan Amrabat\Sofyan-Amrabat,ma MAR,MF,Fiorentina,it Serie A,24-256,1996,25.9,0.27,0.00,0.00,2.28,1.54,0.00,0.39,0.81,1.51,0.00,0.00,0.00,9.61,0.58,1.35,30.0,Matches
93,Jon Ander Garrido\Jon-Ander-Garrido,es ESP,MF,Cádiz,es La Liga,31-207,1989,7.6,0.13,0.00,0.00,1.71,0.53,0.00,0.26,0.92,1.71,0.00,0.00,0.00,9.74,2.63,3.29,44.4,Matches
