,,,,,,,,,Performance,,,,,,,,,,,,,Aerial Duels,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1612,Ryder Matos\Ryder-Matos,br BRA,MF,Udinese,it Serie A,28-066,1993,0.1,0.00,0.00,0.00,10.0,20.0,0.00,20.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Matches
1613,Chrislain Matsima\Chrislain-Matsima,fr FRA,DF,Monaco,fr Ligue 1,18-354,2002,3.9,0.51,0.00,0.00,0.51,0.26,0.00,0.51,0.26,1.03,0.00,0.00,0.00,10.8,2.31,2.31,50.0,Matches
1614,Federico Mattiello\Federico-Mattiello,it ITA,DF,Spezia,it Serie A,25-294,1995,0.4,0.00,0.00,0.00,0.00,2.50,0.00,2.50,2.50,0.00,0.00,0.00,0.00,17.5,2.50,5.00,33.3,Matches
1615,Neal Maupay\Neal-Maupay,fr FRA,FWMF,Brighton,eng Premier League,24-263,1996,26.9,0.04,0.00,0.00,1.04,1.56,0.45,0.37,0.41,0.63,0.04,0.04,0.00,4.09,0.89,2.53,26.1,Matches
1616,Tony Mauricio\Tony-Mauricio,fr FRA,MF,Lens,fr Ligue 1,27-043,1994,5.4,0.56,0.00,0.00,3.70,1.85,0.00,1.11,0.37,2.41,0.00,0.00,0.00,8.52,0.37,0.74,33.3,Matches
1617,Stephy Mavididi\Stephy-Mavididi,eng ENG,FWMF,Montpellier,fr Ligue 1,22-338,1998,19.7,0.15,0.00,0.00,1.52,1.42,0.15,0.91,0.81,0.30,0.05,0.00,0.00,4.87,0.71,2.23,24.1,Matches
1618,Konstantinos Mavropanos\Konstantinos-Mavropanos,gr GRE,DF,Stuttgart,de Bundesliga,23-144,1997,15.4,0.32,0.00,0.00,1.36,1.04,0.06,0.32,2.53,1.43,0.00,0.06,0.00,12.5,2.92,1.04,73.8,Matches
1619,Eric Maxim Choupo-Moting\Eric-Maxim-Choupo-Moting,cm CMR,FWMF,Bayern Munich,de Bundesliga,32-042,1989,8.9,0.22,0.00,0.00,0.56,1.01,1.01,0.11,0.34,0.67,0.00,0.00,0.00,3.93,1.57,2.13,42.4,Matches
1620,Borja Mayoral\Borja-Mayoral,es ESP,FW,Real Madrid,es La Liga,24-029,1997,0.3,0.00,0.00,0.00,6.67,0.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,3.33,0.00,3.33,0.0,Matches
1621,Borja Mayoral\Borja-Mayoral,es ESP,FW,Roma,it Serie A,24-029,1997,15.6,0.06,0.00,0.00,0.64,1.60,0.64,0.45,0.19,0.32,0.06,0.00,0.00,2.31,0.96,3.65,20.8,Matches
1622,Youssef Maziz\Youssef-Maziz,fr FRA,MFFW,Metz,fr Ligue 1,22-314,1998,2.4,0.42,0.00,0.00,0.83,2.08,0.00,1.25,0.83,0.42,0.00,0.00,0.00,6.25,0.83,0.83,50.0,Matches
1623,Antonio Mazzotta\Antonio-Mazzotta,it ITA,DF,Crotone,it Serie A,31-275,1989,0.6,1.67,0.00,0.00,3.33,0.00,0.00,1.67,0.00,0.00,0.00,0.00,0.00,1.67,1.67,0.00,100.0,Matches
1624,Kevin Mbabu\Kevin-Mbabu,ch SUI,DF,Wolfsburg,de Bundesliga,26-015,1995,15.9,0.31,0.00,0.00,2.58,1.19,0.06,2.96,1.01,1.38,0.00,0.00,0.00,10.8,2.01,1.64,55.2,Matches
1625,Kylian Mbappé\Kylian-Mbappe,fr FRA,FW,Paris S-G,fr Ligue 1,22-135,1998,24.6,0.20,0.00,0.00,0.85,1.50,0.69,2.48,0.20,0.16,0.16,0.00,0.00,4.11,0.28,0.33,46.7,Matches
1626,Ibrahima Mbaye\Ibrahima-Mbaye,sn SEN,DF,Bologna,it Serie A,26-166,1994,4.8,0.42,0.00,0.00,0.63,1.04,0.21,0.42,0.42,0.63,0.00,0.00,0.00,7.50,2.92,1.88,60.9,Matches
1627,Jean-Manuel Mbom\Jean-Manuel-Mbom,de GER,MFDF,Werder Bremen,de Bundesliga,21-069,2000,12.3,0.57,0.00,0.00,2.44,1.38,0.16,0.98,0.98,1.22,0.00,0.08,0.00,6.50,2.60,1.87,58.2,Matches
1628,Nathanael Mbuku\Nathanael-Mbuku,fr FRA,MFFW,Reims,fr Ligue 1,19-049,2002,22.0,0.14,0.00,0.00,1.14,2.41,0.14,0.91,0.68,0.77,0.05,0.05,0.00,4.50,1.23,1.77,40.9,Matches
1629,James McArthur\James-McArthur,sco SCO,MF,Crystal Palace,eng Premier League,33-209,1987,16.3,0.18,0.00,0.00,1.96,0.86,0.00,0.43,1.41,1.60,0.00,0.00,0.00,12.7,1.23,1.23,50.0,Matches
1630,Oliver McBurnie\Oliver-McBurnie,sco SCO,FW,Sheffield Utd,eng Premier League,24-334,1996,14.7,0.14,0.00,0.00,1.63,1.77,0.27,0.20,0.54,0.48,0.07,0.00,0.00,4.42,9.52,8.03,54.3,Matches
1631,Alex McCarthy\Alex-McCarthy,eng ENG,GK,Southampton,eng Premier League,31-152,1989,27.0,0.07,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.26,0.00,0.00,,Matches
1632,James McCarthy\James-McCarthy,ie IRL,MF,Crystal Palace,eng Premier League,30-173,1990,6.5,0.15,0.00,0.00,0.77,0.46,0.00,0.46,1.08,0.77,0.00,0.00,0.00,12.0,0.77,0.92,45.5,Matches
1633,John McGinn\John-McGinn,sco SCO,MF,Aston Villa,eng Premier League,26-198,1994,32.0,0.22,0.00,0.00,1.09,2.19,0.06,0.88,1.19,1.19,0.03,0.00,0.00,8.41,0.78,1.47,34.7,Matches
1634,David McGoldrick\David-McGoldrick,ie IRL,FWMF,Sheffield Utd,eng Premier League,33-156,1987,22.6,0.31,0.00,0.00,1.64,1.24,0.62,0.97,0.53,0.66,0.00,0.00,0.00,5.22,3.14,4.82,39.4,Matches
1635,Weston McKennie\Weston-McKennie,us USA,MF,Juventus,it Serie A,22-249,1998,17.1,0.23,0.00,0.00,2.22,0.41,0.23,0.88,1.23,1.58,0.00,0.00,0.00,6.90,1.87,1.52,55.2,Matches
1636,Dwight McNeil\Dwight-McNeil,eng ENG,MF,Burnley,eng Premier League,21-163,1999,30.6,0.03,0.00,0.00,0.33,1.14,0.07,3.37,1.05,0.59,0.00,0.00,0.00,7.97,0.59,0.88,40.0,Matches
1637,Scott McTominay\Scott-McTominay,sco SCO,MF,Manchester Utd,eng Premier League,24-147,1996,21.0,0.10,0.00,0.00,2.05,1.71,0.05,0.43,1.90,1.10,0.00,0.00,0.00,8.86,1.81,1.43,55.9,Matches
1638,Gary Medel\Gary-Medel,cl CHI,DFMF,Bologna,it Serie A,33-274,1987,5.1,0.00,0.00,0.00,0.78,0.98,0.00,0.00,1.76,1.18,0.00,0.00,0.00,12.2,1.37,1.37,50.0,Matches
1639,Facundo Medina\Facundo-Medina,ar ARG,DF,Lens,fr Ligue 1,21-341,1999,20.7,0.48,0.00,0.00,1.45,0.34,0.05,0.10,1.59,1.55,0.00,0.10,0.05,11.4,1.45,1.35,51.7,Matches
1640,Nathan de Medina\Nathan-de-Medina,be BEL,DF,Arminia,de Bundesliga,23-208,1997,6.7,0.75,0.15,0.00,1.49,0.60,0.00,0.90,1.19,2.39,0.00,0.00,0.00,9.55,0.60,2.84,17.4,Matches
1641,Ben Mee\Ben-Mee,eng ENG,DF,Burnley,eng Premier League,31-223,1989,26.9,0.11,0.00,0.00,0.56,0.67,0.04,0.00,0.89,0.63,0.00,0.00,0.00,11.3,4.16,1.90,68.7,Matches
1642,Joshua Mees\Joshua-Mees,de GER,FW,Union Berlin,de Bundesliga,25-019,1996,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.0,0.00,100.0,Matches
1643,Admir Mehmedi\Admir-Mehmedi,ch SUI,MFFW,Wolfsburg,de Bundesliga,30-049,1991,9.1,0.00,0.00,0.00,2.20,1.65,0.99,2.20,0.66,1.32,0.00,0.00,0.00,8.02,0.55,2.31,19.2,Matches
1644,Soualiho Meïté\Soualiho-Meite,fr FRA,MF,Torino,it Serie A,27-048,1994,10.2,0.00,0.00,0.00,1.08,0.88,0.10,0.29,0.98,0.59,0.00,0.00,0.00,8.04,0.98,0.78,55.6,Matches
1645,Soualiho Meïté\Soualiho-Meite,fr FRA,MF,Milan,it Serie A,27-048,1994,5.3,0.38,0.00,0.00,1.89,2.08,0.38,0.38,1.32,1.70,0.00,0.00,0.00,10.6,2.26,1.32,63.2,Matches
1646,Farid El Melali\Farid-El-Melali,dz ALG,FWMF,Angers,fr Ligue 1,23-295,1997,3.3,0.30,0.00,0.00,2.42,3.94,0.00,1.82,0.91,1.21,0.30,0.00,0.00,8.48,0.30,1.82,14.3,Matches
1647,Filippo Melegoni\Filippo-Melegoni,it ITA,MF,Genoa,it Serie A,22-075,1999,2.5,0.00,0.00,0.00,0.40,2.00,0.00,1.60,2.00,1.20,0.00,0.00,0.00,6.00,0.80,0.40,66.7,Matches
1648,Gonzalo Melero\Gonzalo-Melero,es ESP,MFFW,Levante,es La Liga,27-122,1994,16.7,0.24,0.00,0.00,1.32,1.74,0.06,0.24,0.96,0.78,0.00,0.00,0.00,7.78,2.28,2.87,44.2,Matches
1649,Birger Meling\Birger-Meling,no NOR,DF,Nîmes,fr Ligue 1,26-138,1994,22.9,0.13,0.00,0.00,0.52,1.53,0.00,1.31,1.35,1.22,0.00,0.00,0.00,8.25,0.83,1.00,45.2,Matches
1650,Arthur Melo\Arthur-Melo,br BRA,MF,Juventus,it Serie A,24-265,1996,11.8,0.25,0.00,0.00,0.85,1.69,0.00,0.00,1.27,1.10,0.00,0.00,0.00,10.5,0.08,0.42,16.7,Matches
1651,Houboulang Mendes\Houboulang-Mendes,fr FRA,DF,Lorient,fr Ligue 1,23-000,1998,14.4,0.21,0.00,0.00,1.67,0.42,0.07,1.67,0.49,0.97,0.00,0.21,0.00,5.90,1.39,1.25,52.6,Matches
1652,Pedro Mendes\Pedro-Mendes,pt POR,DF,Montpellier,fr Ligue 1,30-215,1990,18.1,0.28,0.00,0.00,1.27,1.44,0.06,0.11,1.44,1.33,0.00,0.11,0.00,8.07,1.49,1.99,42.9,Matches
1653,Thiago Mendes\Thiago-Mendes,br BRA,MF,Lyon,fr Ligue 1,29-050,1992,24.0,0.21,0.04,0.00,1.13,0.96,0.00,0.29,1.67,1.58,0.00,0.00,0.00,11.3,1.08,0.92,54.2,Matches
1654,Brais Méndez\Brais-Mendez,es ESP,MFFW,Celta Vigo,es La Liga,24-117,1997,25.9,0.23,0.00,0.00,2.59,1.78,0.15,0.85,1.16,1.51,0.04,0.00,0.00,6.83,1.00,2.39,29.5,Matches
1655,Édgar Méndez\Edgar-Mendez,es ESP,MFFW,Alavés,es La Liga,31-122,1990,21.3,0.52,0.05,0.05,2.39,2.16,0.38,1.97,0.66,0.89,0.00,0.00,0.00,6.20,2.39,2.35,50.5,Matches
1656,Eñaut Mendía\Enaut-Mendia,es ESP,FW,Eibar,es La Liga,21-313,1999,0.7,1.43,0.00,0.00,4.29,0.00,1.43,0.00,0.00,1.43,0.00,1.43,0.00,7.14,0.00,1.43,0.0,Matches
1657,Batista Mendy\Batista-Mendy,fr FRA,MF,Nantes,fr Ligue 1,21-112,2000,0.8,0.00,0.00,0.00,3.75,1.25,0.00,0.00,1.25,1.25,0.00,0.00,0.00,6.25,2.50,0.00,100.0,Matches
1658,Benjamin Mendy\Benjamin-Mendy,fr FRA,DF,Manchester City,eng Premier League,26-291,1994,9.5,0.21,0.00,0.00,1.16,0.00,0.11,2.32,0.53,0.95,0.00,0.11,0.00,7.68,1.05,1.37,43.5,Matches
1659,Edouard Mendy\Edouard-Mendy,sn SEN,GK,Rennes,fr Ligue 1,29-064,1992,1.0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,,Matches
1660,Edouard Mendy\Edouard-Mendy,sn SEN,GK,Chelsea,eng Premier League,29-064,1992,28.0,0.04,0.00,0.00,0.04,0.07,0.00,0.00,0.00,0.00,0.00,0.04,0.00,3.79,0.00,0.04,0.0,Matches
1661,Ferland Mendy\Ferland-Mendy,fr FRA,DF,Real Madrid,es La Liga,25-330,1995,24.5,0.12,0.00,0.00,0.90,1.59,0.20,1.63,1.02,0.69,0.00,0.00,0.00,6.94,0.41,0.82,33.3,Matches
1662,Nampalys Mendy\Nampalys-Mendy,sn SEN,MF,Leicester City,eng Premier League,28-315,1992,15.3,0.33,0.00,0.00,1.24,1.83,0.00,0.00,0.46,1.37,0.00,0.00,0.00,11.8,0.65,0.92,41.7,Matches
1663,Hamza Mendyl\Hamza-Mendyl,ma MAR,FW,Schalke 04,de Bundesliga,23-195,1997,1.1,0.91,0.00,0.00,1.82,0.00,0.00,1.82,0.91,0.91,0.00,0.00,0.00,4.55,1.82,4.55,28.6,Matches
1664,Jorge Meré\Jorge-Mere,es ESP,DF,Köln,de Bundesliga,24-017,1997,14.4,0.14,0.00,0.00,0.35,0.42,0.00,0.00,1.60,0.97,0.00,0.00,0.00,9.86,2.85,2.50,53.2,Matches
1665,Alex Meret\Alex-Meret,it ITA,GK,Napoli,it Serie A,24-043,1997,18.0,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.39,0.00,0.00,,Matches
1666,Mikel Merino\Mikel-Merino,es ESP,MF,Real Sociedad,es La Liga,24-316,1996,23.9,0.21,0.00,0.00,3.31,2.26,0.17,0.59,1.34,1.51,0.00,0.00,0.00,9.04,2.97,3.01,49.7,Matches
1667,Martín Merquelanz\Martin-Merquelanz,es ESP,FWMF,Real Sociedad,es La Liga,25-326,1995,5.9,0.00,0.00,0.00,0.68,1.86,0.34,2.20,1.36,0.34,0.00,0.00,0.00,7.46,0.68,1.36,33.3,Matches
1668,Yıldırım Mert Çetin\Yildirim-Mert-Cetin,tr TUR,DF,Hellas Verona,it Serie A,24-123,1997,4.6,0.22,0.00,0.00,1.30,0.87,0.00,0.22,2.83,0.87,0.00,0.00,0.00,13.3,4.35,1.96,69.0,Matches
1669,Dries Mertens\Dries-Mertens,be BEL,FWMF,Napoli,it Serie A,33-363,1987,15.5,0.13,0.00,0.00,1.03,0.58,0.32,2.06,0.52,0.97,0.00,0.00,0.00,4.52,0.00,0.71,0.0,Matches
1670,Roque Mesa\Roque-Mesa,es ESP,MF,Valladolid,es La Liga,31-331,1989,17.3,0.23,0.06,0.00,1.33,1.73,0.17,1.21,0.69,1.68,0.00,0.00,0.00,11.2,0.81,1.62,33.3,Matches
1671,Illan Meslier\Illan-Meslier,fr FRA,GK,Leeds United,eng Premier League,21-063,2000,33.0,0.00,0.00,0.00,0.03,0.18,0.00,0.00,0.00,0.00,0.00,0.03,0.03,4.91,0.00,0.00,,Matches
1672,Lionel Messi\Lionel-Messi,ar ARG,FWMF,Barcelona,es La Liga,33-314,1987,30.6,0.13,0.00,0.00,0.72,2.81,0.20,1.93,0.20,0.42,0.00,0.00,0.00,3.56,0.39,0.26,60.0,Matches
1673,Junior Messias\Junior-Messias,br BRA,FWMF,Crotone,it Serie A,29-356,1991,32.7,0.18,0.00,0.00,0.98,2.66,0.15,1.74,0.95,1.16,0.03,0.00,0.00,6.57,0.95,2.08,31.3,Matches
1674,Thomas Meunier\Thomas-Meunier,be BEL,DF,Dortmund,de Bundesliga,29-234,1991,15.4,0.19,0.00,0.00,1.10,0.32,0.19,3.05,0.97,1.56,0.06,0.00,0.00,9.35,1.23,1.04,54.3,Matches
1675,Mexer\Mexer,mz MOZ,DF,Bordeaux,fr Ligue 1,32-238,1988,7.3,0.27,0.00,0.00,1.23,0.27,0.00,0.27,2.74,0.41,0.00,0.14,0.00,8.77,2.88,1.51,65.6,Matches
1676,Max Meyer\Max-Meyer,de GER,MF,Köln,de Bundesliga,25-228,1995,3.6,0.00,0.00,0.00,0.56,1.11,0.00,0.83,0.83,1.39,0.00,0.00,0.00,11.4,0.83,1.94,30.0,Matches
1677,Omenuke Mfulu\Omenuke-Mfulu,cd COD,MF,Elche,es La Liga,27-045,1994,5.5,0.36,0.00,0.00,1.64,0.73,0.00,0.18,0.91,2.18,0.00,0.00,0.00,6.55,0.73,0.73,50.0,Matches
1678,Míchel\Michel,es ESP,MF,Valladolid,es La Liga,32-279,1988,8.8,0.23,0.00,0.00,1.59,1.02,0.00,2.16,1.36,1.14,0.00,0.00,0.00,10.9,1.02,1.25,45.0,Matches
1679,Clément Michelin\Clement-Michelin,fr FRA,DF,Lens,fr Ligue 1,23-358,1997,12.4,0.08,0.08,0.00,1.69,1.13,0.32,3.95,1.05,1.21,0.00,0.08,0.00,7.58,1.69,1.53,52.5,Matches
1680,Edouard Michut\Edouard-Michut,fr FRA,MF,Paris S-G,fr Ligue 1,18-061,2003,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
1681,Florian Miguel\Florian-Miguel,fr FRA,DF,Nîmes,fr Ligue 1,24-245,1996,17.1,0.23,0.12,0.06,0.99,1.87,0.00,0.35,2.05,0.82,0.00,0.12,0.00,7.66,1.99,1.52,56.7,Matches
1682,Valentin Mihaila\Valentin-Mihaila,ro ROU,FWMF,Parma,it Serie A,21-091,2000,7.8,0.26,0.00,0.00,0.64,1.03,0.64,1.54,0.51,0.38,0.13,0.00,0.00,4.74,0.13,1.79,6.7,Matches
1683,Nikola Milenković\Nikola-Milenkovic,rs SRB,DF,Fiorentina,it Serie A,23-204,1997,30.7,0.20,0.03,0.00,1.66,0.49,0.00,0.10,0.94,1.27,0.00,0.00,0.00,10.2,3.49,1.04,77.0,Matches
1684,Arkadiusz Milik\Arkadiusz-Milik,pl POL,FW,Marseille,fr Ligue 1,27-065,1994,10.6,0.09,0.00,0.00,1.04,1.32,0.38,0.38,0.57,0.85,0.00,0.00,0.00,2.26,2.17,2.74,44.2,Matches
1685,Sergej Milinković-Savić\Sergej-Milinkovic-Savic,rs SRB,MF,Lazio,it Serie A,26-066,1995,28.6,0.14,0.00,0.00,1.89,1.71,0.31,1.43,1.15,1.50,0.07,0.07,0.00,8.15,3.29,2.55,56.3,Matches
1686,Vanja Milinković-Savić\Vanja-Milinkovic-Savic,rs SRB,GK,Torino,it Serie A,24-073,1997,5.0,0.00,0.20,0.00,0.00,0.40,0.00,0.00,0.00,0.20,0.00,0.00,0.00,5.60,0.00,0.00,,Matches
1687,Éder Militão\Eder-Militao,br BRA,DF,Real Madrid,es La Liga,23-106,1998,8.6,0.23,0.12,0.00,1.28,1.28,0.00,0.23,1.98,0.93,0.00,0.00,0.00,8.49,3.60,1.05,77.5,Matches
1688,Luka Milivojević\Luka-Milivojevic,rs SRB,MF,Crystal Palace,eng Premier League,30-027,1991,24.5,0.33,0.04,0.00,1.47,1.22,0.00,0.57,1.71,1.59,0.00,0.00,0.00,10.1,1.35,0.90,60.0,Matches
1689,Luis Milla\Luis-Milla,es ESP,MF,Granada,es La Liga,26-209,1994,13.9,0.07,0.00,0.00,1.15,1.44,0.00,0.72,1.51,1.15,0.00,0.00,0.00,9.64,1.15,0.94,55.2,Matches
1690,Pere Milla\Pere-Milla,es ESP,FWMF,Elche,es La Liga,28-223,1992,18.7,0.32,0.00,0.00,1.44,2.62,0.21,0.21,0.75,1.02,0.00,0.00,0.00,5.13,1.76,2.30,43.4,Matches
1691,Alejandro Millán\Alejandro-Millan,es ESP,FW,Villarreal,es La Liga,21-178,1999,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches
1692,Vincenzo Millico\Vincenzo-Millico,it ITA,FWMF,Torino,it Serie A,20-265,2000,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.0,0.00,0.00,,Matches
1693,Enzo Millot\Enzo-Millot,fr FRA,MF,Monaco,fr Ligue 1,18-291,2002,0.5,0.00,0.00,0.00,2.00,2.00,0.00,2.00,2.00,0.00,0.00,0.00,0.00,6.00,2.00,2.00,50.0,Matches
1694,James Milner\James-Milner,eng ENG,MFDF,Liverpool,eng Premier League,35-120,1986,11.7,0.17,0.00,0.00,1.54,0.94,0.00,1.45,1.28,1.20,0.00,0.00,0.00,11.9,1.97,1.28,60.5,Matches
1695,Santi Mina\Santi-Mina,es ESP,FW,Celta Vigo,es La Liga,25-148,1995,23.0,0.17,0.00,0.00,2.52,2.30,0.48,0.30,0.35,0.65,0.09,0.00,0.00,4.13,3.61,4.43,44.9,Matches
1696,Yerry Mina\Yerry-Mina,co COL,DF,Everton,eng Premier League,26-223,1994,19.8,0.10,0.00,0.00,1.06,0.56,0.00,0.00,0.61,0.56,0.00,0.00,0.00,7.98,3.18,1.21,72.4,Matches
1697,Takumi Minamino\Takumi-Minamino,jp JPN,MFFW,Southampton,eng Premier League,26-108,1995,5.4,0.19,0.00,0.00,0.56,1.30,0.19,0.56,1.11,0.19,0.00,0.00,0.00,8.33,0.74,1.11,40.0,Matches
1698,Takumi Minamino\Takumi-Minamino,jp JPN,MFFW,Liverpool,eng Premier League,26-108,1995,3.3,0.00,0.00,0.00,1.21,0.61,0.30,0.91,0.00,0.91,0.00,0.00,0.00,6.36,0.91,0.61,60.0,Matches
1699,Tyrone Mings\Tyrone-Mings,eng ENG,DF,Aston Villa,eng Premier League,28-052,1993,31.5,0.19,0.03,0.03,0.54,0.57,0.10,0.06,0.79,0.51,0.00,0.00,0.03,11.3,3.24,1.02,76.1,Matches
1700,Óscar Mingueza\Oscar-Mingueza,es ESP,DF,Barcelona,es La Liga,21-356,1999,19.9,0.20,0.00,0.00,0.90,0.75,0.05,0.65,1.21,1.96,0.00,0.00,0.00,7.44,0.75,1.16,39.5,Matches
1701,Rafa Mir\Rafa-Mir,es ESP,FW,Huesca,es La Liga,23-320,1997,28.0,0.07,0.00,0.00,1.96,0.71,1.18,0.54,0.32,0.25,0.04,0.00,0.00,3.39,3.71,3.86,49.1,Matches
1702,Jorge Miramón\Jorge-Miramon,es ESP,DF,Levante,es La Liga,31-336,1989,17.3,0.06,0.00,0.00,0.75,0.58,0.06,2.72,1.79,1.39,0.06,0.00,0.00,8.55,1.33,1.21,52.3,Matches
1703,Aleksei Miranchuk\Aleksei-Miranchuk,ru RUS,MFFW,Atalanta,it Serie A,25-199,1995,5.8,0.00,0.00,0.00,2.59,1.90,0.34,1.38,0.86,1.38,0.00,0.00,0.00,10.7,2.24,1.90,54.2,Matches
1704,Juan Miranda\Juan-Miranda,es ESP,DF,Betis,es La Liga,21-105,2000,15.9,0.25,0.00,0.00,1.19,1.07,0.06,3.27,1.51,0.82,0.00,0.00,0.00,6.98,1.64,2.33,41.3,Matches
1705,Antonio Mirante\Antonio-Mirante,it ITA,GK,Roma,it Serie A,37-300,1983,12.8,0.16,0.00,0.00,0.00,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.48,0.00,0.00,,Matches
1706,Tyrick Mitchell\Tyrick-Mitchell,eng ENG,DF,Crystal Palace,eng Premier League,21-245,1999,14.0,0.07,0.00,0.00,0.50,0.57,0.00,1.14,1.50,1.64,0.00,0.07,0.00,6.86,0.93,0.64,59.1,Matches
1707,Aleksandar Mitrović\Aleksandar-Mitrovic,rs SRB,FW,Fulham,eng Premier League,26-230,1994,14.6,0.21,0.00,0.00,1.51,1.51,0.21,0.41,0.21,0.55,0.00,0.07,0.00,3.63,4.32,4.73,47.7,Matches
1708,Stefan Mitrović\Stefan-Mitrovic,rs SRB,DF,Strasbourg,fr Ligue 1,30-347,1990,27.9,0.11,0.04,0.00,0.68,0.43,0.00,0.04,1.04,0.82,0.00,0.04,0.00,7.81,1.79,1.00,64.1,Matches
1709,Maximilian Mittelstädt\Maximilian-Mittelstadt,de GER,DF,Hertha BSC,de Bundesliga,24-047,1997,19.6,0.15,0.00,0.00,1.17,0.97,0.05,2.50,2.65,1.79,0.00,0.10,0.00,10.8,1.12,0.97,53.7,Matches
1710,Henrikh Mkhitaryan\Henrikh-Mkhitaryan,am ARM,FWMF,Roma,it Serie A,32-103,1989,26.5,0.08,0.00,0.00,1.21,1.66,0.38,1.32,1.21,1.13,0.04,0.00,0.00,7.13,0.60,1.17,34.0,Matches
1711,Jakub Moder\Jakub-Moder,pl POL,DF,Brighton,eng Premier League,22-027,1999,3.8,0.00,0.00,0.00,2.11,0.26,0.53,1.32,1.32,1.58,0.00,0.00,0.00,7.63,1.32,2.11,38.5,Matches
1712,Anthony Modeste\Anthony-Modeste,fr FRA,FWMF,Köln,de Bundesliga,33-020,1988,2.5,0.40,0.00,0.00,0.40,2.40,1.20,0.00,0.00,0.00,0.00,0.40,0.00,5.20,6.40,4.80,57.1,Matches
1713,Anthony Modeste\Anthony-Modeste,fr FRA,FW,Saint-Étienne,fr Ligue 1,33-020,1988,3.3,0.30,0.00,0.00,1.52,0.61,0.00,0.91,0.00,0.30,0.00,0.00,0.00,1.82,4.24,4.85,46.7,Matches
1714,Luka Modrić\Luka-Modric,hr CRO,MF,Real Madrid,es La Liga,35-237,1985,26.6,0.11,0.00,0.00,1.02,1.05,0.04,1.65,1.73,0.94,0.00,0.00,0.00,7.52,0.75,0.71,51.3,Matches
1715,Terem Moffi\Terem-Moffi,ng NGA,FW,Lorient,fr Ligue 1,21-344,1999,20.4,0.10,0.00,0.00,1.27,0.74,0.59,0.49,0.49,0.25,0.05,0.00,0.00,4.36,1.72,3.28,34.3,Matches
1716,Kevin Möhwald\Kevin-Mohwald,de GER,MF,Werder Bremen,de Bundesliga,27-305,1993,17.1,0.23,0.06,0.06,1.17,1.87,0.00,0.82,2.34,0.88,0.00,0.06,0.00,9.65,1.35,0.23,85.2,Matches
1717,Niklas Moisander\Niklas-Moisander,fi FIN,DF,Werder Bremen,de Bundesliga,35-217,1985,10.6,0.09,0.00,0.00,0.94,0.66,0.00,0.09,2.36,0.75,0.00,0.00,0.09,11.8,1.04,0.85,55.0,Matches
1718,Dion Moise Sahi\Dion-Moise-Sahi,ci CIV,FW,Strasbourg,fr Ligue 1,19-135,2001,0.6,0.00,0.00,0.00,0.00,3.33,0.00,1.67,0.00,0.00,1.67,0.00,0.00,11.7,1.67,5.00,25.0,Matches
1719,Johan Mojica\Johan-Mojica,co COL,DF,Elche,es La Liga,28-256,1992,13.2,0.23,0.00,0.00,1.29,0.91,0.08,3.33,1.97,1.14,0.00,0.08,0.00,8.71,0.83,1.29,39.3,Matches
1720,Johan Mojica\Johan-Mojica,co COL,DFFW,Atalanta,it Serie A,28-256,1992,3.3,0.30,0.00,0.00,1.21,0.30,0.00,3.94,0.61,1.52,0.00,0.30,0.00,12.1,1.21,1.82,40.0,Matches
1721,Guillem Molina\Guillem-Molina,es ESP,DF,Valencia,es La Liga,21-001,2000,1.7,0.59,0.00,0.00,2.35,1.18,0.00,0.00,1.18,0.00,0.00,0.59,0.00,10.6,2.35,2.94,44.4,Matches
1722,Jorge Molina\Jorge-Molina,es ESP,FWMF,Granada,es La Liga,39-012,1982,15.0,0.13,0.00,0.00,1.60,1.53,0.53,0.33,0.07,0.40,0.07,0.00,0.00,4.20,4.87,5.40,47.4,Matches
1723,Nahuel Molina\Nahuel-Molina,ar ARG,DF,Udinese,it Serie A,23-153,1997,16.3,0.06,0.00,0.00,0.80,0.67,0.18,3.74,1.35,1.10,0.00,0.12,0.00,7.24,0.67,0.80,45.8,Matches
1724,Salvatore Molina\Salvatore-Molina,it ITA,MFDF,Crotone,it Serie A,29-123,1992,21.7,0.05,0.00,0.00,0.97,1.71,0.00,2.03,0.83,0.97,0.00,0.00,0.00,8.89,0.92,0.92,50.0,Matches
