,,,,,,,,,Tackles,,,,,Vs Dribbles,,,,Pressures,,,,,,Blocks,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
1103,Son Heung-min\Son-Heung-min,kr KOR,FW,Tottenham,eng Premier League,28-300,1992,30.6,0.78,0.39,0.29,0.36,0.13,0.36,2.09,17.2,1.73,17.8,4.02,22.6,3.46,9.31,5.03,0.98,0.10,0.00,0.88,0.65,1.44,0.13,0.00,Matches
1104,Aaron Hickey\Aaron-Hickey,sco SCO,DF,Bologna,it Serie A,18-328,2002,8.4,1.55,0.71,1.19,0.24,0.12,0.71,2.02,35.3,1.31,11.2,3.93,35.1,5.36,4.05,1.79,2.02,0.24,0.00,1.79,1.43,2.98,1.79,0.00,Matches
1105,Vitorino Hilton\Vitorino-Hilton,br BRA,DF,Montpellier,fr Ligue 1,43-233,1977,20.5,0.78,0.24,0.63,0.15,0.00,0.24,0.83,29.4,0.59,6.15,2.00,32.5,4.24,1.76,0.15,2.00,1.07,0.10,0.93,1.71,2.49,6.83,0.20,Matches
1106,Martin Hinteregger\Martin-Hinteregger,at AUT,DF,Eint Frankfurt,de Bundesliga,28-239,1992,25.1,2.71,1.51,1.95,0.72,0.04,1.04,2.63,39.4,1.59,12.2,4.22,34.5,7.53,4.02,0.68,1.67,0.60,0.00,1.08,1.31,4.02,5.26,0.12,Matches
1107,Marwin Hitz\Marwin-Hitz,ch SUI,GK,Dortmund,de Bundesliga,33-228,1987,15.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1108,Wesley Hoedt\Wesley-Hoedt,nl NED,DF,Lazio,it Serie A,27-059,1994,10.6,2.64,1.32,2.17,0.47,0.00,1.13,1.79,63.2,0.66,9.72,2.26,23.3,6.89,2.83,0.00,1.70,0.57,0.00,1.13,1.13,3.77,6.13,0.09,Matches
1109,Ki-Jana Hoever\Ki-Jana-Hoever,nl NED,DF,Wolves,eng Premier League,19-106,2002,4.4,2.95,1.82,2.27,0.45,0.23,1.59,3.86,41.2,2.27,22.5,4.77,21.2,13.4,7.95,1.14,1.14,0.23,0.00,0.91,1.82,4.77,2.50,0.00,Matches
1110,Nicolas Höfler\Nicolas-Hofler,de GER,MF,Freiburg,de Bundesliga,31-056,1990,26.3,2.66,1.52,0.95,1.33,0.38,0.87,2.36,37.1,1.48,18.8,4.83,25.7,5.63,10.2,2.93,1.86,0.38,0.00,1.48,1.67,4.33,1.41,0.04,Matches
1111,Jonas Hofmann\Jonas-Hofmann,de GER,FWMF,M'Gladbach,de Bundesliga,28-294,1992,18.5,1.62,1.03,0.59,0.81,0.22,0.59,3.03,19.6,2.43,22.3,5.68,25.4,5.35,10.9,6.05,1.95,0.11,0.00,1.84,1.51,3.14,1.03,0.00,Matches
1112,Marco Höger\Marco-Hoger,de GER,DF,Köln,de Bundesliga,31-230,1989,0.6,5.00,5.00,0.00,5.00,0.00,1.67,5.00,33.3,3.33,25.0,10.0,40.0,13.3,11.7,0.00,1.67,0.00,0.00,1.67,1.67,6.67,3.33,0.00,Matches
1113,Rob Holding\Rob-Holding,eng ENG,DF,Arsenal,eng Premier League,25-226,1995,24.4,1.31,0.61,0.86,0.33,0.12,0.37,1.07,34.6,0.70,10.5,2.95,28.2,6.31,3.61,0.53,1.80,1.02,0.00,0.78,0.78,2.09,5.61,0.00,Matches
1114,Lucas Höler\Lucas-Holer,de GER,FWMF,Freiburg,de Bundesliga,26-298,1994,21.0,1.29,0.76,0.48,0.52,0.29,0.43,1.67,25.7,1.24,19.2,5.90,30.8,3.76,8.05,7.38,1.24,0.14,0.00,1.10,0.67,1.95,0.76,0.05,Matches
1115,Mason Holgate\Mason-Holgate,eng ENG,DF,Everton,eng Premier League,24-194,1996,22.6,2.61,1.46,1.55,0.75,0.31,0.88,2.12,41.7,1.24,12.2,3.67,30.2,6.15,4.38,1.64,2.12,0.49,0.00,1.64,1.59,4.20,4.38,0.09,Matches
1116,Jordan Holsgrove\Jordan-Holsgrove,sco SCO,MF,Celta Vigo,es La Liga,21-236,1999,1.2,2.50,0.83,1.67,0.00,0.83,1.67,2.50,66.7,0.83,22.5,6.67,29.6,5.00,8.33,9.17,0.83,0.00,0.00,0.83,0.00,2.50,0.00,0.00,Matches
1117,Franck Honorat\Franck-Honorat,fr FRA,MFFW,Brest,fr Ligue 1,24-266,1996,24.3,1.36,0.86,0.58,0.53,0.25,0.29,0.95,30.4,0.66,17.4,3.66,21.0,5.60,6.01,5.80,1.19,0.08,0.00,1.11,0.78,2.14,0.99,0.00,Matches
1118,Matthew Hoppe\Matthew-Hoppe,us USA,FW,Schalke 04,de Bundesliga,20-052,2001,12.0,1.00,0.75,0.25,0.58,0.17,0.17,0.58,28.6,0.42,16.8,4.08,24.4,2.25,7.25,7.25,0.75,0.08,0.00,0.67,0.42,1.42,1.00,0.00,Matches
1119,Jannes Horn\Jannes-Horn,de GER,DF,Köln,de Bundesliga,24-087,1997,18.3,1.53,0.82,1.04,0.44,0.05,0.77,1.64,46.7,0.87,11.1,3.17,28.6,6.83,3.61,0.66,1.53,0.11,0.00,1.42,0.87,2.40,3.66,0.05,Matches
1120,Timo Horn\Timo-Horn,de GER,GK,Köln,de Bundesliga,27-357,1993,30.4,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.0,0.13,0.16,0.03,20.0,0.13,0.03,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.07,0.03,Matches
1121,Fraser Hornby\Fraser-Hornby,sco SCO,FW,Reims,fr Ligue 1,21-233,1999,0.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,15.0,0.00,0.0,0.00,2.50,12.5,0.00,0.00,0.00,0.00,2.50,2.50,0.00,0.00,Matches
1122,Conor Hourihane\Conor-Hourihane,ie IRL,MF,Aston Villa,eng Premier League,30-091,1991,2.5,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.0,0.80,6.80,2.40,35.3,1.60,2.40,2.80,1.20,0.00,0.00,1.20,0.00,0.00,0.80,0.00,Matches
1123,Lukáš Hrádecký\Lukas-Hradecky,fi FIN,GK,Leverkusen,de Bundesliga,31-161,1989,25.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.16,0.04,25.0,0.12,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.00,Matches
1124,Ajdin Hrustic\Ajdin-Hrustic,au AUS,MFFW,Eint Frankfurt,de Bundesliga,24-303,1996,1.2,2.50,2.50,1.67,0.00,0.83,1.67,4.17,40.0,2.50,20.0,5.00,25.0,5.83,9.17,5.00,2.50,0.00,0.00,2.50,2.50,5.00,0.83,0.00,Matches
1125,Florian Hübner\Florian-Hubner,de GER,DF,Union Berlin,de Bundesliga,30-064,1991,5.8,1.38,0.69,1.03,0.34,0.00,0.86,2.41,35.7,1.55,12.8,3.62,28.4,7.07,5.34,0.34,2.07,0.52,0.00,1.55,1.90,3.28,5.69,0.00,Matches
1126,Callum Hudson-Odoi\Callum-Hudson-Odoi,eng ENG,FWDF,Chelsea,eng Premier League,20-178,2000,11.1,2.07,0.99,0.99,0.54,0.54,0.63,1.53,41.2,0.90,13.2,4.50,34.2,3.15,5.68,4.32,1.44,0.00,0.00,1.44,0.90,2.97,0.72,0.00,Matches
1127,Niall Huggins\Niall-Huggins,wal WAL,DF,Leeds United,eng Premier League,20-137,2000,0.4,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.0,5.00,22.5,2.50,11.1,10.0,7.50,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1128,Mats Hummels\Mats-Hummels,de GER,DF,Dortmund,de Bundesliga,32-139,1988,28.9,1.97,1.31,1.25,0.59,0.14,0.62,1.49,41.9,0.87,8.34,3.39,40.7,4.71,3.32,0.31,1.35,0.80,0.03,0.55,2.01,3.98,5.74,0.03,Matches
1129,Adrien Hunou\Adrien-Hunou,fr FRA,FWMF,Rennes,fr Ligue 1,27-105,1994,6.5,1.08,1.08,0.46,0.31,0.31,0.15,1.08,14.3,0.92,16.9,6.15,36.4,2.31,5.23,9.38,1.08,0.00,0.00,1.08,0.15,1.23,0.46,0.00,Matches
1130,Klaas-Jan Huntelaar\Klaas-Jan-Huntelaar,nl NED,FW,Schalke 04,de Bundesliga,37-265,1983,4.2,0.48,0.24,0.00,0.24,0.24,0.00,0.71,0.0,0.71,19.0,5.00,26.3,1.90,6.90,10.2,0.24,0.00,0.00,0.24,0.48,0.95,0.48,0.00,Matches
1131,Elseid Hysaj\Elseid-Hysaj,al ALB,DF,Napoli,it Serie A,27-073,1994,16.2,1.48,0.86,0.99,0.49,0.00,0.62,1.73,35.7,1.11,11.8,3.46,29.3,5.31,4.63,1.85,1.91,0.19,0.00,1.73,1.73,3.21,2.84,0.06,Matches
1132,Pierre Højbjerg\Pierre-Hojbjerg,dk DEN,MF,Tottenham,eng Premier League,25-272,1995,34.0,3.15,2.15,1.56,1.24,0.35,1.65,3.56,46.3,1.91,20.9,5.94,28.5,8.50,10.1,2.32,1.50,0.24,0.00,1.26,1.26,4.41,2.26,0.00,Matches
1133,Simone Iacoponi\Simone-Iacoponi,it ITA,DF,Parma,it Serie A,34-004,1987,13.3,1.73,1.20,1.05,0.60,0.08,0.53,1.50,35.0,0.98,11.1,3.08,27.9,6.39,3.68,0.98,1.80,0.23,0.00,1.58,0.53,2.26,3.61,0.08,Matches
1134,Iago\Iago,br BRA,DF,Augsburg,de Bundesliga,24-042,1997,15.4,1.95,1.10,0.84,0.78,0.32,0.52,1.49,34.8,0.97,12.5,4.42,35.2,5.52,5.06,1.95,2.47,0.32,0.00,2.14,1.04,2.99,3.12,0.00,Matches
1135,Roger Ibanez\Roger-Ibanez,br BRA,DF,Roma,it Serie A,22-162,1998,25.7,2.45,1.83,1.36,0.89,0.19,0.78,1.40,55.6,0.62,13.4,4.82,35.9,7.16,5.10,1.17,2.41,0.82,0.04,1.60,2.18,4.63,4.32,0.00,Matches
1136,Vedad Ibišević\Vedad-Ibisevic,ba BIH,FW,Schalke 04,de Bundesliga,36-271,1984,1.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,9.41,2.94,31.3,0.00,6.47,2.94,1.76,0.59,0.00,1.18,0.00,0.00,0.59,0.00,Matches
1137,Vicente Iborra\Vicente-Iborra,es ESP,MF,Villarreal,es La Liga,33-108,1988,10.3,1.75,1.26,0.87,0.68,0.19,0.49,1.84,26.3,1.36,12.2,3.79,31.0,4.85,5.92,1.46,1.84,0.78,0.00,1.07,0.49,2.23,2.72,0.00,Matches
1138,Didier Ibrahim Ndong\Didier-Ibrahim-Ndong,ga GAB,MF,Dijon,fr Ligue 1,26-321,1994,28.0,2.32,1.36,1.04,1.18,0.11,0.75,2.25,33.3,1.50,14.9,5.07,34.1,5.64,7.82,1.43,1.61,0.29,0.00,1.32,1.57,3.89,1.14,0.04,Matches
1139,Zlatan Ibrahimović\Zlatan-Ibrahimovic,se SWE,FW,Milan,it Serie A,39-213,1981,15.9,0.44,0.31,0.00,0.25,0.19,0.13,0.63,20.0,0.50,7.23,2.26,31.3,0.25,3.27,3.71,0.38,0.19,0.00,0.19,0.38,0.82,1.57,0.06,Matches
1140,Mauro Icardi\Mauro-Icardi,ar ARG,FW,Paris S-G,fr Ligue 1,28-074,1993,11.7,0.51,0.26,0.09,0.26,0.17,0.26,0.94,27.3,0.68,13.5,3.68,27.2,0.26,4.27,8.97,0.43,0.26,0.00,0.17,0.34,0.85,0.34,0.00,Matches
1141,Oussama Idrissi\Oussama-Idrissi,ma MAR,FWMF,Sevilla,es La Liga,25-067,1996,0.3,6.67,3.33,0.00,3.33,3.33,0.00,3.33,0.0,3.33,23.3,10.0,42.9,6.67,10.0,6.67,3.33,0.00,0.00,3.33,3.33,10.0,0.00,0.00,Matches
1142,Odion Ighalo\Odion-Ighalo,ng NGA,FW,Manchester Utd,eng Premier League,31-322,1989,0.1,0.00,0.00,0.00,0.00,0.00,0.00,10.0,0.0,10.0,20.0,0.00,0.0,10.0,0.00,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1143,Iglesias\Iglesias,es ESP,DFFW,Getafe,es La Liga,22-305,1998,4.9,4.29,2.24,2.04,1.84,0.41,1.22,2.45,50.0,1.22,19.0,4.29,22.6,8.16,7.14,3.67,2.24,0.41,0.00,1.84,2.24,6.53,3.47,0.00,Matches
1144,Borja Iglesias\Borja-Iglesias,es ESP,FW,Betis,es La Liga,28-107,1993,12.1,0.08,0.00,0.00,0.00,0.08,0.00,0.41,0.0,0.41,14.1,2.89,20.5,0.83,6.69,6.61,0.74,0.17,0.00,0.58,0.41,0.50,0.83,0.00,Matches
1145,Igor\Igor,br BRA,DF,Fiorentina,it Serie A,23-086,1998,11.6,1.81,0.86,0.95,0.86,0.00,0.34,0.69,50.0,0.34,9.40,3.10,33.0,3.79,4.74,0.86,1.72,0.60,0.00,1.12,2.24,4.05,3.02,0.17,Matches
1146,Kelechi Iheanacho\Kelechi-Iheanacho,ng NGA,FW,Leicester City,eng Premier League,24-213,1996,12.9,0.70,0.54,0.16,0.39,0.16,0.16,0.85,18.2,0.70,14.7,3.33,22.6,1.09,8.14,5.50,1.24,0.16,0.00,1.09,0.23,0.93,0.08,0.00,Matches
1147,Jonathan Ikone\Jonathan-Ikone,fr FRA,MFFW,Lille,fr Ligue 1,23-002,1998,23.6,0.85,0.55,0.21,0.30,0.34,0.21,0.97,21.7,0.76,14.7,3.64,24.7,1.69,6.74,6.31,0.72,0.00,0.00,0.72,0.47,1.31,0.30,0.00,Matches
1148,Yun Il-lok\Yun-Il-lok,kr KOR,MFFW,Montpellier,fr Ligue 1,29-058,1992,3.5,0.00,0.00,0.00,0.00,0.00,0.00,1.71,0.0,1.71,13.1,3.43,26.1,2.00,8.57,2.57,0.57,0.00,0.00,0.57,1.71,1.71,0.29,0.00,Matches
1149,Ilaix\Ilaix,es ESP,MF,Barcelona,es La Liga,18-105,2003,3.8,2.63,1.58,0.79,1.32,0.53,1.05,2.63,40.0,1.58,25.8,5.79,22.4,3.68,13.9,8.16,2.11,0.00,0.00,2.11,1.32,3.95,1.05,0.00,Matches
1150,Ivan Ilić\Ivan-Ilic,rs SRB,MF,Hellas Verona,it Serie A,20-048,2001,16.4,1.10,0.67,0.43,0.49,0.18,0.18,1.04,17.6,0.85,13.7,4.39,32.0,3.60,6.89,3.23,1.34,0.18,0.00,1.16,1.59,2.68,0.91,0.00,Matches
1151,Josip Iličić\Josip-Ilicic,si SVN,FWMF,Atalanta,it Serie A,33-095,1988,16.1,0.50,0.19,0.06,0.12,0.31,0.12,1.06,11.8,0.93,11.6,3.17,27.4,0.93,4.41,6.21,0.68,0.00,0.00,0.68,0.37,0.87,0.12,0.12,Matches
1152,Asier Illarramendi\Asier-Illarramendi,es ESP,MF,Real Sociedad,es La Liga,31-057,1990,3.6,1.11,0.83,0.28,0.83,0.00,0.28,1.11,25.0,0.83,9.72,3.61,37.1,1.94,4.72,3.06,1.39,0.28,0.00,1.11,1.39,2.50,2.50,0.00,Matches
1153,Stefan Ilsanker\Stefan-Ilsanker,at AUT,MFDF,Eint Frankfurt,de Bundesliga,31-351,1989,16.2,2.84,1.73,1.60,1.11,0.12,0.86,2.22,38.9,1.36,17.0,5.06,29.8,7.53,8.33,1.11,2.41,0.74,0.00,1.67,1.48,4.32,3.52,0.06,Matches
1154,Ciro Immobile\Ciro-Immobile,it ITA,FW,Lazio,it Serie A,31-073,1990,27.7,0.51,0.32,0.14,0.11,0.25,0.18,0.83,21.7,0.65,13.6,4.04,29.8,1.84,5.05,6.68,0.54,0.00,0.00,0.54,0.14,0.65,0.22,0.00,Matches
1155,Riccardo Improta\Riccardo-Improta,it ITA,DFMF,Benevento,it Serie A,27-136,1993,23.0,1.70,1.00,1.00,0.48,0.22,0.61,1.57,38.9,0.96,14.0,3.70,26.5,6.39,5.57,2.00,1.48,0.22,0.00,1.26,1.26,2.96,1.96,0.00,Matches
1156,Roberto Inglese\Roberto-Inglese,it ITA,FW,Parma,it Serie A,29-173,1991,6.4,0.78,0.63,0.16,0.16,0.47,0.16,1.56,10.0,1.41,14.8,2.97,20.0,2.34,7.50,5.00,1.56,0.16,0.00,1.41,0.16,0.94,0.63,0.00,Matches
1157,Danny Ings\Danny-Ings,eng ENG,FW,Southampton,eng Premier League,28-285,1992,21.3,0.99,0.52,0.28,0.56,0.14,0.38,1.22,30.8,0.85,16.1,3.99,24.9,2.30,6.67,7.09,2.07,0.09,0.00,1.97,0.33,1.31,0.75,0.09,Matches
1158,Marcus Ingvartsen\Marcus-Ingvartsen,dk DEN,MFFW,Union Berlin,de Bundesliga,25-120,1996,20.0,1.15,0.65,0.45,0.55,0.15,0.40,1.25,32.0,0.85,16.5,4.95,30.0,4.25,8.35,3.90,1.45,0.05,0.00,1.40,1.35,2.50,0.75,0.05,Matches
1159,Lorenzo Insigne\Lorenzo-Insigne,it ITA,FW,Napoli,it Serie A,29-334,1991,27.8,0.72,0.40,0.18,0.36,0.18,0.18,2.48,7.2,2.30,11.5,2.99,26.0,3.85,4.39,3.24,1.08,0.07,0.00,1.01,1.26,1.98,0.36,0.00,Matches
1160,Roberto Insigne\Roberto-Insigne,it ITA,MFFW,Benevento,it Serie A,26-358,1994,16.1,0.99,0.37,0.31,0.31,0.37,0.56,1.80,31.0,1.24,10.8,2.67,24.7,2.67,3.91,4.22,0.87,0.00,0.00,0.87,0.43,1.43,0.87,0.00,Matches
1161,Pablo Insua\Pablo-Insua,es ESP,DF,Huesca,es La Liga,27-237,1993,17.6,1.70,1.02,1.25,0.45,0.00,0.68,1.82,37.5,1.14,12.9,4.49,34.8,8.58,3.98,0.34,1.14,0.45,0.00,0.68,0.85,2.56,4.55,0.00,Matches
1162,Takashi Inui\Takashi-Inui,jp JPN,MFFW,Eibar,es La Liga,32-336,1988,19.2,0.83,0.52,0.26,0.26,0.31,0.26,0.94,27.8,0.68,15.5,4.84,31.3,3.28,4.95,7.24,1.35,0.00,0.00,1.35,0.68,1.51,0.26,0.00,Matches
1163,Artur Ioniță\Artur-Ionita,md MDA,MF,Benevento,it Serie A,30-260,1990,29.9,1.64,1.10,0.60,0.90,0.13,0.47,1.84,25.5,1.37,17.0,5.05,29.7,4.38,9.57,3.04,1.44,0.40,0.00,1.04,0.97,2.61,1.04,0.00,Matches
1164,Alexander Isak\Alexander-Isak,se SWE,FW,Real Sociedad,es La Liga,21-225,1999,23.1,0.61,0.43,0.00,0.22,0.39,0.09,0.30,28.6,0.22,11.1,3.03,27.3,0.48,3.07,7.53,0.48,0.09,0.00,0.39,0.17,0.78,0.26,0.00,Matches
1165,Isco\Isco,es ESP,MFFW,Real Madrid,es La Liga,29-013,1992,9.4,0.96,0.85,0.43,0.43,0.11,0.11,1.60,6.7,1.49,14.0,4.36,31.1,2.77,7.66,3.62,1.06,0.11,0.00,0.96,0.53,1.49,0.43,0.00,Matches
1166,Ardian Ismajli\Ardian-Ismajli,al ALB,DF,Spezia,it Serie A,24-216,1996,12.4,1.29,0.97,0.89,0.32,0.08,0.48,1.13,42.9,0.65,9.11,3.39,37.2,4.52,4.35,0.24,0.97,0.48,0.00,0.48,1.45,2.74,6.13,0.16,Matches
1167,Branislav Ivanović\Branislav-Ivanovic,rs SRB,DF,West Brom,eng Premier League,37-071,1984,8.5,1.65,0.59,1.06,0.59,0.00,0.59,1.41,41.7,0.82,9.76,2.12,21.7,6.35,3.29,0.12,1.76,0.82,0.00,0.94,0.35,2.00,3.65,0.00,Matches
1168,Alex Iwobi\Alex-Iwobi,ng NGA,FWDF,Everton,eng Premier League,25-001,1996,16.6,1.93,1.27,0.96,0.84,0.12,0.84,1.63,51.9,0.78,12.3,4.28,34.6,5.36,3.92,3.07,1.33,0.06,0.00,1.27,1.02,2.95,0.72,0.00,Matches
1169,Jairo Izquierdo\Jairo-Izquierdo,es ESP,MFDF,Cádiz,es La Liga,27-194,1993,13.2,1.44,0.38,0.83,0.30,0.30,0.61,2.35,25.8,1.74,12.9,3.33,25.9,5.08,5.15,2.65,1.36,0.08,0.00,1.29,1.14,2.58,0.91,0.00,Matches
1170,José Izquierdo\Jose-Izquierdo,co COL,DFMF,Brighton,eng Premier League,28-301,1992,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,10.0,0.00,0.0,0.00,0.00,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1171,Armando Izzo\Armando-Izzo,it ITA,DF,Torino,it Serie A,29-063,1992,19.9,1.46,1.06,0.80,0.60,0.05,0.60,1.76,34.3,1.16,10.7,3.22,30.0,4.87,4.67,1.16,1.31,0.50,0.00,0.80,2.51,3.97,4.82,0.00,Matches
1172,Phil Jagielka\Phil-Jagielka,eng ENG,DF,Sheffield Utd,eng Premier League,38-260,1982,5.8,1.55,0.69,0.86,0.52,0.17,0.86,1.90,45.5,1.03,9.66,2.93,30.4,6.90,2.76,0.00,2.59,1.03,0.00,1.55,2.07,3.62,7.93,0.34,Matches
1173,Alireza Jahanbakhsh\Alireza-Jahanbakhsh,ir IRN,FWDF,Brighton,eng Premier League,27-266,1993,3.4,1.18,0.59,0.00,0.88,0.29,0.59,2.06,28.6,1.47,13.2,4.12,31.1,1.76,4.71,6.76,1.47,0.00,0.00,1.47,0.59,1.76,0.00,0.00,Matches
1174,Mato Jajalo\Mato-Jajalo,ba BIH,MF,Udinese,it Serie A,32-344,1988,0.4,5.00,5.00,5.00,0.00,0.00,0.00,0.00,,0.00,10.0,7.50,75.0,10.0,0.00,0.00,2.50,0.00,0.00,2.50,0.00,5.00,7.50,2.50,Matches
1175,Ismail Jakobs\Ismail-Jakobs,de GER,DFMF,Köln,de Bundesliga,21-260,1999,17.7,1.64,0.62,1.07,0.28,0.28,0.73,1.41,52.0,0.68,15.0,3.95,26.4,6.16,5.20,3.62,1.81,0.00,0.00,1.81,1.02,2.66,1.86,0.00,Matches
1176,Daniel James\Daniel-James,wal WAL,FW,Manchester Utd,eng Premier League,23-175,1997,9.1,1.21,0.99,0.33,0.55,0.33,0.11,2.42,4.5,2.31,21.4,4.62,21.5,4.07,8.57,8.79,1.32,0.00,0.00,1.32,1.10,2.31,0.33,0.00,Matches
1177,Reece James\Reece-James,eng ENG,DF,Chelsea,eng Premier League,21-147,1999,22.4,2.50,1.38,1.52,0.76,0.22,0.76,1.92,39.5,1.16,14.2,3.79,26.8,6.47,5.94,1.74,2.41,0.36,0.00,2.05,1.70,4.20,1.96,0.00,Matches
1178,Alexandre Jankewitz\Alexandre-Jankewitz,ch SUI,MF,Southampton,eng Premier League,19-130,2001,0.0,2,0,1,1,0,1,1,100.0,0,8,2,25.0,4,4,0,0,0,0,0,0,2,0,0,Matches
1179,Saidy Janko\Saidy-Janko,ch SUI,DF,Valladolid,es La Liga,25-194,1995,10.9,1.56,1.01,1.28,0.28,0.00,0.46,1.19,38.5,0.73,12.0,3.21,26.7,5.96,4.13,1.93,1.56,0.00,0.00,1.56,1.93,3.49,3.85,0.00,Matches
1180,Jakub Jankto\Jakub-Jankto,cz CZE,MF,Sampdoria,it Serie A,25-105,1996,24.0,0.92,0.42,0.50,0.33,0.08,0.38,1.38,27.3,1.00,14.0,3.08,22.1,3.63,5.96,4.38,1.58,0.13,0.00,1.46,0.71,1.63,1.21,0.00,Matches
1181,Tony Jantschke\Tony-Jantschke,de GER,DF,M'Gladbach,de Bundesliga,31-027,1990,2.9,2.76,2.41,1.38,1.38,0.00,1.03,2.07,50.0,1.03,7.59,4.14,54.5,3.10,3.45,1.03,3.45,2.07,0.00,1.38,1.38,4.14,3.10,0.00,Matches
1182,Adnan Januzaj\Adnan-Januzaj,be BEL,MFFW,Real Sociedad,es La Liga,26-088,1995,9.6,1.15,0.52,0.10,0.83,0.21,0.10,0.52,20.0,0.42,9.17,2.19,23.9,0.73,5.42,3.02,0.73,0.10,0.00,0.63,0.42,1.56,0.31,0.00,Matches
1183,Rune Jarstein\Rune-Jarstein,no NOR,GK,Hertha BSC,de Bundesliga,36-217,1984,8.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.25,0.00,0.0,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.00,Matches
1184,Jason\Jason,es ESP,MFDF,Valencia,es La Liga,26-302,1994,4.8,2.29,1.25,1.04,0.83,0.42,0.63,3.33,18.8,2.71,20.2,5.00,24.7,5.83,10.6,3.75,2.08,0.42,0.00,1.67,1.67,3.96,1.25,0.21,Matches
1185,Luis Javier Suárez\Luis-Javier-Suarez,co COL,FWMF,Granada,es La Liga,23-153,1997,15.3,1.31,0.85,0.33,0.46,0.52,0.13,0.85,15.4,0.72,14.6,3.59,24.6,1.57,6.54,6.54,0.78,0.07,0.00,0.72,0.52,1.83,0.92,0.00,Matches
1186,Corentin Jean\Corentin-Jean,fr FRA,FW,Lens,fr Ligue 1,25-293,1995,5.9,1.53,1.19,0.51,0.51,0.51,0.51,1.19,42.9,0.68,15.9,5.25,33.0,1.36,6.78,7.80,0.68,0.00,0.00,0.68,0.34,1.86,0.51,0.00,Matches
1187,Tin Jedvaj\Tin-Jedvaj,hr CRO,DF,Leverkusen,de Bundesliga,25-157,1995,1.7,2.35,0.00,1.18,1.18,0.00,0.59,1.76,33.3,1.18,15.3,2.94,19.2,6.47,6.47,2.35,1.18,0.59,0.00,0.59,2.35,4.71,8.82,0.00,Matches
1188,Fredrik Jensen\Fredrik-Jensen,fi FIN,FWMF,Augsburg,de Bundesliga,23-237,1997,3.7,0.81,0.27,0.54,0.27,0.00,0.81,1.89,42.9,1.08,14.9,2.16,14.5,2.43,6.76,5.68,0.81,0.27,0.00,0.54,1.08,1.89,1.89,0.00,Matches
1189,Jesé\Jese,es ESP,FW,Paris S-G,fr Ligue 1,28-067,1993,0.3,0.00,0.00,0.00,0.00,0.00,0.00,3.33,0.0,3.33,20.0,0.00,0.0,0.00,13.3,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1190,Gabriel Jesus\Gabriel-Jesus,br BRA,FW,Manchester City,eng Premier League,24-031,1997,20.0,1.05,0.60,0.30,0.35,0.40,0.35,1.20,29.2,0.85,14.6,4.30,29.5,1.70,5.15,7.75,0.80,0.10,0.00,0.70,0.90,1.95,0.15,0.00,Matches
1191,Juan Jesus\Juan-Jesus,br BRA,DF,Roma,it Serie A,29-328,1991,1.2,1.67,0.83,0.83,0.83,0.00,0.83,1.67,50.0,0.83,9.17,2.50,27.3,4.17,2.50,2.50,1.67,0.00,0.00,1.67,0.00,1.67,4.17,0.00,Matches
1192,Raúl Jiménez\Raul-Jimenez,mx MEX,FW,Wolves,eng Premier League,29-364,1991,9.1,0.77,0.44,0.11,0.44,0.22,0.00,0.77,0.0,0.77,9.89,2.42,24.4,1.32,3.96,4.62,0.88,0.11,0.00,0.77,0.66,1.43,1.10,0.11,Matches
1193,Joaquín\Joaquin,es ESP,FWMF,Betis,es La Liga,39-287,1981,12.9,0.54,0.39,0.16,0.31,0.08,0.23,0.85,27.3,0.62,10.4,2.56,24.6,2.25,5.19,2.95,1.24,0.00,0.00,1.24,1.01,1.55,0.47,0.00,Matches
