,,,,,,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
1510,Josh Maja\Josh-Maja,ng NGA,FW,Bordeaux,fr Ligue 1,20,1998,8.2,21.3,25.1,85.0,276.6,44.3,14.4,15.7,91.5,5.00,6.22,80.4,0.73,1.10,66.7,0.24,0.15,0.10,0.98,0.73,0.24,0.00,0.98,Matches
1511,Abdul Majeed Waris\Abdul-Majeed-Waris,gh GHA,FW,Strasbourg,fr Ligue 1,27,1991,4.1,15.9,21.7,73.0,204.1,58.5,10.0,12.0,83.7,4.63,6.34,73.1,0.24,1.46,16.7,0.24,0.17,0.07,0.73,0.24,1.22,0.00,2.20,Matches
1512,Žan Majer\Zan-Majer,si SVN,MF,Lecce,it Serie A,27,1992,18.5,32.1,40.3,79.5,570.2,144.7,14.7,16.4,89.5,12.4,14.8,83.6,3.84,6.54,58.7,0.05,0.08,-0.02,1.03,3.30,0.86,0.27,2.92,Matches
1513,Jean-Victor Makengo\Jean-Victor-Makengo,fr FRA,MFFW,Toulouse,fr Ligue 1,21,1998,11.0,33.9,40.6,83.4,539.6,135.9,18.5,20.7,89.5,11.7,13.5,86.6,2.45,4.45,55.1,0.00,0.11,-0.11,1.18,4.18,0.55,0.09,3.82,Matches
1514,Nemanja Maksimović\Nemanja-Maksimovic,rs SRB,MF,Getafe,es La Liga,24,1995,32.2,16.6,22.7,73.2,279.2,63.6,7.30,9.60,76.1,5.75,7.80,73.7,2.14,3.17,67.6,0.00,0.03,-0.03,0.40,1.21,0.34,0.06,1.46,Matches
1515,Nikola Maksimović\Nikola-Maksimovic,rs SRB,DF,Napoli,it Serie A,27,1991,20.0,64.3,69.5,92.7,1352.7,455.1,17.6,19.2,91.9,35.9,37.4,96.0,10.2,11.7,87.6,0.05,0.03,0.01,0.35,3.95,0.45,0.25,3.15,Matches
1516,Kévin Malcuit\Kevin-Malcuit,ma MAR,DF,Napoli,it Serie A,28,1991,2.8,50.7,62.1,81.6,925.4,210.0,23.6,25.7,91.7,18.6,23.2,80.0,6.79,11.1,61.3,0.00,0.07,-0.07,0.71,1.43,1.43,1.07,3.21,Matches
1517,Daniel Maldini\Daniel-Maldini,it ITA,FW,Milan,it Serie A,17,2001,0.3,43.3,53.3,81.3,586.7,63.3,36.7,36.7,100.0,3.33,10.0,33.3,3.33,3.33,100.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1518,Ruslan Malinovskyi\Ruslan-Malinovskyi,ua UKR,MFFW,Atalanta,it Serie A,26,1993,17.1,45.6,57.3,79.6,898.7,226.3,17.3,20.4,84.8,21.1,24.2,87.0,6.49,10.8,60.3,0.18,0.29,-0.12,2.51,3.92,2.63,0.47,6.20,Matches
1519,Yunus Mallı\Yunus-Malli,tr TUR,FWMF,Union Berlin,de Bundesliga,27,1992,7.5,20.3,28.4,71.4,279.6,66.0,10.8,14.4,75.0,7.20,9.33,77.1,0.80,2.40,33.3,0.13,0.09,0.04,0.53,0.93,0.40,0.13,1.73,Matches
1520,Hugo Mallo\Hugo-Mallo,es ESP,DF,Celta Vigo,es La Liga,28,1991,21.8,45.8,59.7,76.7,826.0,326.7,22.1,23.5,94.0,18.3,23.1,79.1,4.91,10.8,45.5,0.05,0.08,-0.04,0.60,2.75,0.92,0.41,3.53,Matches
1521,Streli Mamba\Streli-Mamba,de GER,FW,Paderborn 07,de Bundesliga,25,1994,16.9,12.5,16.3,76.8,182.7,27.2,7.22,8.93,80.8,3.91,4.97,78.6,0.65,1.01,64.7,0.12,0.08,0.04,0.47,0.71,0.06,0.00,0.53,Matches
1522,Hianga Mananga Mbock\Hianga-Mananga-Mbock,fr FRA,MF,Brest,fr Ligue 1,19,1999,1.6,45.6,51.3,89.0,1005.6,155.0,15.0,16.3,92.3,18.8,21.3,88.2,11.3,11.9,94.7,0.00,0.06,-0.06,0.63,1.25,0.00,0.00,1.88,Matches
1523,Vincent Manceau\Vincent-Manceau,fr FRA,DF,Angers,fr Ligue 1,30,1989,22.0,48.3,59.9,80.7,865.0,385.8,22.9,24.8,92.1,20.2,23.7,85.1,5.09,9.82,51.9,0.00,0.05,-0.05,0.64,3.45,1.00,0.32,5.05,Matches
1524,Gianluca Mancini\Gianluca-Mancini,it ITA,DFMF,Roma,it Serie A,23,1996,30.4,49.3,55.2,89.3,1020.1,331.3,13.9,15.4,90.6,27.7,29.1,95.1,7.20,9.84,73.2,0.00,0.02,-0.02,0.30,2.60,0.43,0.00,3.19,Matches
1525,Marco Mancosu\Marco-Mancosu,it ITA,MFFW,Lecce,it Serie A,30,1988,27.1,25.2,33.5,75.1,412.1,102.0,13.5,16.1,84.4,7.97,10.5,76.1,2.58,4.35,59.3,0.07,0.15,-0.07,1.29,2.36,0.89,0.22,2.55,Matches
1526,Steve Mandanda\Steve-Mandanda,fr FRA,GK,Marseille,fr Ligue 1,34,1985,26.3,21.9,32.2,67.8,677.9,407.8,2.81,2.81,100.0,10.8,10.8,99.6,8.29,18.6,44.6,0.00,0.00,0.00,0.00,0.23,0.00,0.00,0.00,Matches
1527,Reinildo Mandava\Reinildo-Mandava,mz MOZ,DF,Lille,fr Ligue 1,25,1994,12.3,42.5,53.3,79.7,715.0,229.3,20.4,22.6,90.3,18.0,22.0,82.2,2.93,5.77,50.7,0.00,0.03,-0.03,0.33,2.76,0.57,0.24,3.01,Matches
1528,Aïssa Mandi\Aissa-Mandi,dz ALG,DF,Betis,es La Liga,27,1991,28.6,56.9,62.2,91.5,1234.6,410.6,17.9,18.7,95.5,26.8,28.2,95.2,11.5,14.2,81.2,0.00,0.03,-0.03,0.24,3.25,0.17,0.03,2.24,Matches
1529,Rolando Mandragora\Rolando-Mandragora,it ITA,MF,Udinese,it Serie A,22,1997,22.8,34.6,42.7,81.0,624.6,173.6,15.9,17.8,89.4,12.6,15.2,83.0,4.87,7.50,64.9,0.09,0.13,-0.04,1.62,2.89,0.75,0.26,3.51,Matches
1530,Sadio Mané\Sadio-Mane,sn SEN,FW,Liverpool,eng Premier League,27,1992,30.5,30.6,38.1,80.3,511.6,126.8,15.9,18.4,86.4,10.8,13.3,81.0,3.15,4.20,75.0,0.23,0.24,-0.01,1.84,2.13,2.20,0.36,3.93,Matches
1531,Eliaquim Mangala\Eliaquim-Mangala,fr FRA,DF,Valencia,es La Liga,28,1991,7.5,33.9,38.5,87.9,746.3,200.9,7.87,8.93,88.1,20.3,21.6,93.8,5.47,7.73,70.7,0.00,0.00,0.00,0.00,1.87,0.00,0.00,1.07,Matches
1532,Thomas Mangani\Thomas-Mangani,fr FRA,MF,Angers,fr Ligue 1,32,1987,20.8,51.6,65.7,78.6,946.9,351.7,24.4,27.4,89.1,19.4,22.8,85.0,7.02,13.7,51.2,0.10,0.17,-0.07,2.50,4.52,1.68,0.67,6.49,Matches
1533,Massimiliano Mangraviti\Massimiliano-Mangraviti,it ITA,DF,Brescia,it Serie A,21,1998,10.8,33.8,41.0,82.4,739.5,348.6,9.72,10.7,90.5,17.1,18.8,91.1,6.20,10.1,61.5,0.00,0.01,-0.01,0.09,3.24,0.46,0.37,3.52,Matches
1534,Kostas Manolas\Kostas-Manolas,gr GRE,DF,Napoli,it Serie A,28,1991,24.2,56.6,61.0,92.8,1207.1,300.9,16.7,17.5,95.3,29.2,30.7,95.0,10.3,12.2,84.5,0.00,0.00,-0.00,0.08,1.94,0.08,0.00,2.31,Matches
1535,Javier Manquillo\Javier-Manquillo,es ESP,DF,Newcastle Utd,eng Premier League,25,1994,17.8,25.4,35.5,71.5,422.3,158.5,12.9,15.2,84.5,9.89,13.6,72.7,1.91,4.72,40.5,0.06,0.02,0.03,0.34,1.52,0.28,0.22,1.52,Matches
1536,Giacomo Manzari\Giacomo-Manzari,it ITA,FWMF,Sassuolo,it Serie A,18,2000,0.2,20.0,35.0,57.1,200.0,95.0,10.0,20.0,50.0,5.00,5.00,100.0,0.00,5.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1537,Myziane Maolida\Myziane-Maolida,fr FRA,FWMF,Nice,fr Ligue 1,20,1999,7.5,34.3,42.3,81.1,495.2,134.1,20.8,24.5,84.8,11.6,14.0,82.9,1.07,2.00,53.3,0.27,0.24,0.03,1.73,1.87,1.60,0.40,4.80,Matches
1538,Faitout Maouassa\Faitout-Maouassa,fr FRA,DF,Rennes,fr Ligue 1,21,1998,20.0,38.0,49.8,76.3,688.3,261.5,17.4,19.4,89.5,16.1,20.1,80.5,4.15,8.75,47.4,0.05,0.05,0.00,0.65,2.45,0.60,0.50,3.20,Matches
1539,Fernando Marçal\Fernando-Marcal,br BRA,DF,Lyon,fr Ligue 1,30,1989,9.2,67.4,81.7,82.4,1270.1,431.8,28.7,31.6,90.7,28.9,33.9,85.3,8.91,13.8,64.6,0.11,0.14,-0.03,1.30,5.98,1.30,0.76,5.87,Matches
1540,Marcelo\Marcelo,br BRA,DF,Real Madrid,es La Liga,31,1988,14.4,61.3,74.4,82.4,1048.0,393.4,33.5,36.2,92.5,19.9,23.8,83.6,6.74,10.8,62.2,0.14,0.15,-0.01,1.81,5.56,2.85,0.90,7.43,Matches
1541,Marcelo\Marcelo,br BRA,DF,Lyon,fr Ligue 1,32,1987,16.7,59.1,67.8,87.1,1377.4,393.2,13.2,14.3,92.5,31.6,33.5,94.3,13.9,19.2,72.3,0.00,0.00,0.00,0.06,4.37,0.00,0.00,4.25,Matches
1542,Solly March\Solly-March,eng ENG,DFFW,Brighton,eng Premier League,25,1994,12.7,34.3,47.3,72.4,637.5,183.6,15.7,18.3,86.2,14.3,18.3,78.0,4.02,8.58,46.8,0.08,0.06,0.02,1.02,1.42,1.57,0.55,3.39,Matches
1543,Gian Marco Ferrari\Gian-Marco-Ferrari,it ITA,DF,Sassuolo,it Serie A,27,1992,21.1,64.9,69.3,93.6,1263.4,422.6,21.9,22.7,96.9,35.2,36.4,96.6,7.30,9.43,77.4,0.05,0.04,0.00,0.28,4.08,0.19,0.05,3.55,Matches
1544,Óscar de Marcos\Oscar-de-Marcos,es ESP,DFFW,Athletic Club,es La Liga,30,1989,6.0,28.0,38.0,73.7,456.7,171.8,15.3,18.0,85.2,10.3,13.7,75.6,1.83,4.00,45.8,0.17,0.17,0.00,1.50,2.50,1.00,0.67,3.17,Matches
1545,Dario Maresic\Dario-Maresic,at AUT,DF,Reims,fr Ligue 1,19,1999,1.0,53.0,64.0,82.8,1155.0,374.0,16.0,17.0,94.1,26.0,29.0,89.7,11.0,18.0,61.1,0.00,0.00,0.00,0.00,5.00,1.00,0.00,6.00,Matches
1546,Miguel Marí\Miguel-Mari,es ESP,MF,Eibar,es La Liga,22,1997,0.1,10.0,20.0,50.0,160.0,0.00,0.00,10.0,0.0,10.0,10.0,100.0,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1547,Pablo Marí\Pablo-Mari,es ESP,DF,Arsenal,eng Premier League,25,1993,1.3,62.3,70.0,89.0,1343.1,278.5,22.3,23.1,96.7,27.7,27.7,100.0,12.3,17.7,69.6,0.00,0.00,0.00,0.00,3.08,0.00,0.00,3.08,Matches
1548,José María Giménez\Jose-Maria-Gimenez,uy URU,DF,Atlético Madrid,es La Liga,24,1995,19.5,38.6,43.7,88.3,877.9,291.5,10.9,11.8,92.2,19.1,20.7,92.3,8.36,10.8,77.6,0.00,0.00,0.00,0.00,2.00,0.05,0.00,2.21,Matches
1549,Mariano\Mariano,do DOM,FW,Real Madrid,es La Liga,25,1993,0.5,22.0,30.0,73.3,284.0,52.0,14.0,18.0,77.8,8.00,8.00,100.0,0.00,2.00,0.0,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,Matches
1550,Adrian Mariappa\Adrian-Mariappa,jm JAM,DF,Watford,eng Premier League,32,1986,16.8,25.4,34.8,72.8,504.2,224.5,9.05,10.4,87.4,12.1,16.1,75.6,3.63,7.32,49.6,0.00,0.02,-0.02,0.24,1.90,0.18,0.18,2.20,Matches
1551,Jordan Marié\Jordan-Marie,fr FRA,MF,Dijon,fr Ligue 1,27,1991,2.2,38.2,50.5,75.7,829.5,225.5,13.2,16.4,80.6,15.5,17.7,87.2,8.64,13.2,65.5,0.00,0.18,-0.18,0.91,3.18,0.91,0.00,3.18,Matches
1552,Federico Marigosu\Federico-Marigosu,it ITA,MF,Cagliari,it Serie A,18,2001,0.3,26.7,50.0,53.3,633.3,206.7,10.0,16.7,60.0,6.67,13.3,50.0,10.0,16.7,60.0,0.00,0.00,0.00,3.33,0.00,3.33,3.33,0.00,Matches
1553,Adrián Marín\Adrian-Marin,es ESP,DF,Alavés,es La Liga,22,1997,9.5,26.6,37.4,71.3,488.8,261.3,10.8,12.4,87.3,12.8,16.8,76.3,2.74,6.95,39.4,0.00,0.03,-0.03,0.53,2.53,0.74,0.21,4.11,Matches
1554,Guillermo Maripán\Guillermo-Maripan,cl CHI,DF,Alavés,es La Liga,25,1994,1.0,7.00,11.0,63.6,122.0,49.0,3.00,4.00,75.0,4.00,5.00,80.0,0.00,1.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1555,Guillermo Maripán\Guillermo-Maripan,cl CHI,DF,Monaco,fr Ligue 1,25,1994,19.5,48.0,54.0,88.9,1124.2,339.2,11.2,12.5,89.3,24.9,26.6,93.6,11.6,14.4,81.1,0.00,0.00,0.00,0.05,3.23,0.15,0.10,3.69,Matches
1556,Marlon\Marlon,br BRA,DF,Sassuolo,it Serie A,23,1995,20.2,67.8,71.6,94.7,1269.7,448.2,26.8,28.1,95.4,33.7,34.6,97.4,6.63,8.07,82.2,0.00,0.03,-0.03,0.40,3.96,0.20,0.00,3.17,Matches
1557,Omar Marmoush\Omar-Marmoush,eg EGY,MFFW,Wolfsburg,de Bundesliga,20,1999,0.9,11.1,17.8,62.5,133.3,20.0,10.0,13.3,75.0,1.11,2.22,50.0,0.00,1.11,0.0,0.00,0.00,0.00,0.00,0.00,1.11,0.00,1.11,Matches
1558,Gonzalo Maroni\Gonzalo-Maroni,ar ARG,MF,Sampdoria,it Serie A,20,1999,2.0,35.5,44.5,79.8,606.0,214.0,20.5,22.5,91.1,9.50,11.0,86.4,4.00,6.50,61.5,0.50,0.30,0.20,4.50,3.50,3.00,1.00,5.50,Matches
1559,Marquinhos\Marquinhos,br BRA,MFDF,Paris S-G,fr Ligue 1,25,1994,16.4,73.6,78.9,93.3,1474.9,416.2,24.9,26.1,95.3,35.9,37.3,96.2,11.3,13.5,84.2,0.06,0.03,0.03,0.18,6.40,0.85,0.00,5.06,Matches
1560,Bruno Martella\Bruno-Martella,it ITA,DFMF,Brescia,it Serie A,26,1992,14.1,28.5,39.9,71.5,544.4,241.1,11.3,13.2,85.5,13.8,18.2,76.2,3.26,7.38,44.2,0.00,0.09,-0.09,1.06,2.20,1.56,0.85,3.69,Matches
1561,Roger Martí\Roger-Marti,es ESP,FW,Levante,es La Liga,28,1991,25.2,11.3,17.8,63.4,180.6,48.6,6.39,8.25,77.4,3.33,5.67,58.7,1.07,2.38,45.0,0.04,0.11,-0.07,0.87,0.91,0.60,0.08,1.47,Matches
1562,Anthony Martial\Anthony-Martial,fr FRA,FW,Manchester Utd,eng Premier League,23,1995,29.2,19.7,24.7,79.8,274.4,58.7,12.3,14.2,86.7,5.75,7.05,81.6,0.75,1.06,71.0,0.21,0.14,0.07,1.06,1.23,1.13,0.03,2.19,Matches
1563,Aarón Martín\Aaron-Martin,es ESP,DF,Mainz 05,de Bundesliga,22,1997,19.9,33.3,45.8,72.6,597.5,240.8,15.6,17.4,89.6,13.4,17.6,76.3,3.97,9.45,42.0,0.00,0.17,-0.17,1.56,1.96,0.90,0.60,2.71,Matches
1564,Daniel Martín\Daniel-Martin,es ESP,GK,Betis,es La Liga,21,1998,5.9,24.7,32.9,75.3,722.0,403.6,6.10,6.10,100.0,9.32,10.0,93.2,9.15,16.3,56.3,0.00,0.02,-0.02,0.17,0.17,0.00,0.00,0.00,Matches
1565,David Martin\David-Martin,eng ENG,GK,West Ham,eng Premier League,33,1986,4.8,11.5,25.8,44.4,595.4,502.3,0.21,0.21,100.0,2.08,2.08,100.0,9.17,23.5,38.9,0.00,0.00,0.00,0.00,0.42,0.00,0.00,0.00,Matches
1566,Jonas Martin\Jonas-Martin,fr FRA,MF,Rennes,fr Ligue 1,29,1990,1.3,53.1,60.8,87.3,957.7,251.5,21.5,23.1,93.3,23.1,27.7,83.3,6.92,8.46,81.8,0.00,0.15,-0.15,0.77,5.38,0.00,0.00,3.85,Matches
1567,Jonas Martin\Jonas-Martin,fr FRA,MF,Strasbourg,fr Ligue 1,29,1990,2.7,63.0,71.1,88.5,1233.0,264.4,25.6,28.9,88.5,24.8,25.2,98.5,10.7,14.1,76.3,0.00,0.11,-0.11,1.11,4.44,0.74,0.00,5.56,Matches
1568,Josh Martin\Josh-Martin,eng ENG,FW,Norwich City,eng Premier League,17,2001,0.4,30.0,40.0,75.0,345.0,72.5,25.0,27.5,90.9,5.00,10.0,50.0,0.00,0.00,,0.00,0.00,0.00,0.00,2.50,0.00,0.00,0.00,Matches
1569,Martinelli\Martinelli,br BRA,FW,Arsenal,eng Premier League,18,2001,7.4,11.6,18.6,62.3,168.0,50.4,7.84,10.3,76.3,2.57,5.27,48.7,0.95,1.35,70.0,0.00,0.04,-0.04,0.27,0.27,0.81,0.14,1.35,Matches
1570,Álex Martínez\Alex-Martinez,es ESP,DF,Granada,es La Liga,28,1990,0.2,25.0,50.0,50.0,775.0,310.0,5.00,5.00,100.0,15.0,20.0,75.0,5.00,25.0,20.0,0.00,0.00,0.00,0.00,0.00,5.00,0.00,5.00,Matches
1571,Emiliano Martínez\Emiliano-Martinez,ar ARG,GK,Arsenal,eng Premier League,26,1992,8.6,24.7,34.1,72.4,670.3,367.7,5.12,5.12,100.0,12.4,12.8,97.3,6.63,15.6,42.5,0.00,0.00,0.00,0.00,0.70,0.00,0.00,0.00,Matches
1572,Iñigo Martínez\Inigo-Martinez,es ESP,DF,Athletic Club,es La Liga,28,1991,33.0,36.1,45.5,79.3,888.4,308.5,9.45,10.3,91.5,17.2,19.8,87.0,9.27,14.5,63.8,0.03,0.03,0.00,0.21,3.48,0.33,0.09,2.88,Matches
1573,Javi Martínez\Javi-Martinez,es ESP,MF,Osasuna,es La Liga,19,1999,0.1,40.0,50.0,80.0,440.0,110.0,40.0,40.0,100.0,0.00,10.0,0.0,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1574,Javi Martínez\Javi-Martinez,es ESP,DFMF,Bayern Munich,de Bundesliga,30,1988,7.5,71.1,77.3,91.9,1534.5,428.1,20.7,21.9,94.5,37.1,39.7,93.3,12.8,15.1,85.0,0.00,0.00,0.00,0.13,5.47,0.80,0.00,4.53,Matches
1575,Lautaro Martínez\Lautaro-Martinez,ar ARG,FW,Inter,it Serie A,21,1997,27.2,11.9,19.1,62.5,185.1,46.8,6.58,9.19,71.6,3.31,5.63,58.8,1.18,1.99,59.3,0.11,0.10,0.01,1.07,1.07,0.70,0.04,1.65,Matches
1576,Pablo Martínez\Pablo-Martinez,es ESP,MFFW,Levante,es La Liga,21,1998,0.4,35.0,45.0,77.8,527.5,237.5,17.5,17.5,100.0,15.0,17.5,85.7,2.50,10.0,25.0,0.00,0.25,-0.25,2.50,0.00,0.00,0.00,0.00,Matches
1577,Pablo Martinez\Pablo-Martinez,fr FRA,DF,Nîmes,fr Ligue 1,30,1989,26.0,32.0,39.7,80.6,755.8,286.9,7.65,8.46,90.5,16.8,18.3,92.0,7.31,12.5,58.5,0.04,0.02,0.02,0.15,2.81,0.08,0.00,2.81,Matches
1578,Gelson Martins\Gelson-Martins,pt POR,DFFW,Monaco,fr Ligue 1,24,1995,18.6,33.5,42.2,79.6,501.8,146.1,19.8,22.3,88.9,11.5,14.1,81.4,1.56,3.23,48.3,0.05,0.22,-0.16,1.51,1.51,1.08,0.43,2.69,Matches
1579,Adam Marušić\Adam-Marusic,me MNE,DF,Lazio,it Serie A,26,1992,10.5,32.2,37.9,84.9,560.1,148.8,15.7,17.5,89.7,12.6,14.4,87.4,3.24,4.10,79.1,0.10,0.05,0.05,0.76,0.48,0.76,0.48,0.67,Matches
1580,Omar Mascarell\Omar-Mascarell,es ESP,MF,Schalke 04,de Bundesliga,26,1993,22.5,49.0,56.8,86.2,1127.7,233.9,11.9,13.2,90.2,25.9,28.2,91.7,10.7,14.1,76.0,0.04,0.04,0.00,0.36,3.33,0.31,0.00,3.73,Matches
1581,Andrea Masiello\Andrea-Masiello,it ITA,DF,Genoa,it Serie A,33,1986,14.7,47.3,55.2,85.6,969.3,398.2,16.3,17.3,94.1,23.2,25.6,90.5,7.21,11.0,65.8,0.07,0.00,0.07,0.07,3.74,0.61,0.00,5.65,Matches
1582,Andrea Masiello\Andrea-Masiello,it ITA,DF,Atalanta,it Serie A,33,1986,6.0,43.2,49.5,87.2,904.3,277.0,14.7,15.5,94.6,20.8,22.8,91.2,7.17,9.83,72.9,0.00,0.03,-0.03,0.50,2.67,0.17,0.17,2.33,Matches
1583,Adam Masina\Adam-Masina,ma MAR,DF,Watford,eng Premier League,25,1994,20.2,28.8,46.2,62.3,592.5,298.7,11.2,13.4,84.1,12.3,18.2,67.6,4.75,12.4,38.4,0.00,0.03,-0.03,0.64,2.82,0.74,0.59,2.97,Matches
1584,Jordi Masip\Jordi-Masip,es ESP,GK,Valladolid,es La Liga,30,1989,35.0,15.4,30.1,51.2,616.3,453.2,1.46,1.46,100.0,5.03,5.09,98.9,8.91,23.5,37.9,0.00,0.00,0.00,0.03,0.40,0.00,0.00,0.00,Matches
1585,Arthur Masuaku\Arthur-Masuaku,cd COD,DF,West Ham,eng Premier League,25,1993,10.4,45.4,56.5,80.3,725.1,288.7,25.8,28.5,90.5,14.7,18.1,81.4,3.75,6.83,54.9,0.10,0.10,0.00,0.58,2.60,0.48,0.29,3.65,Matches
1586,Jaime Mata\Jaime-Mata,es ESP,FW,Getafe,es La Liga,30,1988,30.5,16.7,25.9,64.3,246.8,58.9,10.0,13.6,73.5,4.07,6.66,61.1,1.57,2.79,56.5,0.10,0.08,0.02,0.98,1.21,0.69,0.43,1.70,Matches
1587,Juan Mata\Juan-Mata,es ESP,MFFW,Manchester Utd,eng Premier League,31,1988,8.4,52.6,62.3,84.5,834.6,193.5,30.7,32.3,95.2,16.3,19.4,84.0,4.88,7.74,63.1,0.24,0.24,0.00,2.26,4.88,2.14,0.24,4.76,Matches
1588,Aleš Matějů\Ales-Mateju,cz CZE,DF,Brescia,it Serie A,23,1996,28.3,33.4,40.8,81.8,658.4,253.5,13.0,14.6,88.9,15.2,17.6,86.4,4.77,7.42,64.3,0.04,0.04,0.00,0.35,1.70,0.35,0.21,2.79,Matches
1589,Jean-Philippe Mateta\Jean-Philippe-Mateta,fr FRA,FW,Mainz 05,de Bundesliga,22,1997,11.7,11.3,17.4,64.7,165.3,19.2,6.67,8.97,74.3,3.59,5.73,62.7,0.68,1.28,53.3,0.09,0.03,0.05,0.43,0.51,0.17,0.00,0.60,Matches
1590,Nemanja Matić\Nemanja-Matic,rs SRB,MF,Manchester Utd,eng Premier League,30,1988,17.6,62.2,70.5,88.3,1147.0,289.3,27.1,29.5,91.9,27.1,29.3,92.6,7.50,10.2,73.7,0.11,0.07,0.05,0.97,6.65,0.68,0.06,5.57,Matches
1591,Joël Matip\Joel-Matip,cm CMR,DF,Liverpool,eng Premier League,27,1991,7.8,57.4,65.9,87.2,1314.9,402.1,12.6,13.7,91.6,33.8,36.2,93.6,10.9,15.6,69.7,0.00,0.00,0.00,0.00,5.90,0.26,0.00,5.00,Matches
1592,Rabbi Matondo\Rabbi-Matondo,wal WAL,FWMF,Schalke 04,de Bundesliga,18,2000,12.9,12.6,18.5,68.2,183.0,27.9,7.21,9.92,72.7,3.49,4.81,72.6,1.01,1.71,59.1,0.00,0.05,-0.05,0.85,0.54,0.39,0.00,0.78,Matches
1593,Alessandro Matri\Alessandro-Matri,it ITA,FWMF,Brescia,it Serie A,34,1984,1.0,19.0,29.0,65.5,409.0,181.0,5.00,8.00,62.5,9.00,12.0,75.0,5.00,7.00,71.4,0.00,0.30,-0.30,4.00,4.00,2.00,0.00,6.00,Matches
1594,Federico Mattiello\Federico-Mattiello,it ITA,DF,Cagliari,it Serie A,24,1995,10.3,31.8,41.4,77.0,497.2,153.9,17.8,19.6,90.6,11.4,14.3,79.6,1.84,5.34,34.5,0.10,0.10,0.00,0.78,1.07,0.97,0.58,2.43,Matches
1595,Blaise Matuidi\Blaise-Matuidi,fr FRA,MF,Juventus,it Serie A,32,1987,24.9,39.1,45.0,87.0,576.9,138.5,22.9,24.9,91.9,12.6,14.3,87.7,2.21,3.25,67.9,0.08,0.05,0.03,0.76,2.65,0.68,0.16,2.49,Matches
1596,Neal Maupay\Neal-Maupay,fr FRA,FW,Brighton,eng Premier League,22,1996,30.7,17.6,22.4,78.5,275.7,47.5,9.48,11.5,82.2,5.83,6.91,84.4,1.37,1.92,71.2,0.10,0.08,0.02,0.85,0.91,0.88,0.10,1.76,Matches
1597,Stephy Mavididi\Stephy-Mavididi,eng ENG,FWMF,Dijon,fr Ligue 1,21,1998,15.5,18.9,23.1,81.8,262.3,60.0,11.4,13.0,87.6,5.81,7.10,81.8,0.65,0.90,71.4,0.06,0.05,0.02,0.39,0.90,0.58,0.13,1.68,Matches
1598,Philipp Max\Philipp-Max,de GER,DF,Augsburg,de Bundesliga,25,1993,30.1,31.8,47.4,67.2,634.9,310.5,13.2,15.1,87.0,13.2,16.9,77.6,5.18,13.5,38.4,0.20,0.18,0.02,2.06,2.43,1.33,0.56,3.46,Matches
1599,Eric Maxim Choupo-Moting\Eric-Maxim-Choupo-Moting,cm CMR,FWMF,Paris S-G,fr Ligue 1,30,1989,5.0,18.4,22.4,82.1,248.0,33.6,11.6,13.2,87.9,5.60,6.60,84.8,0.40,0.80,50.0,0.20,0.12,0.08,0.80,0.20,1.40,0.00,1.80,Matches
1600,Alexandru Maxim\Alexandru-Maxim,ro ROU,MF,Mainz 05,de Bundesliga,29,1990,1.3,46.9,60.0,78.2,884.6,244.6,25.4,27.7,91.7,12.3,13.8,88.9,8.46,16.2,52.4,0.00,0.38,-0.38,3.85,3.85,0.00,0.00,2.31,Matches
1601,Kévin Mayi\Kevin-Mayi,ga GAB,FW,Brest,fr Ligue 1,26,1993,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
1602,Borja Mayoral\Borja-Mayoral,es ESP,FW,Levante,es La Liga,22,1997,23.8,18.8,23.6,79.7,292.4,55.4,11.2,12.7,87.8,5.13,6.47,79.2,1.76,2.73,64.6,0.08,0.11,-0.03,0.97,1.51,0.59,0.08,1.85,Matches
1603,Luca Mazzitelli\Luca-Mazzitelli,it ITA,MF,Sassuolo,it Serie A,23,1995,0.1,270.0,290.0,93.1,4350.0,620.0,150.0,150.0,100.0,100.0,120.0,83.3,20.0,20.0,100.0,0.00,0.00,0.00,0.00,20.0,0.00,0.00,20.0,Matches
1604,Kevin Mbabu\Kevin-Mbabu,ch SUI,DF,Wolfsburg,de Bundesliga,24,1995,18.8,34.7,49.6,70.0,713.8,334.1,12.0,14.8,80.9,15.9,20.9,76.3,6.33,11.0,57.8,0.05,0.12,-0.07,0.74,2.93,1.06,0.90,3.56,Matches
