,,,,,,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
50,Paco Alcácer\Paco-Alcacer,es ESP,FW,Dortmund,de Bundesliga,25,1993,5.9,14.2,19.0,75.0,192.0,31.5,9.32,10.7,87.3,3.39,5.08,66.7,0.85,1.86,45.5,0.17,0.17,0.00,0.85,0.34,0.34,0.00,1.19,Matches
51,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Bayern Munich,de Bundesliga,28,1991,19.7,83.7,93.4,89.6,1754.6,445.0,27.9,30.8,90.6,38.9,41.5,93.8,15.3,18.5,83.0,0.00,0.05,-0.05,1.12,9.39,0.91,0.05,10.0,Matches
52,Rubén Alcaraz\Ruben-Alcaraz,es ESP,MF,Valladolid,es La Liga,28,1991,21.4,38.8,49.5,78.5,895.0,232.7,11.9,13.8,86.1,17.8,19.9,89.4,8.69,14.0,62.0,0.09,0.04,0.06,0.65,4.44,0.19,0.05,3.36,Matches
53,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,eng Premier League,30,1989,32.9,47.6,57.6,82.7,1133.9,296.8,10.2,10.9,93.3,26.4,28.5,92.6,10.8,17.4,61.8,0.06,0.03,0.03,0.33,3.95,0.49,0.03,2.64,Matches
54,Haitam Aleesami\Haitam-Aleesami,no NOR,DF,Amiens,fr Ligue 1,28,1991,21.3,42.7,54.9,77.8,704.6,302.7,21.6,24.1,89.7,17.1,22.4,76.4,3.29,6.71,49.0,0.05,0.06,-0.01,0.61,3.15,0.56,0.28,4.60,Matches
55,Álex Alegría\Alex-Alegria,es ESP,FW,Mallorca,es La Liga,26,1992,1.2,19.2,29.2,65.7,274.2,34.2,11.7,19.2,60.9,3.33,4.17,80.0,2.50,3.33,75.0,0.00,0.00,0.00,0.00,0.83,0.00,0.00,0.00,Matches
56,Carles Aleñá\Carles-Alena,es ESP,MF,Barcelona,es La Liga,21,1998,1.9,75.3,82.1,91.7,1417.4,311.1,29.5,31.1,94.9,33.2,34.2,96.9,11.1,13.7,80.8,0.00,0.00,0.00,0.00,9.47,0.53,0.00,6.84,Matches
57,Carles Aleñá\Carles-Alena,es ESP,MFFW,Betis,es La Liga,21,1998,8.2,40.6,47.4,85.6,796.8,151.2,15.4,17.7,86.9,17.7,19.8,89.5,6.95,8.05,86.4,0.00,0.02,-0.02,0.49,5.37,0.49,0.12,3.90,Matches
58,Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,is ISL,GK,Dijon,fr Ligue 1,24,1995,10.0,23.7,32.7,72.5,749.2,499.4,3.40,3.50,97.1,10.7,10.9,98.2,9.50,18.2,52.2,0.00,0.01,-0.01,0.20,0.10,0.00,0.00,0.00,Matches
59,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,20,1998,35.3,63.9,89.2,71.6,1411.8,566.4,21.6,24.1,89.5,28.7,36.1,79.5,12.6,25.6,49.4,0.37,0.28,0.09,2.41,5.67,2.55,0.85,7.76,Matches
