,,,,,,,,,Standard,,,,,,,,,,,,Expected,,,,,
590,Colin Dagba\Colin-Dagba,fr FRA,DF,Paris S-G,fr Ligue 1,22-237,1998,12.3,0.08,0.57,0.08,14.3,0.57,0.08,0.14,1.00,20.6,0.00,0.00,0.00,0.02,0.02,0.04,0.06,0.06,Matches
591,Finn Dahmen\Finn-Dahmen,de GER,GK,Mainz 05,de Bundesliga,23-038,1998,1.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
592,Mahmoud Dahoud\Mahmoud-Dahoud,de GER,MF,Dortmund,de Bundesliga,25-123,1996,11.8,0.08,1.27,0.42,33.3,1.27,0.42,0.07,0.20,25.7,0.08,0.00,0.00,0.04,0.04,0.03,0.04,0.04,Matches
593,Leon Dajaku\Leon-Dajaku,de GER,FW,Union Berlin,de Bundesliga,20-022,2001,0.4,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
594,Stuart Dallas\Stuart-Dallas,nir NIR,DFMF,Leeds United,eng Premier League,30-015,1991,33.9,0.21,1.18,0.44,37.5,1.18,0.44,0.18,0.47,20.0,0.00,0.00,0.00,0.11,0.11,0.09,0.10,0.10,Matches
595,Diogo Dalot\Diogo-Dalot,pt POR,DF,Milan,it Serie A,22-047,1999,11.3,0.09,0.88,0.44,50.0,0.88,0.44,0.10,0.20,20.4,0.00,0.00,0.00,0.06,0.06,0.07,0.03,0.03,Matches
596,Mikkel Damsgaard\Mikkel-Damsgaard,dk DEN,MFFW,Sampdoria,it Serie A,20-305,2000,18.9,0.11,1.06,0.37,35.0,1.06,0.37,0.10,0.29,19.0,0.11,0.00,0.00,0.11,0.11,0.11,-0.01,-0.01,Matches
597,Flavius Daniliuc\Flavius-Daniliuc,at AUT,DF,Nice,fr Ligue 1,20-007,2001,15.3,0.07,0.46,0.07,14.3,0.46,0.07,0.14,1.00,18.8,0.00,0.00,0.00,0.05,0.05,0.10,0.02,0.02,Matches
598,Danilo\Danilo,br BRA,DF,Juventus,it Serie A,29-293,1991,29.7,0.03,0.54,0.07,12.5,0.54,0.07,0.06,0.50,21.6,0.00,0.00,0.00,0.03,0.03,0.06,0.00,0.00,Matches
599,Scott Dann\Scott-Dann,eng ENG,DF,Crystal Palace,eng Premier League,34-079,1987,14.0,0.07,0.36,0.14,40.0,0.36,0.14,0.20,0.50,9.2,0.00,0.00,0.00,0.02,0.02,0.07,0.05,0.05,Matches
600,Tiago Dantas\Tiago-Dantas,pt POR,MF,Bayern Munich,de Bundesliga,20-131,2000,0.8,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
601,Dante\Dante,br BRA,DF,Nice,fr Ligue 1,37-198,1983,8.6,0.23,0.70,0.23,33.3,0.70,0.23,0.33,1.00,12.1,0.12,0.00,0.00,0.07,0.07,0.09,0.16,0.16,Matches
602,Andrea Danzi\Andrea-Danzi,it ITA,MFDF,Hellas Verona,it Serie A,22-068,1999,1.2,0.00,0.83,0.00,0.0,0.87,0.00,0.00,,23.0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,Matches
603,Ebrima Darboe\Ebrima-Darboe,gm GAM,MF,Roma,it Serie A,19-332,2001,0.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
604,Márton Dárdai\Marton-Dardai,de GER,DF,Hertha BSC,de Bundesliga,19-081,2002,7.1,0.00,0.28,0.00,0.0,0.28,0.00,0.00,,18.0,0.00,0.00,0.00,0.01,0.01,0.04,-0.01,-0.01,Matches
605,Vladimír Darida\Vladimir-Darida,cz CZE,MF,Hertha BSC,de Bundesliga,30-269,1990,18.5,0.00,1.19,0.27,22.7,1.19,0.27,0.00,0.00,22.9,0.05,0.00,0.00,0.04,0.04,0.03,-0.04,-0.04,Matches
606,Karl Darlow\Karl-Darlow,eng ENG,GK,Newcastle Utd,eng Premier League,30-208,1990,25.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
607,Matteo Darmian\Matteo-Darmian,it ITA,DF,Inter,it Serie A,31-153,1989,11.5,0.26,0.70,0.43,62.5,0.69,0.43,0.38,0.60,13.6,0.00,0.00,0.00,0.10,0.10,0.15,0.16,0.16,Matches
608,Matteo Darmian\Matteo-Darmian,it ITA,DF,Parma,it Serie A,31-153,1989,2.3,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
609,Jonathan David\Jonathan-David,ca CAN,FW,Lille,fr Ligue 1,21-110,2000,23.6,0.47,2.25,1.31,58.5,2.25,1.31,0.21,0.35,15.1,0.00,0.00,0.00,0.40,0.40,0.18,0.07,0.07,Matches
610,Alphonso Davies\Alphonso-Davies,ca CAN,DF,Bayern Munich,de Bundesliga,20-183,2000,16.6,0.06,0.24,0.18,75.0,0.24,0.18,0.25,0.33,22.1,0.00,0.00,0.00,0.01,0.01,0.04,0.05,0.05,Matches
611,Ben Davies\Ben-Davies,wal WAL,DF,Tottenham,eng Premier League,28-010,1993,15.0,0.00,0.20,0.00,0.0,0.20,0.00,0.00,,13.0,0.00,0.00,0.00,0.01,0.01,0.07,-0.01,-0.01,Matches
612,Tom Davies\Tom-Davies,eng ENG,MF,Everton,eng Premier League,22-308,1998,13.7,0.00,0.51,0.00,0.0,0.51,0.00,0.00,,24.6,0.00,0.00,0.00,0.01,0.01,0.02,-0.01,-0.01,Matches
613,Keinan Davis\Keinan-Davis,eng ENG,FWMF,Aston Villa,eng Premier League,23-080,1998,1.9,0.53,4.21,1.05,25.0,4.31,1.08,0.13,0.50,9.9,0.00,0.00,0.00,0.53,0.53,0.12,0.00,0.00,Matches
614,Leif Davis\Leif-Davis,eng ENG,DF,Leeds United,eng Premier League,21-112,2000,0.4,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
615,Paweł Dawidowicz\Pawel-Dawidowicz,pl POL,DF,Hellas Verona,it Serie A,25-349,1995,19.0,0.00,0.79,0.16,20.0,0.79,0.16,0.00,0.00,10.7,0.00,0.00,0.00,0.07,0.07,0.09,-0.07,-0.07,Matches
616,Craig Dawson\Craig-Dawson,eng ENG,DF,West Ham,eng Premier League,30-363,1990,17.4,0.17,0.69,0.29,41.7,0.69,0.29,0.25,0.60,7.8,0.00,0.00,0.00,0.09,0.09,0.13,0.09,0.09,Matches
617,Kevin De Bruyne\Kevin-De-Bruyne,be BEL,MF,Manchester City,eng Premier League,29-310,1991,21.2,0.24,3.63,1.08,29.9,3.63,1.09,0.04,0.13,20.2,0.47,0.09,0.14,0.45,0.34,0.10,-0.22,-0.20,Matches
618,Sebastien De Maio\Sebastien-De-Maio,fr FRA,DF,Udinese,it Serie A,34-060,1987,8.9,0.00,0.45,0.11,25.0,0.45,0.11,0.00,0.00,12.9,0.00,0.00,0.00,0.02,0.02,0.05,-0.02,-0.02,Matches
619,Rodrigo De Paul\Rodrigo-De-Paul,ar ARG,MF,Udinese,it Serie A,26-345,1994,31.8,0.25,2.26,0.50,22.2,2.26,0.50,0.07,0.31,24.2,0.28,0.09,0.09,0.19,0.12,0.05,0.06,0.04,Matches
620,Mattia De Sciglio\Mattia-De-Sciglio,it ITA,DF,Lyon,fr Ligue 1,28-196,1992,15.1,0.00,0.26,0.13,50.0,0.26,0.13,0.00,0.00,24.5,0.00,0.00,0.00,0.01,0.01,0.03,-0.01,-0.01,Matches
621,Mattia De Sciglio\Mattia-De-Sciglio,it ITA,DF,Juventus,it Serie A,28-196,1992,0.3,0.00,3.33,0.00,0.0,3.75,0.00,0.00,,20.1,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,Matches
622,Lorenzo De Silvestri\Lorenzo-De-Silvestri,it ITA,DF,Bologna,it Serie A,32-346,1988,22.1,0.05,0.50,0.27,54.5,0.50,0.27,0.09,0.17,11.0,0.00,0.00,0.00,0.07,0.07,0.15,-0.03,-0.03,Matches
623,Thibault De Smet\Thibault-De-Smet,be BEL,DF,Reims,fr Ligue 1,22-333,1998,5.5,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
624,Lucas Deaux\Lucas-Deaux,fr FRA,MFDF,Nîmes,fr Ligue 1,32-129,1988,19.2,0.05,0.68,0.26,38.5,0.68,0.26,0.08,0.20,18.2,0.00,0.00,0.00,0.05,0.05,0.07,0.01,0.01,Matches
625,Mathieu Debuchy\Mathieu-Debuchy,fr FRA,DF,Saint-Étienne,fr Ligue 1,35-280,1985,21.5,0.09,1.16,0.33,28.0,1.16,0.33,0.08,0.29,13.1,0.00,0.00,0.00,0.10,0.10,0.09,-0.01,-0.01,Matches
626,Grégoire Defrel\Gregoire-Defrel,mq MTQ,FWMF,Sassuolo,it Serie A,29-321,1991,12.8,0.16,1.41,0.55,38.9,1.41,0.55,0.11,0.29,17.1,0.00,0.00,0.00,0.16,0.16,0.12,-0.01,-0.01,Matches
627,Alessandro Deiola\Alessandro-Deiola,it ITA,MF,Spezia,it Serie A,25-276,1995,4.0,0.00,1.25,0.25,20.0,1.25,0.25,0.00,0.00,23.6,0.25,0.00,0.00,0.05,0.05,0.04,-0.05,-0.05,Matches
628,Alessandro Deiola\Alessandro-Deiola,it ITA,MF,Cagliari,it Serie A,25-276,1995,3.9,0.00,1.03,0.26,25.0,1.02,0.25,0.00,0.00,21.6,0.00,0.00,0.00,0.03,0.03,0.02,-0.03,-0.03,Matches
629,Romain Del Castillo\Romain-Del-Castillo,fr FRA,MFFW,Rennes,fr Ligue 1,25-036,1996,6.8,0.00,2.21,0.74,33.3,2.21,0.74,0.00,0.00,20.2,0.15,0.00,0.00,0.16,0.16,0.07,-0.16,-0.16,Matches
630,Lorenzo Del Pinto\Lorenzo-Del-Pinto,it ITA,MF,Benevento,it Serie A,30-321,1990,0.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
631,Thomas Delaine\Thomas-Delaine,fr FRA,DF,Metz,fr Ligue 1,29-041,1992,17.8,0.17,0.96,0.56,58.8,0.96,0.56,0.18,0.30,20.6,0.00,0.00,0.00,0.06,0.06,0.07,0.11,0.11,Matches
632,Thomas Delaney\Thomas-Delaney,dk DEN,MF,Dortmund,de Bundesliga,29-243,1991,12.9,0.08,0.62,0.23,37.5,0.62,0.23,0.13,0.33,13.1,0.00,0.00,0.00,0.03,0.03,0.05,0.05,0.05,Matches
633,Liam Delap\Liam-Delap,eng ENG,FW,Manchester City,eng Premier League,18-085,2003,0.4,0.00,2.50,0.00,0.0,2.25,0.00,0.00,,12.0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,Matches
634,Jonathan Delaplace\Jonathan-Delaplace,fr FRA,DF,Lorient,fr Ligue 1,35-045,1986,10.1,0.00,0.50,0.00,0.0,0.50,0.00,0.00,,23.0,0.00,0.00,0.00,0.02,0.02,0.03,-0.02,-0.02,Matches
635,Cristian Dell'Orco\Cristian-DellOrco,it ITA,DF,Spezia,it Serie A,27-083,1994,2.9,0.00,0.34,0.00,0.0,0.34,0.00,0.00,,6.7,0.00,0.00,0.00,0.03,0.03,0.08,-0.03,-0.03,Matches
636,Andy Delort\Andy-Delort,dz ALG,FW,Montpellier,fr Ligue 1,29-207,1991,24.7,0.53,3.56,1.30,36.4,3.56,1.29,0.15,0.41,15.7,0.08,0.00,0.00,0.39,0.39,0.11,0.13,0.13,Matches
637,Fabian Delph\Fabian-Delph,eng ENG,MFDF,Everton,eng Premier League,31-164,1989,2.9,0.00,0.34,0.00,0.0,0.35,0.00,0.00,,30.4,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,Matches
638,Moussa Dembélé\Moussa-Dembele,fr FRA,FW,Lyon,fr Ligue 1,24-296,1996,7.5,0.13,3.60,1.07,29.6,3.59,1.06,0.04,0.13,13.6,0.13,0.00,0.00,0.51,0.51,0.14,-0.37,-0.37,Matches
639,Moussa Dembélé\Moussa-Dembele,fr FRA,FWMF,Atlético Madrid,es La Liga,24-296,1996,1.0,0.00,6.00,2.00,33.3,6.07,2.02,0.00,0.00,10.8,0.00,0.00,0.00,1.00,1.00,0.17,-1.00,-1.00,Matches
640,Ousmane Dembélé\Ousmane-Dembele,fr FRA,FW,Barcelona,es La Liga,23-354,1997,16.9,0.30,2.84,1.01,35.4,2.85,1.01,0.10,0.29,17.2,0.00,0.00,0.00,0.30,0.30,0.10,0.00,0.00,Matches
641,Merih Demiral\Merih-Demiral,tr TUR,DF,Juventus,it Serie A,23-060,1998,10.2,0.00,0.69,0.20,28.6,0.69,0.20,0.00,0.00,10.3,0.00,0.00,0.00,0.07,0.07,0.10,-0.07,-0.07,Matches
642,Kerem Demirbay\Kerem-Demirbay,de GER,MF,Leverkusen,de Bundesliga,27-305,1993,16.6,0.24,2.23,0.66,29.7,2.23,0.66,0.11,0.36,24.1,0.30,0.00,0.00,0.12,0.12,0.06,0.12,0.12,Matches
643,Ermedin Demirović\Ermedin-Demirovic,ba BIH,FW,Freiburg,de Bundesliga,23-040,1998,14.2,0.28,2.39,1.20,50.0,2.39,1.20,0.12,0.24,13.1,0.00,0.00,0.00,0.27,0.27,0.11,0.01,0.01,Matches
644,Diego Demme\Diego-Demme,de GER,MF,Napoli,it Serie A,29-164,1991,16.6,0.12,0.78,0.24,30.8,0.78,0.24,0.15,0.50,16.2,0.00,0.00,0.00,0.07,0.07,0.10,0.05,0.05,Matches
645,Jason Denayer\Jason-Denayer,be BEL,DF,Lyon,fr Ligue 1,25-310,1995,27.0,0.04,0.19,0.04,20.0,0.18,0.04,0.20,1.00,16.8,0.00,0.00,0.00,0.02,0.02,0.10,0.02,0.02,Matches
646,Leander Dendoncker\Leander-Dendoncker,be BEL,MFDF,Wolves,eng Premier League,26-019,1995,25.9,0.04,1.24,0.31,25.0,1.24,0.31,0.03,0.13,13.5,0.00,0.00,0.00,0.13,0.13,0.10,-0.09,-0.09,Matches
647,Kevin Denkey\Kevin-Denkey,tg TOG,FW,Nîmes,fr Ligue 1,20-155,2000,5.8,0.17,2.93,1.38,47.1,2.92,1.37,0.06,0.13,15.3,0.00,0.00,0.00,0.31,0.31,0.10,-0.14,-0.14,Matches
648,Emmanuel Dennis\Emmanuel-Dennis,ng NGA,FW,Köln,de Bundesliga,23-170,1997,5.3,0.00,1.13,0.00,0.0,1.14,0.00,0.00,,13.4,0.00,0.00,0.00,0.11,0.11,0.10,-0.11,-0.11,Matches
649,Stefano Denswil\Stefano-Denswil,nl NED,DF,Bologna,it Serie A,27-362,1993,1.3,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
650,Fabio Depaoli\Fabio-Depaoli,it ITA,DF,Benevento,it Serie A,24-010,1997,11.1,0.00,0.63,0.09,14.3,0.63,0.09,0.00,0.00,21.9,0.00,0.00,0.00,0.02,0.02,0.03,-0.02,-0.02,Matches
651,Fabio Depaoli\Fabio-Depaoli,it ITA,MF,Sampdoria,it Serie A,24-010,1997,0.9,0.00,2.22,1.11,50.0,2.34,1.17,0.00,0.00,17.3,0.00,0.00,0.00,0.22,0.22,0.08,-0.22,-0.22,Matches
652,Fabio Depaoli\Fabio-Depaoli,it ITA,DF,Atalanta,it Serie A,24-010,1997,2.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
653,Memphis Depay\Memphis-Depay,nl NED,FW,Lyon,fr Ligue 1,27-080,1994,30.5,0.62,3.05,1.31,43.0,3.05,1.31,0.12,0.28,21.0,0.39,0.26,0.26,0.55,0.35,0.11,0.07,0.01,Matches
654,Mike van der Hoorn\Mike-van-der-Hoorn,nl NED,DF,Arminia,de Bundesliga,28-201,1992,15.0,0.00,0.27,0.13,50.0,0.27,0.13,0.00,0.00,10.0,0.00,0.00,0.00,0.02,0.02,0.08,-0.02,-0.02,Matches
655,Kastriot Dermaku\Kastriot-Dermaku,al ALB,DF,Parma,it Serie A,29-109,1992,1.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
656,Kiril Despodov\Kiril-Despodov,bg BUL,FW,Cagliari,it Serie A,24-174,1996,0.1,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
657,Sergiño Dest\Sergino-Dest,us USA,DF,Barcelona,es La Liga,20-182,2000,18.7,0.11,0.70,0.27,38.5,0.69,0.27,0.15,0.40,15.3,0.00,0.00,0.00,0.13,0.13,0.19,-0.03,-0.03,Matches
658,Mattia Destro\Mattia-Destro,it ITA,FW,Genoa,it Serie A,30-045,1991,16.6,0.66,2.23,1.33,59.5,2.23,1.33,0.30,0.50,11.9,0.00,0.00,0.00,0.40,0.40,0.18,0.26,0.26,Matches
659,Gerard Deulofeu\Gerard-Deulofeu,es ESP,FW,Udinese,it Serie A,27-052,1994,6.6,0.15,2.42,1.36,56.3,2.41,1.35,0.06,0.11,17.1,0.15,0.00,0.00,0.20,0.20,0.08,-0.05,-0.05,Matches
660,Deyverson\Deyverson,br BRA,FW,Alavés,es La Liga,29-361,1991,9.6,0.10,1.46,0.21,14.3,1.45,0.21,0.07,0.50,16.6,0.00,0.00,0.00,0.19,0.19,0.13,-0.08,-0.08,Matches
661,Jacopo Dezi\Jacopo-Dezi,it ITA,FWMF,Parma,it Serie A,29-083,1992,0.9,0.00,1.11,0.00,0.0,1.14,0.00,0.00,,20.0,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,Matches
662,Samuel Di Carmine\Samuel-Di-Carmine,it ITA,FW,Hellas Verona,it Serie A,32-226,1988,5.6,0.00,1.61,0.36,22.2,1.62,0.36,0.00,0.00,9.7,0.00,0.00,0.00,0.29,0.29,0.17,-0.29,-0.29,Matches
663,Samuel Di Carmine\Samuel-Di-Carmine,it ITA,FW,Crotone,it Serie A,32-226,1988,5.3,0.00,1.13,0.19,16.7,1.14,0.19,0.00,0.00,11.0,0.00,0.00,0.00,0.08,0.08,0.07,-0.08,-0.08,Matches
664,Giovanni Di Lorenzo\Giovanni-Di-Lorenzo,it ITA,DF,Napoli,it Serie A,27-273,1993,32.0,0.06,0.88,0.34,39.3,0.87,0.34,0.07,0.18,12.7,0.00,0.00,0.00,0.08,0.08,0.09,-0.02,-0.02,Matches
665,Ángel Di María\Angel-Di-Maria,ar ARG,FWMF,Paris S-G,fr Ligue 1,33-079,1988,18.2,0.27,2.75,0.88,32.0,2.75,0.88,0.10,0.31,20.8,0.27,0.00,0.00,0.25,0.25,0.09,0.03,0.03,Matches
666,Alessandro Di Pardo\Alessandro-Di-Pardo,it ITA,MFDF,Juventus,it Serie A,21-290,1999,0.2,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
667,Giuseppe Di Serio\Giuseppe-Di-Serio,it ITA,MFFW,Benevento,it Serie A,19-288,2001,2.1,0.00,1.90,0.95,50.0,1.89,0.95,0.00,0.00,14.8,0.00,0.00,0.00,0.24,0.24,0.11,-0.24,-0.24,Matches
668,Boulaye Dia\Boulaye-Dia,sn SEN,FWMF,Reims,fr Ligue 1,24-169,1996,29.8,0.47,1.74,0.70,40.4,1.74,0.70,0.17,0.43,15.7,0.00,0.17,0.17,0.43,0.31,0.17,0.04,-0.00,Matches
669,Abdoulay Diaby\Abdoulay-Diaby,ml MLI,MF,Getafe,es La Liga,29-348,1991,0.2,0.00,5.00,0.00,0.0,5.00,0.00,0.00,,14.0,0.00,0.00,0.00,1.50,1.50,0.34,-1.50,-1.50,Matches
670,Moussa Diaby\Moussa-Diaby,fr FRA,FWMF,Leverkusen,de Bundesliga,21-301,1999,25.0,0.16,1.96,0.92,46.9,1.96,0.92,0.08,0.17,18.3,0.00,0.00,0.00,0.22,0.22,0.11,-0.06,-0.06,Matches
671,Mbaye Diagne\Mbaye-Diagne,sn SEN,FW,West Brom,eng Premier League,29-188,1991,12.6,0.24,1.90,0.71,37.5,1.91,0.72,0.13,0.33,10.3,0.00,0.00,0.00,0.37,0.37,0.19,-0.13,-0.13,Matches
672,Mouctar Diakhaby\Mouctar-Diakhaby,fr FRA,DF,Valencia,es La Liga,24-136,1996,20.2,0.05,0.50,0.20,40.0,0.50,0.20,0.10,0.25,10.2,0.00,0.00,0.00,0.05,0.05,0.11,-0.00,-0.00,Matches
673,Abdou Diallo\Abdou-Diallo,sn SEN,DF,Paris S-G,fr Ligue 1,25-000,1996,15.2,0.00,0.26,0.00,0.0,0.26,0.00,0.00,,11.0,0.00,0.00,0.00,0.02,0.02,0.07,-0.02,-0.02,Matches
674,Amad Diallo\Amad-Diallo,ci CIV,MF,Atalanta,it Serie A,18-297,2002,0.2,0.00,5.00,0.00,0.0,6.43,0.00,0.00,,21.5,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,Matches
675,Habib Diallo\Habib-Diallo,sn SEN,FW,Strasbourg,fr Ligue 1,25-320,1995,23.5,0.34,1.96,0.64,32.6,1.96,0.64,0.15,0.47,16.5,0.00,0.04,0.04,0.28,0.25,0.13,0.06,0.05,Matches
676,Habib Diallo\Habib-Diallo,sn SEN,FW,Metz,fr Ligue 1,25-320,1995,1.6,0.00,1.25,0.00,0.0,1.26,0.00,0.00,,9.6,0.00,0.00,0.00,0.25,0.25,0.19,-0.25,-0.25,Matches
677,Ibrahima Diallo\Ibrahima-Diallo,fr FRA,MF,Southampton,eng Premier League,22-057,1999,9.8,0.00,0.41,0.00,0.0,0.41,0.00,0.00,,20.9,0.00,0.00,0.00,0.03,0.03,0.08,-0.03,-0.03,Matches
678,Ibrahima Diallo\Ibrahima-Diallo,fr FRA,MF,Brest,fr Ligue 1,22-057,1999,4.9,0.00,0.20,0.00,0.0,0.20,0.00,0.00,,31.0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,Matches
679,Grady Diangana\Grady-Diangana,eng ENG,MFFW,West Brom,eng Premier League,23-015,1998,12.1,0.08,0.99,0.41,41.7,0.99,0.41,0.08,0.20,16.1,0.00,0.00,0.00,0.08,0.08,0.08,0.00,0.00,Matches
680,Stéphane Diarra\Stephane-Diarra,fr FRA,FWMF,Lorient,fr Ligue 1,22-146,1998,2.0,0.00,1.00,1.00,100.0,0.98,0.98,0.00,0.00,21.9,0.00,0.00,0.00,0.05,0.05,0.05,-0.05,-0.05,Matches
681,Raphael Dias Belloli\Raphael-Dias-Belloli,br BRA,MF,Leeds United,eng Premier League,24-141,1996,23.0,0.26,2.65,1.09,41.0,2.66,1.09,0.10,0.24,16.4,0.17,0.00,0.00,0.23,0.23,0.09,0.03,0.03,Matches
682,Raphael Dias Belloli\Raphael-Dias-Belloli,br BRA,FWMF,Rennes,fr Ligue 1,24-141,1996,4.5,0.22,2.44,0.67,27.3,2.45,0.67,0.09,0.33,18.0,0.67,0.00,0.00,0.27,0.27,0.11,-0.04,-0.04,Matches
683,Rúben Dias\Ruben-Dias,pt POR,DF,Manchester City,eng Premier League,23-355,1997,28.6,0.03,0.42,0.21,50.0,0.42,0.21,0.08,0.17,6.7,0.00,0.00,0.00,0.08,0.08,0.19,-0.04,-0.04,Matches
684,Krepin Diatta\Krepin-Diatta,sn SEN,MFDF,Monaco,fr Ligue 1,22-068,1999,3.9,0.26,0.77,0.26,33.3,0.77,0.26,0.33,1.00,14.3,0.00,0.00,0.00,0.13,0.13,0.18,0.13,0.13,Matches
685,Amadou Diawara\Amadou-Diawara,gn GUI,MF,Roma,it Serie A,23-291,1997,7.3,0.14,0.96,0.55,57.1,0.96,0.55,0.14,0.25,20.3,0.00,0.00,0.00,0.15,0.15,0.16,-0.01,-0.01,Matches
686,Brahim Díaz\Brahim-Diaz,es ESP,MFFW,Milan,it Serie A,21-274,1999,10.9,0.18,1.93,0.55,28.6,1.93,0.55,0.10,0.33,16.2,0.00,0.00,0.00,0.24,0.24,0.12,-0.06,-0.06,Matches
687,Víctor Díaz\Victor-Diaz,es ESP,DF,Granada,es La Liga,32-326,1988,8.5,0.00,0.59,0.12,20.0,0.59,0.12,0.00,0.00,26.7,0.00,0.00,0.00,0.04,0.04,0.05,-0.04,-0.04,Matches
688,Daniel Didavi\Daniel-Didavi,de GER,FWMF,Stuttgart,de Bundesliga,31-072,1990,9.6,0.42,2.19,0.73,33.3,2.18,0.73,0.19,0.57,18.5,0.52,0.00,0.00,0.32,0.32,0.15,0.09,0.09,Matches
689,Eric Dier\Eric-Dier,eng ENG,DF,Tottenham,eng Premier League,27-109,1994,25.0,0.00,0.52,0.08,15.4,0.52,0.08,0.00,0.00,22.8,0.32,0.00,0.00,0.02,0.02,0.05,-0.02,-0.02,Matches
690,Daan Dierckx\Daan-Dierckx,be BEL,DF,Parma,it Serie A,18-069,2003,2.5,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
691,Lucas Digne\Lucas-Digne,fr FRA,DFMF,Everton,eng Premier League,27-288,1993,24.8,0.00,0.48,0.00,0.0,0.48,0.00,0.00,,22.9,0.12,0.00,0.00,0.02,0.02,0.05,-0.02,-0.02,Matches
692,Virgil van Dijk\Virgil-van-Dijk,nl NED,DF,Liverpool,eng Premier League,29-300,1991,4.1,0.24,0.98,0.49,50.0,0.97,0.49,0.25,0.50,13.5,0.00,0.00,0.00,0.07,0.07,0.08,0.17,0.17,Matches
693,Mitchell Dijks\Mitchell-Dijks,nl NED,DF,Bologna,it Serie A,28-084,1993,14.1,0.00,0.07,0.00,0.0,0.07,0.00,0.00,,12.5,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,Matches
694,Javairô Dilrosun\Javairo-Dilrosun,nl NED,FWMF,Hertha BSC,de Bundesliga,22-316,1998,3.3,0.00,0.61,0.00,0.0,0.61,0.00,0.00,,17.4,0.00,0.00,0.00,0.03,0.03,0.03,-0.03,-0.03,Matches
695,Federico Dimarco\Federico-Dimarco,it ITA,DF,Hellas Verona,it Serie A,23-175,1997,26.4,0.15,1.14,0.42,36.7,1.14,0.42,0.13,0.36,18.9,0.19,0.00,0.00,0.07,0.07,0.06,0.08,0.08,Matches
696,Tristan Dingomé\Tristan-Dingome,cm CMR,MF,Reims,fr Ligue 1,30-076,1991,0.2,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches
697,Eren Dinkçi\Eren-Dinkci,de GER,FW,Werder Bremen,de Bundesliga,19-142,2001,1.1,0.91,2.73,1.82,66.7,2.65,1.76,0.33,0.50,11.3,0.00,0.00,0.00,0.36,0.36,0.15,0.55,0.55,Matches
698,Sinaly Diomande\Sinaly-Diomande,ci CIV,DF,Lyon,fr Ligue 1,20-025,2001,11.5,0.00,1.13,0.17,15.4,1.13,0.17,0.00,0.00,15.2,0.00,0.00,0.00,0.05,0.05,0.05,-0.05,-0.05,Matches
699,Lois Diony\Lois-Diony,fr FRA,FW,Angers,fr Ligue 1,28-135,1992,17.7,0.23,1.41,0.68,48.0,1.41,0.68,0.12,0.25,15.7,0.00,0.06,0.06,0.21,0.17,0.12,0.01,0.00,Matches
700,Issa Diop\Issa-Diop,fr FRA,DF,West Ham,eng Premier League,24-115,1997,14.3,0.14,0.21,0.14,66.7,0.21,0.14,0.67,1.00,8.2,0.00,0.00,0.00,0.02,0.02,0.11,0.12,0.12,Matches
