,,,,,,,,,,Pass Types,,,,,,,,Corner Kicks,,,Height,,,Body Parts,,,,,Outcomes,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
1467,Anthony Lozano\Anthony-Lozano,hn HON,FW,Cádiz,es La Liga,28-009,1993,14.1,16.7,16.0,0.71,0.00,0.00,5.96,0.21,0.85,0.00,0.00,0.00,0.00,8.44,4.54,3.69,1.42,10.3,1.56,0.07,0.71,10.4,0.00,0.43,0.43,1.06,Matches
1468,Hirving Lozano\Hirving-Lozano,mx MEX,FW,Napoli,it Serie A,25-278,1995,19.9,28.9,28.3,0.60,0.05,0.05,6.08,0.30,3.17,0.10,0.10,0.00,0.00,20.8,4.67,3.47,1.41,26.0,0.55,0.30,0.25,21.1,0.10,0.55,0.70,1.66,Matches
1469,Jan Luca Schuler\Jan-Luca-Schuler,de GER,FW,Schalke 04,de Bundesliga,22-043,1999,0.4,32.5,32.5,0.00,0.00,0.00,17.5,0.00,0.00,0.00,0.00,0.00,0.00,12.5,12.5,7.50,5.00,17.5,5.00,0.00,0.00,17.5,0.00,2.50,2.50,0.00,Matches
1470,Jean Lucas\Jean-Lucas,br BRA,MF,Lyon,fr Ligue 1,22-316,1998,1.9,68.4,67.9,0.53,0.53,0.00,6.32,4.21,3.68,0.00,0.00,0.00,0.00,53.7,4.21,10.5,4.74,60.5,2.11,0.00,0.53,58.4,0.00,1.58,0.00,1.58,Matches
1471,Jean Lucas\Jean-Lucas,br BRA,MF,Brest,fr Ligue 1,22-316,1998,10.4,58.2,55.9,2.31,1.73,0.10,7.69,2.12,0.77,0.48,0.29,0.10,0.00,46.4,5.29,6.44,4.13,52.2,0.67,0.10,0.29,51.6,0.19,0.77,1.35,0.58,Matches
1472,Anderson Lucoqui\Anderson-Lucoqui,ao ANG,DF,Arminia,de Bundesliga,23-302,1997,15.8,42.5,31.9,10.6,1.01,0.00,6.65,0.76,0.63,0.00,0.00,0.00,0.00,21.0,8.67,12.8,26.7,3.54,1.84,9.56,0.00,28.7,0.06,0.95,1.20,2.03,Matches
1473,Jeison Lucumí\Jeison-Lucumi,co COL,FW,Elche,es La Liga,26-026,1995,0.5,22.0,22.0,0.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,20.0,2.00,0.00,6.00,14.0,0.00,0.00,0.00,16.0,0.00,0.00,0.00,4.00,Matches
1474,Kilian Ludewig\Kilian-Ludewig,de GER,DF,Schalke 04,de Bundesliga,21-060,2000,5.8,50.7,39.3,11.4,0.69,0.34,7.24,0.00,1.21,0.00,0.00,0.00,0.00,26.2,14.1,10.3,3.45,34.0,1.72,10.7,0.00,37.9,0.34,0.86,1.21,3.10,Matches
1475,José Luis Gayà\Jose-Luis-Gaya,es ESP,DF,Valencia,es La Liga,25-344,1995,29.5,48.2,40.1,8.07,1.56,0.00,5.49,1.83,2.98,0.03,0.00,0.00,0.00,27.9,10.5,9.80,35.1,4.44,1.73,6.47,0.17,37.5,0.14,0.98,0.85,1.80,Matches
1476,José Luis Morales\Jose-Luis-Morales,es ESP,FWMF,Levante,es La Liga,33-285,1987,24.5,26.7,24.6,2.04,0.57,0.12,4.78,0.86,2.86,0.86,0.20,0.08,0.16,17.5,4.20,4.94,5.63,19.4,0.94,0.29,0.24,18.3,0.24,0.61,1.10,1.35,Matches
1477,José Luis Palomino\Jose-Luis-Palomino,ar ARG,DF,Atalanta,it Serie A,31-119,1990,24.8,54.9,52.1,2.82,2.02,0.04,5.97,0.81,0.48,0.00,0.00,0.00,0.00,40.0,6.17,8.75,41.0,8.02,3.15,0.81,0.08,45.8,0.16,0.56,0.93,0.77,Matches
1478,Florentino Luís\Florentino-Luis,pt POR,MF,Monaco,fr Ligue 1,21-258,1999,2.7,59.6,58.5,1.11,1.11,0.00,7.41,2.22,0.37,0.00,0.00,0.00,0.00,47.8,4.07,7.78,3.70,51.5,3.70,0.00,0.37,51.1,0.00,0.74,1.48,1.11,Matches
1479,Luisinho\Luisinho,pt POR,DF,Huesca,es La Liga,35-364,1985,2.0,59.5,52.0,7.50,0.00,0.00,4.50,1.00,0.50,0.00,0.00,0.00,0.00,42.0,7.50,10.0,46.0,2.50,3.50,7.50,0.00,50.0,0.00,1.00,0.50,1.00,Matches
1480,Luismi\Luismi,es ESP,MFDF,Elche,es La Liga,28-364,1992,1.8,58.9,57.2,1.67,1.67,0.00,7.22,6.67,0.56,0.00,0.00,0.00,0.00,43.3,5.56,10.0,5.56,51.7,1.11,0.00,0.00,51.1,0.00,2.22,1.67,0.00,Matches
1481,David Luiz\David-Luiz,br BRA,DF,Arsenal,eng Premier League,34-012,1987,15.5,62.2,60.1,2.13,2.00,0.13,5.87,1.74,0.45,0.00,0.00,0.00,0.00,45.7,5.55,11.0,10.1,48.5,2.32,0.13,0.39,52.0,0.19,1.23,0.90,1.03,Matches
1482,Douglas Luiz\Douglas-Luiz,br BRA,MF,Aston Villa,eng Premier League,22-360,1998,28.0,45.6,43.1,2.46,2.18,0.00,6.79,1.50,0.43,0.04,0.00,0.00,0.00,30.6,5.79,9.14,4.57,36.2,3.18,0.04,0.46,38.3,0.18,0.61,1.00,0.93,Matches
1483,Romelu Lukaku\Romelu-Lukaku,be BEL,FW,Inter,it Serie A,27-356,1993,29.7,24.5,22.8,1.65,0.03,0.17,8.62,0.54,0.74,0.00,0.00,0.00,0.00,17.0,4.68,2.76,13.8,8.05,1.11,0.07,0.71,17.8,0.20,0.30,0.91,1.31,Matches
1484,Dodi Lukebakio\Dodi-Lukebakio,be BEL,FWMF,Hertha BSC,de Bundesliga,23-222,1997,19.8,25.8,24.8,0.96,0.40,0.00,5.81,1.06,1.31,0.10,0.00,0.05,0.05,18.0,3.54,4.29,17.6,5.71,0.86,0.30,0.40,19.3,0.05,0.61,1.11,0.91,Matches
1485,Saša Lukić\Sasa-Lukic,rs SRB,MF,Torino,it Serie A,24-264,1996,21.3,35.4,34.3,1.13,0.66,0.09,5.73,0.61,1.03,0.14,0.05,0.05,0.00,27.6,3.57,4.23,6.29,26.9,1.08,0.19,0.19,28.7,0.09,0.38,0.85,1.36,Matches
1486,Senad Lulić\Senad-Lulic,ba BIH,DF,Lazio,it Serie A,35-106,1986,5.3,47.2,41.1,6.04,0.19,0.00,8.49,1.32,2.64,0.19,0.00,0.00,0.00,24.2,9.62,13.4,6.60,30.8,2.83,5.66,0.00,32.6,0.38,1.13,1.51,2.64,Matches
1487,John Lundstram\John-Lundstram,eng ENG,MF,Sheffield Utd,eng Premier League,27-075,1994,22.5,46.0,43.1,2.93,0.67,0.04,6.00,2.18,1.38,1.11,0.76,0.27,0.09,32.6,5.16,8.27,12.1,31.9,0.76,0.36,0.22,37.2,0.18,0.67,0.89,1.16,Matches
1488,Sebastiano Luperto\Sebastiano-Luperto,it ITA,DF,Crotone,it Serie A,24-240,1996,20.9,46.8,44.3,2.54,1.96,0.05,4.21,0.53,0.00,0.00,0.00,0.00,0.00,35.2,3.64,7.99,38.8,4.93,1.77,0.53,0.05,38.7,0.05,1.10,0.86,0.77,Matches
1489,Andreas Luthe\Andreas-Luthe,de GER,GK,Union Berlin,de Bundesliga,34-055,1987,27.8,37.1,27.3,9.78,2.77,0.00,2.52,0.43,0.00,0.00,0.00,0.00,0.00,18.7,1.26,17.1,3.67,28.1,0.00,0.04,3.45,26.2,0.04,0.83,0.32,0.07,Matches
1490,Lyanco\Lyanco,br BRA,DF,Torino,it Serie A,24-092,1997,20.3,58.6,56.0,2.61,2.56,0.00,6.45,2.91,0.20,0.00,0.00,0.00,0.00,44.5,4.68,9.41,3.50,52.0,1.63,0.05,0.44,51.1,0.10,0.84,0.59,0.34,Matches
1491,Charalambos Lykogiannis\Charalambos-Lykogiannis,gr GRE,DF,Cagliari,it Serie A,27-194,1993,23.2,44.1,33.9,10.2,1.77,0.00,3.41,0.78,2.54,0.86,0.30,0.30,0.13,21.9,9.01,13.1,31.6,2.16,1.51,7.54,0.17,30.5,0.17,0.99,1.25,1.94,Matches
1492,Yann M'Vila\Yann-MVila,fr FRA,MFFW,Saint-Étienne,fr Ligue 1,30-309,1990,0.2,75.0,75.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.0,15.0,0.00,0.00,75.0,0.00,0.00,0.00,65.0,0.00,0.00,0.00,0.00,Matches
1493,Alexis Mac Allister\Alexis-Mac-Allister,ar ARG,MFFW,Brighton,eng Premier League,22-131,1998,10.3,33.3,32.6,0.68,0.39,0.19,5.92,0.78,0.68,0.10,0.00,0.00,0.00,25.1,5.05,3.11,4.17,27.1,1.07,0.00,0.10,26.6,0.29,0.49,0.97,1.36,Matches
1494,Darwin Machís\Darwin-Machis,ve VEN,FWMF,Granada,es La Liga,28-086,1993,20.2,24.5,22.0,2.43,0.84,0.10,4.80,1.29,2.87,1.29,0.59,0.20,0.10,13.7,4.06,6.73,3.22,18.7,1.58,0.25,0.25,15.1,0.10,0.94,0.89,1.58,Matches
1495,Tim Maciejewski\Tim-Maciejewski,de GER,MF,Union Berlin,de Bundesliga,20-060,2001,0.1,30.0,30.0,0.00,0.00,0.00,10.0,0.00,0.00,0.00,0.00,0.00,0.00,20.0,10.0,0.00,0.00,30.0,0.00,0.00,0.00,20.0,0.00,0.00,0.00,10.0,Matches
1496,Yvann Macon\Yvann-Macon,fr FRA,DF,Saint-Étienne,fr Ligue 1,22-215,1998,6.0,53.3,39.8,13.5,0.67,0.00,7.17,1.33,2.17,0.00,0.00,0.00,0.00,28.5,13.0,11.8,12.3,24.8,2.17,12.8,0.33,40.2,0.33,0.83,1.17,2.17,Matches
1497,James Maddison\James-Maddison,eng ENG,MFFW,Leicester City,eng Premier League,24-162,1996,20.9,48.7,41.6,7.08,2.78,0.29,7.08,1.96,1.82,3.68,0.77,1.63,0.19,33.1,6.22,9.38,4.93,42.4,1.00,0.00,0.14,37.3,0.19,0.43,1.44,1.77,Matches
1498,Mikail Maden\Mikail-Maden,no NOR,FW,Schalke 04,de Bundesliga,19-107,2002,0.1,20.0,20.0,0.00,0.00,0.00,20.0,0.00,0.00,0.00,0.00,0.00,0.00,20.0,0.00,0.00,0.00,20.0,0.00,0.00,0.00,20.0,0.00,0.00,0.00,0.00,Matches
1499,Pablo Maffeo\Pablo-Maffeo,es ESP,DF,Huesca,es La Liga,23-296,1997,18.8,49.5,38.9,10.6,0.80,0.05,6.65,1.70,2.71,0.00,0.00,0.00,0.00,23.5,10.1,15.9,4.57,30.8,2.98,9.79,0.21,35.0,0.21,1.01,0.96,2.50,Matches
1500,Lisandro Magallán\Lisandro-Magallan,ar ARG,DF,Crotone,it Serie A,27-219,1993,21.2,47.5,44.3,3.21,1.42,0.00,6.89,0.94,0.05,0.00,0.00,0.00,0.00,33.8,5.47,8.21,6.56,35.6,2.36,1.79,0.24,39.7,0.05,0.57,0.90,0.94,Matches
1501,Christian Maggio\Christian-Maggio,it ITA,DF,Benevento,it Serie A,39-082,1982,3.3,43.6,34.2,9.39,1.52,0.00,4.55,0.00,0.91,0.00,0.00,0.00,0.00,24.8,8.48,10.3,3.94,27.3,2.73,7.88,0.30,33.3,0.00,0.30,0.30,1.82,Matches
1502,Giulio Maggiore\Giulio-Maggiore,it ITA,MF,Spezia,it Serie A,23-053,1998,21.4,34.1,33.1,0.98,0.28,0.19,6.82,0.65,0.98,0.00,0.00,0.00,0.00,22.9,5.51,5.70,6.50,24.6,1.31,0.70,0.33,23.7,0.14,0.47,1.64,1.50,Matches
1503,Francesco Magnanelli\Francesco-Magnanelli,it ITA,MF,Sassuolo,it Serie A,36-173,1984,4.9,85.1,83.3,1.84,1.84,0.00,8.37,1.02,0.20,0.00,0.00,0.00,0.00,68.2,6.94,10.0,7.14,75.7,1.84,0.00,0.00,72.4,0.20,1.43,2.24,1.43,Matches
1504,Giangiacomo Magnani\Giangiacomo-Magnani,it ITA,DF,Hellas Verona,it Serie A,25-212,1995,16.3,35.1,34.0,1.10,0.92,0.06,4.72,0.98,0.06,0.00,0.00,0.00,0.00,22.5,4.91,7.67,4.05,25.9,2.70,0.18,0.06,27.9,0.12,1.10,0.37,0.55,Matches
1505,Hugo Magnetti\Hugo-Magnetti,fr FRA,MF,Brest,fr Ligue 1,22-339,1998,4.5,53.6,52.2,1.33,1.33,0.22,7.11,2.67,0.67,0.00,0.00,0.00,0.00,35.6,5.78,12.2,2.22,47.3,3.33,0.00,0.22,44.9,0.22,1.33,0.89,1.11,Matches
1506,Harry Maguire\Harry-Maguire,eng ENG,DF,Manchester Utd,eng Premier League,28-060,1993,33.0,63.7,61.8,1.88,1.55,0.03,6.64,2.18,0.12,0.00,0.00,0.00,0.00,48.5,4.88,10.3,8.70,49.0,3.33,0.33,0.30,56.6,0.21,0.85,0.97,0.33,Matches
1507,Abdallahi Mahmoud\Abdallahi-Mahmoud,mr MTN,MF,Alavés,es La Liga,21-000,2000,0.7,25.7,25.7,0.00,0.00,0.00,5.71,0.00,0.00,0.00,0.00,0.00,0.00,12.9,5.71,7.14,1.43,20.0,2.86,0.00,0.00,18.6,0.00,1.43,0.00,1.43,Matches
1508,Hicham Mahou\Hicham-Mahou,fr FRA,DF,Nice,fr Ligue 1,21-306,1999,0.4,45.0,40.0,5.00,2.50,0.00,7.50,2.50,7.50,0.00,0.00,0.00,0.00,30.0,7.50,7.50,2.50,40.0,0.00,2.50,0.00,30.0,0.00,2.50,2.50,0.00,Matches
1509,Riyad Mahrez\Riyad-Mahrez,dz ALG,FW,Manchester City,eng Premier League,30-072,1991,19.9,51.6,48.4,3.12,0.45,0.40,7.54,1.26,2.86,1.96,0.95,0.00,0.10,39.5,4.97,7.04,46.3,3.32,0.60,0.50,0.05,43.3,0.05,0.65,0.65,1.41,Matches
1510,Arne Maier\Arne-Maier,de GER,MFFW,Arminia,de Bundesliga,22-116,1999,8.5,38.2,35.3,2.94,1.88,0.12,6.35,0.94,0.82,0.94,0.47,0.12,0.00,24.8,4.59,8.82,4.47,30.5,2.47,0.12,0.24,29.1,0.12,0.35,1.29,1.18,Matches
1511,Arne Maier\Arne-Maier,de GER,MF,Hertha BSC,de Bundesliga,22-116,1999,0.3,70.0,70.0,0.00,0.00,3.33,10.0,3.33,0.00,0.00,0.00,0.00,0.00,50.0,6.67,13.3,10.0,60.0,0.00,0.00,0.00,66.7,0.00,0.00,0.00,0.00,Matches
1512,Habib Maïga\Habib-Maiga,ci CIV,MF,Metz,fr Ligue 1,25-123,1996,26.9,46.1,44.8,1.38,1.04,0.07,7.66,1.71,0.59,0.00,0.00,0.00,0.00,33.6,4.31,8.18,4.20,38.6,1.93,0.30,0.11,37.8,0.11,1.23,0.67,0.74,Matches
1513,Mike Maignan\Mike-Maignan,fr FRA,GK,Lille,fr Ligue 1,25-157,1995,35.0,28.3,20.1,8.20,1.86,0.03,1.11,0.51,0.00,0.00,0.00,0.00,0.00,15.7,1.00,11.7,3.37,19.2,0.00,0.06,4.97,20.4,0.09,0.91,0.11,0.00,Matches
1514,Ainsley Maitland-Niles\Ainsley-Maitland-Niles,eng ENG,DF,Arsenal,eng Premier League,23-248,1997,5.4,53.3,46.9,6.48,0.74,0.19,5.00,1.67,0.74,0.00,0.00,0.00,0.00,37.6,9.44,6.30,9.26,36.3,1.30,5.74,0.00,41.9,0.19,1.30,1.48,1.67,Matches
1515,Ainsley Maitland-Niles\Ainsley-Maitland-Niles,eng ENG,MF,West Brom,eng Premier League,23-248,1997,11.8,29.2,28.2,1.02,0.00,0.08,5.59,0.51,0.76,0.17,0.08,0.00,0.00,20.1,4.58,4.58,4.07,21.9,2.29,0.25,0.17,22.3,0.08,0.51,1.44,1.36,Matches
1516,Josh Maja\Josh-Maja,ng NGA,FW,Bordeaux,fr Ligue 1,22-128,1998,8.9,21.0,20.0,1.01,0.00,0.00,6.18,0.11,0.00,0.00,0.00,0.00,0.00,16.3,3.60,1.12,3.03,15.7,0.67,0.22,0.79,18.5,0.00,0.00,0.34,0.45,Matches
1517,Josh Maja\Josh-Maja,ng NGA,FW,Fulham,eng Premier League,22-128,1998,8.1,19.6,18.9,0.74,0.00,0.00,4.44,0.25,0.00,0.00,0.00,0.00,0.00,15.4,2.72,1.48,3.46,15.1,0.25,0.12,0.25,17.0,0.00,0.12,0.49,1.11,Matches
1518,Radosław Majecki\Radoslaw-Majecki,pl POL,GK,Monaco,fr Ligue 1,21-169,1999,1.0,37.0,25.0,12.0,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,21.0,0.00,16.0,5.00,30.0,0.00,0.00,2.00,25.0,1.00,1.00,0.00,0.00,Matches
1519,Abdul Majeed Waris\Abdul-Majeed-Waris,gh GHA,FWMF,Strasbourg,fr Ligue 1,29-227,1991,6.1,23.0,22.8,0.16,0.00,0.00,2.79,0.66,1.48,0.00,0.00,0.00,0.00,16.4,4.43,2.13,2.46,18.7,0.98,0.00,0.66,17.4,0.16,0.49,0.49,1.48,Matches
1520,Marco Majouga\Marco-Majouga,fr FRA,FWMF,Nîmes,fr Ligue 1,19-360,2001,1.2,27.5,27.5,0.00,0.00,0.00,8.33,0.83,0.83,0.00,0.00,0.00,0.00,18.3,4.17,5.00,5.83,18.3,0.83,0.00,0.00,19.2,0.00,0.00,0.83,3.33,Matches
1521,Jean-Victor Makengo\Jean-Victor-Makengo,fr FRA,MF,Udinese,it Serie A,22-326,1998,4.0,28.8,28.5,0.25,0.00,0.00,6.00,1.25,0.50,0.00,0.00,0.00,0.00,19.0,5.75,4.00,21.3,4.75,0.75,0.25,0.50,23.3,0.25,1.50,0.25,1.75,Matches
1522,Nemanja Maksimović\Nemanja-Maksimovic,rs SRB,MF,Getafe,es La Liga,26-098,1995,26.4,24.8,23.4,1.44,0.38,0.00,4.32,0.53,0.61,0.00,0.00,0.00,0.00,15.4,3.41,6.06,2.12,18.4,3.03,0.04,0.15,19.1,0.04,0.61,0.30,0.61,Matches
1523,Nikola Maksimović\Nikola-Maksimovic,rs SRB,DF,Napoli,it Serie A,29-160,1991,13.4,70.7,68.0,2.69,1.94,0.00,5.00,3.28,0.07,0.00,0.00,0.00,0.00,58.7,6.64,5.30,3.96,62.5,2.09,0.15,0.60,66.3,0.00,0.67,0.45,0.37,Matches
1524,Adilson Malanda\Adilson-Malanda,fr FRA,MF,Nîmes,fr Ligue 1,19-187,2001,0.2,30.0,25.0,5.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,15.0,0.00,15.0,0.00,25.0,0.00,0.00,0.00,20.0,0.00,0.00,0.00,0.00,Matches
1525,Filip Malbašić\Filip-Malbasic,rs SRB,FWMF,Cádiz,es La Liga,28-167,1992,7.4,18.4,17.6,0.81,0.14,0.00,4.73,0.54,1.35,0.14,0.00,0.00,0.00,9.32,4.46,4.59,2.16,13.2,1.62,0.14,0.27,10.5,0.14,0.95,0.54,1.62,Matches
1526,Kévin Malcuit\Kevin-Malcuit,ma MAR,DF,Fiorentina,it Serie A,29-277,1991,2.3,39.6,33.0,6.52,0.00,0.00,3.04,0.00,2.61,0.00,0.00,0.00,0.00,22.2,8.70,8.70,2.61,27.8,1.74,6.52,0.00,27.8,0.00,0.43,0.43,2.61,Matches
1527,Kévin Malcuit\Kevin-Malcuit,ma MAR,MFFW,Napoli,it Serie A,29-277,1991,0.4,60.0,57.5,2.50,0.00,2.50,7.50,0.00,0.00,0.00,0.00,0.00,0.00,50.0,7.50,2.50,5.00,47.5,2.50,2.50,0.00,52.5,0.00,0.00,2.50,0.00,Matches
1528,Daniel Maldini\Daniel-Maldini,it ITA,FWMF,Milan,it Serie A,19-205,2001,0.3,56.7,56.7,0.00,0.00,0.00,3.33,0.00,3.33,0.00,0.00,0.00,0.00,36.7,10.0,10.0,3.33,43.3,3.33,0.00,6.67,50.0,0.00,0.00,3.33,0.00,Matches
1529,Ruslan Malinovskyi\Ruslan-Malinovskyi,ua UKR,FWMF,Atalanta,it Serie A,28-000,1993,17.9,53.9,48.4,5.53,1.17,0.34,10.4,2.74,1.34,4.08,1.79,1.62,0.56,37.6,5.14,11.2,46.7,4.97,0.84,0.22,0.11,39.7,0.28,0.95,1.84,2.01,Matches
1530,Yunus Mallı\Yunus-Malli,tr TUR,MF,Wolfsburg,de Bundesliga,29-069,1992,0.6,21.7,20.0,1.67,0.00,0.00,1.67,0.00,0.00,0.00,0.00,0.00,0.00,16.7,3.33,1.67,1.67,20.0,0.00,0.00,0.00,18.3,0.00,0.00,0.00,0.00,Matches
1531,Hugo Mallo\Hugo-Mallo,es ESP,DF,Celta Vigo,es La Liga,29-316,1991,28.1,61.0,48.8,12.1,1.39,0.07,5.69,1.10,2.42,0.00,0.00,0.00,0.00,34.0,14.2,12.7,5.73,39.9,3.10,10.7,0.25,47.0,0.21,1.53,1.53,1.57,Matches
1532,Mickael Malsa\Mickael-Malsa,mq MTQ,MF,Levante,es La Liga,25-204,1995,22.8,51.4,50.7,0.70,0.57,0.04,8.29,1.62,0.22,0.00,0.00,0.00,0.00,39.6,4.61,7.24,4.65,44.5,1.45,0.09,0.09,43.9,0.09,0.88,1.40,0.44,Matches
1533,Dennis Man\Dennis-Man,ro ROU,FWMF,Parma,it Serie A,22-251,1998,7.8,33.6,33.3,0.26,0.00,0.00,5.90,0.77,1.15,0.13,0.00,0.00,0.00,26.2,3.59,3.85,28.1,3.21,1.67,0.13,0.00,28.3,0.00,0.38,1.28,0.64,Matches
1534,Hianga Mananga Mbock\Hianga-Mananga-Mbock,fr FRA,MF,Brest,fr Ligue 1,21-127,1999,5.0,42.8,42.4,0.40,0.40,0.00,5.60,2.60,0.20,0.00,0.00,0.00,0.00,35.4,2.40,5.00,6.60,33.4,1.40,0.00,0.20,39.2,0.20,0.20,0.40,0.60,Matches
1535,Vincent Manceau\Vincent-Manceau,fr FRA,DF,Angers,fr Ligue 1,31-298,1989,22.7,61.9,50.5,11.4,1.06,0.00,4.05,0.88,1.67,0.00,0.00,0.00,0.00,36.5,11.9,13.5,6.83,42.6,1.63,10.4,0.13,49.7,0.04,0.79,1.89,1.32,Matches
1536,Gianluca Mancini\Gianluca-Mancini,it ITA,DF,Roma,it Serie A,25-017,1996,28.7,61.4,58.9,2.47,1.92,0.03,4.91,1.08,0.35,0.00,0.00,0.00,0.00,49.6,4.11,7.70,5.99,52.6,1.25,0.56,0.17,54.0,0.03,0.63,0.98,0.87,Matches
1537,Steve Mandanda\Steve-Mandanda,fr FRA,GK,Marseille,fr Ligue 1,36-037,1985,34.0,35.2,24.6,10.6,2.76,0.00,2.12,0.29,0.00,0.00,0.00,0.00,0.00,17.5,1.65,16.1,3.68,24.5,0.00,0.00,5.00,24.4,0.09,1.00,0.00,0.03,Matches
1538,Reinildo Mandava\Reinildo-Mandava,mz MOZ,DF,Lille,fr Ligue 1,27-103,1994,21.2,65.1,55.0,10.2,0.99,0.05,6.65,1.13,2.36,0.00,0.00,0.00,0.00,40.9,12.5,11.7,45.2,6.93,2.45,9.20,0.14,52.2,0.14,0.66,1.56,2.22,Matches
1539,Aïssa Mandi\Aissa-Mandi,dz ALG,DF,Betis,es La Liga,29-194,1991,26.6,56.2,54.2,2.03,1.80,0.00,4.29,1.65,0.04,0.00,0.00,0.00,0.00,46.5,4.55,5.23,5.45,48.0,1.77,0.15,0.15,51.8,0.04,0.41,0.53,0.30,Matches
1540,Rolando Mandragora\Rolando-Mandragora,it ITA,MF,Udinese,it Serie A,23-309,1997,4.4,37.5,36.8,0.68,0.00,0.00,7.05,0.45,0.68,0.23,0.23,0.00,0.00,23.6,6.59,7.27,27.7,7.05,1.36,0.23,0.00,29.8,0.00,1.14,0.91,1.36,Matches
1541,Rolando Mandragora\Rolando-Mandragora,it ITA,MF,Torino,it Serie A,23-309,1997,11.9,43.9,38.0,5.97,4.03,0.00,6.13,1.51,0.59,1.51,0.50,0.67,0.00,29.5,5.55,8.91,34.5,7.14,1.76,0.00,0.08,35.1,0.08,0.50,0.59,0.84,Matches
1542,Mario Mandžukić\Mario-Mandzukic,hr CRO,FW,Milan,it Serie A,34-348,1986,2.1,24.8,23.8,0.95,0.00,0.00,7.14,0.00,0.48,0.00,0.00,0.00,0.00,11.4,7.14,6.19,1.43,14.8,3.81,0.00,0.00,15.2,0.00,0.48,0.95,0.95,Matches
1543,Sadio Mané\Sadio-Mane,sn SEN,FW,Liverpool,eng Premier League,29-024,1992,27.1,33.2,32.8,0.44,0.07,0.15,6.57,0.77,1.99,0.07,0.00,0.00,0.00,23.8,5.54,3.87,8.97,22.0,0.81,0.30,0.66,24.6,0.11,0.41,1.18,2.03,Matches
1544,Eliaquim Mangala\Eliaquim-Mangala,fr FRA,DF,Valencia,es La Liga,30-080,1991,3.5,28.6,27.4,1.14,1.14,0.00,5.14,0.29,0.00,0.00,0.00,0.00,0.00,16.9,4.86,6.86,14.3,9.14,2.86,0.00,0.00,19.4,0.00,0.86,1.43,1.14,Matches
1545,Orel Mangala\Orel-Mangala,be BEL,MF,Stuttgart,de Bundesliga,23-047,1998,23.4,44.4,43.8,0.68,0.51,0.13,6.67,0.38,0.43,0.04,0.00,0.04,0.00,37.4,3.29,3.72,5.64,37.2,1.15,0.13,0.04,37.6,0.04,0.38,1.24,0.81,Matches
1546,Thomas Mangani\Thomas-Mangani,fr FRA,MF,Angers,fr Ligue 1,34-005,1987,26.9,66.3,60.2,6.10,3.64,0.11,8.10,3.23,1.23,2.30,1.00,1.12,0.11,41.1,7.29,17.9,52.7,10.1,2.30,0.15,0.19,53.6,0.26,0.74,0.67,0.97,Matches
1547,Vito Mannone\Vito-Mannone,it ITA,GK,Monaco,fr Ligue 1,33-063,1988,9.0,31.9,23.3,8.56,1.78,0.00,2.89,0.78,0.00,0.00,0.00,0.00,0.00,15.6,1.33,15.0,1.89,25.6,0.11,0.00,2.89,22.3,0.00,0.56,0.00,0.11,Matches
1548,Kostas Manolas\Kostas-Manolas,gr GRE,DF,Napoli,it Serie A,29-324,1991,21.5,61.6,59.1,2.47,1.72,0.05,4.09,1.72,0.09,0.05,0.05,0.00,0.00,51.2,5.26,5.16,8.74,49.9,1.67,0.09,0.19,57.6,0.00,0.84,0.60,0.23,Matches
1549,Javier Manquillo\Javier-Manquillo,es ESP,DF,Newcastle Utd,eng Premier League,26-364,1994,9.2,43.5,34.1,9.35,0.76,0.00,5.00,0.98,2.17,0.00,0.00,0.00,0.00,23.0,9.78,10.7,2.07,29.8,1.63,8.59,0.22,32.2,0.00,0.76,0.76,1.85,Matches
1550,Juan Manuel Ramos\Juan-Manuel-Ramos,uy URU,DF,Spezia,it Serie A,24-144,1996,3.0,49.3,38.3,11.0,0.67,0.00,6.67,1.33,0.67,2.00,0.00,2.00,0.00,27.3,10.7,11.3,35.3,3.00,1.33,8.33,0.00,39.3,0.00,0.33,0.67,3.00,Matches
1551,Myziane Maolida\Myziane-Maolida,fr FRA,FWMF,Nice,fr Ligue 1,22-079,1999,12.0,30.4,29.8,0.67,0.08,0.08,8.42,0.58,1.92,0.08,0.00,0.00,0.00,24.0,3.25,3.17,6.42,23.2,0.58,0.00,0.17,22.8,0.17,0.58,1.67,1.75,Matches
1552,Faitout Maouassa\Faitout-Maouassa,fr FRA,DF,Rennes,fr Ligue 1,22-302,1998,11.1,61.5,51.9,9.64,0.72,0.00,4.77,1.44,3.51,0.00,0.00,0.00,0.00,35.8,14.5,11.3,44.1,5.41,2.34,8.92,0.00,47.3,0.09,1.26,1.53,2.97,Matches
