,,,,,,,,,,Pass Types,,,,,,,,Corner Kicks,,,Height,,,Body Parts,,,,,Outcomes,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
30,Nayef Aguerd\Nayef-Aguerd,ma MAR,DF,Rennes,fr Ligue 1,25-035,1996,32.0,75.9,73.9,2.06,2.03,0.03,4.44,2.03,0.03,0.00,0.00,0.00,0.00,64.0,4.41,7.56,64.4,7.63,2.06,0.03,0.16,69.3,0.03,0.63,0.44,0.22,Matches
31,Sergio Agüero\Sergio-Aguero,ar ARG,FWMF,Manchester City,eng Premier League,32-336,1988,5.2,27.5,25.8,1.73,0.00,0.00,5.19,0.19,0.38,0.00,0.00,0.00,0.00,22.9,3.27,1.35,2.31,24.0,0.38,0.19,0.38,22.5,0.00,0.00,0.77,1.54,Matches
32,Ruben Aguilar\Ruben-Aguilar,fr FRA,DFFW,Monaco,fr Ligue 1,28-008,1993,23.6,64.4,55.3,9.15,1.27,0.08,5.30,2.08,4.15,0.81,0.34,0.34,0.08,40.9,10.0,13.4,1.36,52.2,2.20,7.08,0.21,53.1,0.21,0.64,0.85,1.23,Matches
33,Naouirou Ahamada\Naouirou-Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,19-036,2002,2.4,42.9,42.1,0.83,0.83,0.00,12.1,0.42,0.42,0.00,0.00,0.00,0.00,37.5,2.50,2.92,3.75,37.1,1.67,0.00,0.00,39.2,0.00,0.00,0.42,0.83,Matches
34,Matteo Ahlinvi\Matteo-Ahlinvi,bj BEN,MF,Nîmes,fr Ligue 1,21-306,1999,9.1,32.9,32.2,0.66,0.66,0.00,3.19,0.99,0.44,0.00,0.00,0.00,0.00,26.6,2.64,3.63,25.5,5.38,1.32,0.00,0.22,25.6,0.11,1.65,0.88,1.21,Matches
35,Cheikh Ahmadou Dieng\Cheikh-Ahmadou-Dieng,sn SEN,FW,Marseille,fr Ligue 1,21-042,2000,1.3,11.5,10.0,1.54,0.00,0.00,3.08,0.00,0.00,0.00,0.00,0.00,0.00,6.15,4.62,0.77,0.77,7.69,1.54,0.00,0.77,8.46,0.00,0.77,0.00,0.00,Matches
36,Jean-Eudes Aholou\Jean-Eudes-Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,27-045,1994,22.1,35.1,34.5,0.59,0.45,0.00,5.20,0.54,0.23,0.05,0.05,0.00,0.00,26.5,3.94,4.66,26.5,5.61,1.67,0.09,0.14,29.4,0.09,0.68,0.72,0.63,Matches
37,Jean-Eudes Aholou\Jean-Eudes-Aholou,ci CIV,MF,Monaco,fr Ligue 1,27-045,1994,0.4,25.0,25.0,0.00,0.00,0.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,22.5,0.00,2.50,17.5,7.50,0.00,0.00,0.00,20.0,0.00,2.50,0.00,0.00,Matches
38,Joseph Aidoo\Joseph-Aidoo,gh GHA,DF,Celta Vigo,es La Liga,25-217,1995,13.1,43.8,42.7,1.15,1.07,0.15,5.80,0.53,0.08,0.00,0.00,0.00,0.00,32.7,3.97,7.18,6.95,32.5,2.67,0.08,0.31,36.5,0.38,1.15,0.53,0.92,Matches
39,Ola Aina\Ola-Aina,ng NGA,DF,Fulham,eng Premier League,24-208,1996,28.9,58.4,48.8,9.62,1.04,0.00,4.12,1.28,1.45,0.00,0.00,0.00,0.00,34.4,9.10,14.9,9.79,36.6,2.87,8.58,0.14,45.3,0.03,0.83,1.45,1.52,Matches
40,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Angers,fr Ligue 1,19-332,2001,2.1,71.0,61.4,9.52,0.00,0.00,5.24,0.95,1.90,0.00,0.00,0.00,0.00,55.2,7.14,8.57,55.7,3.81,0.95,9.52,0.00,64.8,0.00,0.00,0.48,0.48,Matches
41,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Wolves,eng Premier League,19-332,2001,12.7,47.8,40.0,7.80,0.47,0.00,4.33,0.87,1.89,0.47,0.08,0.16,0.24,31.8,8.90,7.09,35.3,3.86,1.26,6.85,0.08,40.2,0.08,0.16,0.55,1.50,Matches
42,Semi Ajayi\Semi-Ajayi,ng NGA,DF,West Brom,eng Premier League,27-176,1993,26.9,32.1,30.0,2.08,0.41,0.04,3.90,1.00,0.19,0.00,0.00,0.00,0.00,19.5,3.57,9.07,1.75,24.6,2.42,1.67,0.07,23.7,0.19,0.93,1.00,0.45,Matches
43,Ludovic Ajorque\Ludovic-Ajorque,re REU,FW,Strasbourg,fr Ligue 1,27-068,1994,30.0,27.8,26.0,1.80,0.00,0.03,8.70,1.33,1.03,0.00,0.00,0.00,0.00,13.8,8.20,5.87,14.6,5.57,2.77,0.20,0.60,19.7,0.03,0.87,0.60,1.30,Matches
44,Manuel Akanji\Manuel-Akanji,ch SUI,DF,Dortmund,de Bundesliga,25-289,1995,23.4,82.3,79.9,2.35,1.79,0.04,6.28,2.78,0.00,0.00,0.00,0.00,0.00,70.9,5.09,6.24,18.8,58.9,2.86,0.56,0.13,76.3,0.17,0.73,0.85,0.56,Matches
45,Carlos Akapo\Carlos-Akapo,gq EQG,DF,Cádiz,es La Liga,28-053,1993,7.4,35.7,23.8,11.9,1.08,0.00,4.19,0.95,1.89,0.00,0.00,0.00,0.00,13.6,10.3,11.8,1.49,19.6,2.30,10.8,0.14,23.9,0.27,1.49,0.95,0.81,Matches
46,Marley Aké\Marley-Ake,fr FRA,FW,Marseille,fr Ligue 1,20-119,2001,1.6,21.9,20.6,1.25,0.00,0.00,6.88,0.00,0.63,0.00,0.00,0.00,0.00,13.1,3.75,5.00,1.88,15.0,1.88,0.00,0.63,17.5,0.63,1.25,1.25,0.63,Matches
47,Nathan Aké\Nathan-Ake,nl NED,DF,Manchester City,eng Premier League,26-075,1995,6.9,83.9,80.7,3.19,1.59,0.00,5.36,1.01,0.00,0.00,0.00,0.00,0.00,72.8,3.62,7.54,64.2,12.5,2.61,1.45,0.29,78.4,0.00,0.29,0.58,0.58,Matches
48,Paul Akouokou\Paul-Akouokou,ci CIV,MF,Betis,es La Liga,23-135,1997,4.2,43.6,43.3,0.24,0.24,0.00,4.76,0.71,0.48,0.00,0.00,0.00,0.00,35.7,3.81,4.05,5.00,36.0,1.19,0.00,0.24,40.0,0.00,0.24,0.71,0.00,Matches
49,Jean-Daniel Akpa-Akpro\Jean-Daniel-Akpa-Akpro,ci CIV,MFFW,Lazio,it Serie A,28-205,1992,9.6,29.6,28.2,1.35,0.21,0.21,3.75,0.63,0.10,0.00,0.00,0.00,0.00,21.1,5.42,3.02,5.00,22.1,0.94,0.94,0.21,23.9,0.10,0.73,0.83,1.25,Matches
50,Kevin Akpoguma\Kevin-Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,26-015,1995,11.4,51.5,46.5,5.00,2.46,0.00,6.32,0.79,0.53,0.00,0.00,0.00,0.00,38.3,4.30,8.86,6.93,39.3,1.84,2.54,0.00,41.6,0.09,1.75,0.53,0.88,Matches
51,David Alaba\David-Alaba,at AUT,DFMF,Bayern Munich,de Bundesliga,28-314,1992,27.3,75.9,72.5,3.41,1.83,0.15,5.93,1.47,0.81,0.04,0.00,0.04,0.00,57.9,6.01,12.0,62.9,8.57,2.42,1.47,0.07,64.7,0.40,0.88,1.06,1.17,Matches
52,Sofiane Alakouch\Sofiane-Alakouch,fr FRA,DF,Nîmes,fr Ligue 1,22-279,1998,16.2,54.1,42.2,11.9,1.05,0.00,4.57,1.11,0.93,0.00,0.00,0.00,0.00,31.2,14.3,8.58,3.58,38.0,1.23,10.7,0.12,42.8,0.19,1.11,1.85,1.79,Matches
53,Jony Álamo\Jony-Alamo,es ESP,MF,Elche,es La Liga,19-221,2001,0.8,20.0,20.0,0.00,0.00,0.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,18.8,1.25,0.00,2.50,17.5,0.00,0.00,0.00,17.5,0.00,1.25,0.00,0.00,Matches
54,Lucas Alario\Lucas-Alario,ar ARG,FW,Leverkusen,de Bundesliga,28-208,1992,13.8,22.8,21.6,1.16,0.07,0.00,5.94,0.07,0.00,0.00,0.00,0.00,0.00,14.3,5.29,3.12,2.68,15.9,1.59,0.00,1.01,17.3,0.00,0.07,0.58,0.80,Matches
