 
,,,,,,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
1238,Aboubakar Kamara\Aboubakar-Kamara,mr MTN,FWMF,Dijon,fr Ligue 1,26-058,1995,4.7,18.1,24.3,74.6,267.2,50.4,8.72,11.1,78.8,5.96,8.30,71.8,1.06,1.91,55.6,0.00,0.11,-0.11,1.28,0.43,0.85,0.64,1.28,Matches
1239,Bingourou Kamara\Bingourou-Kamara,sn SEN,GK,Strasbourg,fr Ligue 1,24-195,1996,8.0,20.8,30.9,67.2,722.8,526.5,3.00,3.00,100.0,7.63,7.75,98.4,10.0,20.0,50.0,0.00,0.00,0.00,0.00,0.38,0.00,0.00,0.00,Matches
1240,Boubacar Kamara\Boubacar-Kamara,fr FRA,MF,Marseille,fr Ligue 1,21-162,1999,29.5,55.9,64.3,86.9,1041.1,302.7,26.1,28.7,90.9,21.4,23.3,91.8,7.56,10.5,72.2,0.07,0.04,0.03,0.75,5.32,0.51,0.00,4.68,Matches
1241,Hassane Kamara\Hassane-Kamara,fr FRA,DF,Nice,fr Ligue 1,26-227,1994,29.9,47.8,58.3,81.9,840.7,282.0,23.2,26.0,89.2,19.4,22.4,86.7,4.65,8.06,57.7,0.03,0.07,-0.04,0.94,2.54,1.34,0.54,4.25,Matches
1242,Marcin Kamiński\Marcin-Kaminski,pl POL,DF,Stuttgart,de Bundesliga,29-109,1992,2.3,77.0,87.4,88.1,1609.6,610.0,20.0,21.7,92.0,45.7,48.3,94.6,10.9,14.8,73.5,0.00,0.04,-0.04,0.43,10.9,0.87,0.43,13.5,Matches
1243,Kevin Kampl\Kevin-Kampl,si SVN,MF,RB Leipzig,de Bundesliga,30-207,1990,19.7,59.3,66.2,89.6,1046.4,221.9,25.6,27.2,94.0,26.1,28.1,92.9,6.09,8.22,74.1,0.05,0.09,-0.04,0.76,5.43,0.86,0.05,4.82,Matches
1244,Harry Kane\Harry-Kane,eng ENG,FW,Tottenham,eng Premier League,27-280,1993,30.2,19.7,27.6,71.1,379.9,116.9,8.97,11.4,78.6,6.99,9.44,74.0,3.18,5.03,63.2,0.43,0.23,0.21,1.36,3.08,1.23,0.20,3.91,Matches
1245,Wilfried Kanga\Wilfried-Kanga,fr FRA,FW,Angers,fr Ligue 1,23-072,1998,1.5,9.33,11.3,82.4,126.0,14.0,5.33,5.33,100.0,3.33,5.33,62.5,0.00,0.00,,0.00,0.00,0.00,0.00,0.67,0.00,0.00,0.67,Matches
1246,Lee Kangin\Lee-Kangin,kr KOR,FWMF,Valencia,es La Liga,20-074,2001,11.5,31.9,39.8,80.1,599.5,134.5,15.0,16.6,90.6,11.7,13.7,86.0,4.52,8.17,55.3,0.35,0.21,0.14,1.48,3.22,1.39,0.09,4.43,Matches
1247,N'Golo Kanté\NGolo-Kante,fr FRA,MF,Chelsea,eng Premier League,30-036,1991,22.8,55.0,63.3,86.8,1012.3,222.4,22.5,25.3,89.1,25.8,28.4,91.0,5.70,7.68,74.3,0.09,0.04,0.04,0.88,4.25,0.53,0.04,4.30,Matches
1248,Yann Karamoh\Yann-Karamoh,fr FRA,FWMF,Parma,it Serie A,22-300,1998,14.4,19.9,25.8,77.2,317.7,69.2,11.2,12.9,86.6,6.04,7.99,75.7,1.81,2.85,63.4,0.07,0.14,-0.07,1.18,1.53,1.11,0.21,2.29,Matches
1249,Isaac Karamoko\Isaac-Karamoko,fr FRA,DF,Sassuolo,it Serie A,18-343,2002,0.0,1,1,100.0,15,0,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
1250,Atakan Karazor\Atakan-Karazor,de GER,DFMF,Stuttgart,de Bundesliga,24-203,1996,9.0,51.9,59.9,86.6,956.7,295.0,19.1,21.6,88.7,25.7,27.8,92.4,5.56,8.00,69.4,0.00,0.01,-0.01,0.22,1.11,0.11,0.00,1.78,Matches
1251,Augustus Kargbo\Augustus-Kargbo,sl SLE,FW,Crotone,it Serie A,21-253,1999,0.4,15.0,22.5,66.7,187.5,22.5,10.0,12.5,80.0,5.00,7.50,66.7,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1252,Loris Karius\Loris-Karius,de GER,GK,Union Berlin,de Bundesliga,27-316,1993,3.2,18.1,29.7,61.1,661.9,493.4,2.19,2.19,100.0,6.25,6.25,100.0,9.69,21.3,45.6,0.00,0.00,0.00,0.00,1.25,0.00,0.00,0.00,Matches
1253,Rick Karsdorp\Rick-Karsdorp,nl NED,DF,Roma,it Serie A,26-082,1995,24.3,38.6,46.2,83.7,706.0,199.2,15.8,17.9,88.1,19.3,21.4,89.8,3.33,5.47,60.9,0.21,0.19,0.02,0.95,1.98,1.52,0.29,3.74,Matches
1254,Noah Katterbach\Noah-Katterbach,de GER,DF,Köln,de Bundesliga,20-021,2001,11.3,41.6,53.9,77.2,735.3,339.4,19.6,21.9,89.1,16.9,21.0,80.6,4.34,8.76,49.5,0.00,0.11,-0.11,0.97,2.92,0.97,0.62,4.34,Matches
1255,Eiji Kawashima\Eiji-Kawashima,jp JPN,GK,Strasbourg,fr Ligue 1,38-045,1983,22.0,20.5,30.1,68.0,757.9,544.0,2.14,2.14,100.0,7.91,7.91,100.0,10.3,19.8,51.8,0.00,0.00,0.00,0.00,0.41,0.05,0.00,0.00,Matches
1256,Moise Kean\Moise-Kean,it ITA,FW,Everton,eng Premier League,21-065,2000,0.2,35.0,45.0,77.8,620.0,0.00,10.0,15.0,66.7,20.0,20.0,100.0,5.00,5.00,100.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1257,Moise Kean\Moise-Kean,it ITA,FW,Paris S-G,fr Ligue 1,21-065,2000,17.7,13.5,16.9,79.9,186.4,25.6,8.31,9.89,84.0,2.99,3.95,75.7,0.90,1.07,84.2,0.00,0.05,-0.05,0.34,0.34,0.40,0.00,1.07,Matches
1258,Michael Keane\Michael-Keane,eng ENG,DF,Everton,eng Premier League,28-113,1993,28.2,51.0,57.2,89.2,1153.4,364.4,11.3,12.3,91.4,29.4,30.8,95.3,9.50,12.8,74.2,0.04,0.03,0.00,0.21,3.33,0.18,0.00,2.59,Matches
1259,Neeskens Kebano\Neeskens-Kebano,cd COD,FWMF,Fulham,eng Premier League,29-055,1992,1.3,25.4,32.3,78.6,314.6,76.2,19.2,19.2,100.0,4.62,8.46,54.5,0.77,2.31,33.3,0.00,0.00,0.00,0.00,0.77,0.00,0.00,1.54,Matches
1260,Thilo Kehrer\Thilo-Kehrer,de GER,DF,Paris S-G,fr Ligue 1,24-225,1996,17.0,65.4,70.4,92.8,1128.6,350.7,28.5,30.2,94.2,31.9,33.5,95.3,4.29,5.41,79.3,0.00,0.04,-0.04,0.18,2.41,0.29,0.06,2.59,Matches
1261,Naby Keïta\Naby-Keita,gn GUI,MF,Liverpool,eng Premier League,26-083,1995,5.8,53.6,61.4,87.4,918.6,205.2,24.7,28.6,86.1,22.9,24.3,94.3,4.66,6.03,77.1,0.00,0.14,-0.14,1.03,5.34,1.72,0.17,5.52,Matches
1262,Yannik Keitel\Yannik-Keitel,de GER,MF,Freiburg,de Bundesliga,21-078,2000,3.9,27.2,33.8,80.3,459.5,127.2,13.3,16.9,78.8,10.3,11.3,90.9,2.82,3.59,78.6,0.00,0.03,-0.03,0.26,2.05,0.51,0.00,3.59,Matches
1263,Caoimhín Kelleher\Caoimhin-Kelleher,ie IRL,GK,Liverpool,eng Premier League,22-162,1998,2.0,25.5,31.0,82.3,729.5,366.0,3.00,3.00,100.0,13.0,13.0,100.0,9.50,15.0,63.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1264,Stephane Keller\Stephane-Keller,cm CMR,DF,Alavés,es La Liga,19-257,2001,0.2,55.0,65.0,84.6,1405.0,330.0,10.0,15.0,66.7,30.0,30.0,100.0,15.0,20.0,75.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1265,Marc-Oliver Kempf\Marc-Oliver-Kempf,de GER,DF,Stuttgart,de Bundesliga,26-096,1995,27.4,48.5,59.4,81.6,1006.8,391.8,16.5,18.3,90.0,23.5,27.0,87.2,7.85,12.6,62.5,0.04,0.01,0.02,0.36,5.26,0.77,0.07,4.89,Matches
1266,Kenedy\Kenedy,br BRA,FWMF,Granada,es La Liga,25-085,1996,16.3,12.9,20.2,63.9,236.4,91.0,6.44,7.67,84.0,3.99,6.07,65.7,1.96,5.15,38.1,0.18,0.16,0.02,1.04,1.10,0.67,0.31,1.41,Matches
1267,Jonjoe Kenny\Jonjoe-Kenny,eng ENG,DF,Everton,eng Premier League,24-050,1997,0.9,52.2,67.8,77.0,870.0,245.6,31.1,32.2,96.6,14.4,22.2,65.0,6.67,8.89,75.0,0.00,0.00,0.00,0.00,3.33,1.11,0.00,4.44,Matches
1268,Franck Kessié\Franck-Kessie,ci CIV,MF,Milan,it Serie A,24-136,1996,31.8,50.3,56.7,88.7,988.3,226.5,17.9,19.9,89.9,24.8,26.8,92.7,6.86,8.68,79.0,0.09,0.08,0.02,0.85,5.00,0.72,0.09,3.52,Matches
1269,Reda Khadra\Reda-Khadra,de GER,FW,Brighton,eng Premier League,19-304,2001,0.1,0.00,10.0,0.0,0.00,0.00,0.00,10.0,0.0,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1270,Omar Khailoti\Omar-Khailoti,it ITA,DF,Bologna,it Serie A,19-241,2001,0.3,63.3,70.0,90.5,1026.7,256.7,33.3,40.0,83.3,20.0,20.0,100.0,6.67,6.67,100.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67,Matches
1271,Saîf-Eddine Khaoui\Saif-Eddine-Khaoui,tn TUN,FWMF,Marseille,fr Ligue 1,26-007,1995,6.7,27.0,38.1,71.0,460.6,194.8,13.0,16.0,81.3,10.3,13.9,74.2,2.84,5.82,48.7,0.15,0.03,0.12,0.45,2.54,0.75,0.15,3.43,Matches
1272,Wahbi Khazri\Wahbi-Khazri,tn TUN,FW,Saint-Étienne,fr Ligue 1,30-085,1991,10.7,18.0,27.2,66.3,346.3,115.3,8.88,12.1,73.1,4.95,6.64,74.6,3.27,6.17,53.0,0.00,0.11,-0.11,1.40,3.08,1.21,0.19,3.74,Matches
1273,Rani Khedira\Rani-Khedira,de GER,MF,Augsburg,de Bundesliga,27-097,1994,18.2,25.2,34.0,74.2,445.8,112.0,10.9,13.1,83.2,10.4,13.5,77.2,2.80,5.05,55.4,0.00,0.01,-0.01,0.38,1.37,0.66,0.16,2.14,Matches
1274,Sami Khedira\Sami-Khedira,de GER,MF,Hertha BSC,de Bundesliga,34-030,1987,3.0,40.3,51.3,78.6,791.7,138.0,13.3,17.0,78.4,20.7,24.7,83.8,5.33,8.00,66.7,0.33,0.07,0.27,0.67,1.67,0.67,0.00,4.00,Matches
1275,Kike\Kike,es ESP,FW,Eibar,es La Liga,31-160,1989,30.3,17.5,26.4,66.2,254.4,30.3,10.6,13.6,77.7,4.79,7.72,62.0,1.19,2.67,44.4,0.07,0.07,0.00,0.76,0.86,0.26,0.13,0.86,Matches
1276,Luca Kilian\Luca-Kilian,de GER,DF,Mainz 05,de Bundesliga,21-245,1999,4.2,46.0,52.9,86.9,1054.8,251.7,10.0,10.7,93.3,26.4,28.3,93.3,9.05,12.6,71.7,0.00,0.00,0.00,0.24,1.43,0.24,0.00,2.38,Matches
1277,Max Kilman\Max-Kilman,eng ENG,DF,Wolves,eng Premier League,23-346,1997,12.6,43.3,49.4,87.8,808.6,291.0,16.9,17.9,94.7,22.2,24.0,92.4,3.89,6.83,57.0,0.08,0.04,0.04,0.32,3.89,0.16,0.00,2.86,Matches
1278,Joshua Kimmich\Joshua-Kimmich,de GER,MF,Bayern Munich,de Bundesliga,26-085,1995,21.4,72.6,87.1,83.3,1591.8,466.5,23.9,26.3,90.9,32.2,35.6,90.6,15.3,23.3,65.5,0.47,0.29,0.18,2.80,8.50,2.43,0.33,9.30,Matches
1279,Presnel Kimpembe\Presnel-Kimpembe,fr FRA,DF,Paris S-G,fr Ligue 1,25-264,1995,23.6,72.7,75.9,95.8,1336.1,427.5,30.7,31.4,98.0,34.0,35.0,97.0,7.25,8.31,87.2,0.00,0.01,-0.01,0.17,4.66,0.13,0.00,3.35,Matches
1280,Joshua King\Joshua-King,no NOR,MFFW,Everton,eng Premier League,29-109,1992,1.6,20.6,28.8,71.7,324.4,65.0,10.0,14.4,69.6,9.38,10.6,88.2,1.25,1.88,66.7,0.00,0.00,0.00,0.00,0.00,0.63,0.00,2.50,Matches
1281,Giorgos Kiriakopoulos\Giorgos-Kiriakopoulos,gr GRE,DF,Sassuolo,it Serie A,25-088,1996,14.7,51.2,61.4,83.3,850.7,295.2,25.1,27.3,92.0,21.6,24.8,87.1,3.67,6.80,54.0,0.00,0.07,-0.07,0.88,2.79,1.02,0.48,3.54,Matches
1282,Simon Kjær\Simon-Kjaer,dk DEN,DF,Milan,it Serie A,32-039,1989,22.6,48.8,55.5,88.0,1132.5,337.6,11.8,12.8,92.4,25.6,26.9,95.1,10.9,14.7,74.1,0.09,0.04,0.04,0.18,2.83,0.04,0.00,2.83,Matches
1283,Davy Klaassen\Davy-Klaassen,nl NED,MF,Werder Bremen,de Bundesliga,28-072,1993,2.5,17.6,25.6,68.8,273.6,86.0,7.60,10.4,73.1,9.20,11.2,82.1,0.40,2.40,16.7,0.00,0.00,0.00,0.00,1.60,0.40,0.00,2.00,Matches
1284,Felix Klaus\Felix-Klaus,de GER,DFMF,Wolfsburg,de Bundesliga,28-233,1992,1.5,38.7,48.0,80.6,695.3,131.3,18.0,21.3,84.4,14.0,16.7,84.0,5.33,6.67,80.0,0.00,0.00,0.00,0.00,1.33,0.00,0.00,2.67,Matches
1285,Klauss\Klauss,br BRA,FW,Hoffenheim,de Bundesliga,24-064,1997,0.6,30.0,36.7,81.8,408.3,166.7,21.7,23.3,92.9,6.67,8.33,80.0,1.67,3.33,50.0,0.00,0.50,-0.50,3.33,1.67,3.33,0.00,6.67,Matches
1286,Ragnar Klavan\Ragnar-Klavan,ee EST,DF,Cagliari,it Serie A,35-186,1985,7.5,35.9,43.2,83.0,746.8,219.5,11.2,13.5,83.2,18.7,20.1,92.7,5.60,8.67,64.6,0.00,0.00,0.00,0.00,2.27,0.13,0.00,2.00,Matches
1287,Philipp Klement\Philipp-Klement,de GER,MFFW,Stuttgart,de Bundesliga,28-237,1992,3.1,56.5,71.3,79.2,1157.1,404.5,24.8,26.8,92.8,19.7,22.3,88.4,11.3,20.6,54.7,0.65,0.42,0.23,4.52,6.13,2.26,0.32,4.84,Matches
1288,Mateusz Klich\Mateusz-Klich,pl POL,MF,Leeds United,eng Premier League,30-325,1990,24.8,45.4,57.2,79.3,781.7,204.0,22.1,25.4,87.1,16.5,19.8,83.1,5.20,8.51,61.1,0.20,0.15,0.06,1.73,4.03,1.57,0.24,5.48,Matches
1289,Mateo Klimowicz\Mateo-Klimowicz,de GER,FWMF,Stuttgart,de Bundesliga,20-302,2000,13.3,19.0,25.3,75.3,310.2,72.0,10.3,12.9,79.7,5.94,7.44,79.8,2.03,3.16,64.3,0.08,0.09,-0.02,0.98,1.58,0.83,0.08,2.11,Matches
1290,Fabian Klos\Fabian-Klos,de GER,FW,Arminia,de Bundesliga,33-153,1987,27.2,15.0,25.8,58.3,248.7,63.1,7.98,12.2,65.6,5.00,9.04,55.3,1.54,2.76,56.0,0.07,0.12,-0.05,0.92,1.54,0.55,0.07,2.61,Matches
1291,Lukas Klostermann\Lukas-Klostermann,de GER,DF,RB Leipzig,de Bundesliga,24-336,1996,13.2,65.8,74.5,88.3,1294.8,405.8,22.1,24.0,92.1,34.9,37.7,92.6,8.33,12.0,69.2,0.00,0.04,-0.04,0.30,6.82,0.76,0.08,5.45,Matches
1292,Justin Kluivert\Justin-Kluivert,nl NED,FWMF,Roma,it Serie A,21-364,1999,0.2,30.0,55.0,54.5,1215.0,290.0,0.00,5.00,0.0,10.0,15.0,66.7,20.0,25.0,80.0,0.00,0.00,0.00,0.00,0.00,5.00,5.00,0.00,Matches
1293,Justin Kluivert\Justin-Kluivert,nl NED,FWMF,RB Leipzig,de Bundesliga,21-364,1999,7.2,19.2,27.9,68.7,287.6,55.0,11.9,15.6,76.8,5.28,7.50,70.4,1.53,3.33,45.8,0.14,0.11,0.03,1.25,0.97,0.97,0.42,1.53,Matches
1294,Lukas Klünter\Lukas-Klunter,de GER,DF,Hertha BSC,de Bundesliga,24-343,1996,9.0,35.8,46.8,76.5,769.3,261.6,10.1,11.2,90.1,18.9,21.7,87.2,6.44,12.1,53.2,0.00,0.02,-0.02,0.22,2.56,0.56,0.22,2.67,Matches
1295,Ansgar Knauff\Ansgar-Knauff,de GER,MFFW,Dortmund,de Bundesliga,19-114,2002,0.7,25.7,32.9,78.3,497.1,198.6,7.14,10.0,71.4,15.7,20.0,78.6,1.43,1.43,100.0,1.43,1.43,0.00,5.71,0.00,2.86,2.86,2.86,Matches
1296,Robin Knoche\Robin-Knoche,de GER,DF,Union Berlin,de Bundesliga,28-347,1992,30.8,52.3,60.4,86.5,1251.1,346.2,11.2,12.4,90.6,26.8,29.2,91.7,14.0,18.1,77.1,0.00,0.01,-0.01,0.10,2.24,0.06,0.00,2.53,Matches
1297,Gregor Kobel\Gregor-Kobel,ch SUI,GK,Stuttgart,de Bundesliga,23-149,1997,31.0,30.5,37.2,82.0,700.1,427.7,10.9,10.9,99.7,11.5,11.6,99.7,6.90,13.5,51.3,0.00,0.00,0.00,0.03,0.39,0.03,0.00,0.03,Matches
1298,Robin Koch\Robin-Koch,de GER,DF,Leeds United,eng Premier League,24-291,1996,11.6,53.4,62.5,85.5,1144.4,344.7,11.6,13.8,83.8,33.4,35.3,94.9,7.76,12.3,62.9,0.00,0.02,-0.02,0.34,2.93,0.26,0.00,3.53,Matches
1299,Giorgi Kochorashvili\Giorgi-Kochorashvili,ge GEO,MF,Levante,es La Liga,21-309,1999,0.0,2,3,66.7,24,11,2,2,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,1,Matches
1300,Kenan Kodro\Kenan-Kodro,ba BIH,FWMF,Valladolid,es La Liga,27-258,1993,4.3,15.6,22.6,69.1,231.2,33.3,9.77,13.7,71.2,3.95,5.35,73.9,1.16,1.63,71.4,0.00,0.02,-0.02,0.93,0.70,0.00,0.00,0.47,Matches
1301,Kenan Kodro\Kenan-Kodro,ba BIH,FWMF,Athletic Club,es La Liga,27-258,1993,0.5,12.0,16.0,75.0,248.0,0.00,6.00,6.00,100.0,4.00,6.00,66.7,2.00,2.00,100.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1302,Dominik Kohr\Dominik-Kohr,de GER,MF,Mainz 05,de Bundesliga,27-093,1994,12.0,29.4,38.8,75.9,498.8,161.7,13.0,15.8,82.5,12.0,15.4,77.8,3.08,5.25,58.7,0.00,0.07,-0.07,0.33,3.75,0.33,0.00,3.42,Matches
1303,Dominik Kohr\Dominik-Kohr,de GER,MFFW,Eint Frankfurt,de Bundesliga,27-093,1994,2.9,45.9,59.7,76.9,799.0,236.6,20.3,24.5,83.1,22.4,28.6,78.3,2.41,4.48,53.8,0.00,0.00,0.00,0.34,6.90,0.34,0.00,7.93,Matches
1304,Koba Koindredi\Koba-Koindredi,fr FRA,MF,Valencia,es La Liga,19-189,2001,0.2,45.0,55.0,81.8,795.0,125.0,15.0,15.0,100.0,25.0,30.0,83.3,5.00,10.0,50.0,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,Matches
1305,Koke\Koke,es ESP,MF,Atlético Madrid,es La Liga,29-116,1992,29.6,63.5,72.2,88.0,1114.5,312.0,30.5,32.4,94.3,24.0,26.5,90.4,7.40,10.5,70.4,0.07,0.07,-0.00,1.11,6.32,1.11,0.10,6.52,Matches
1306,Aleksandr Kokorin\Aleksandr-Kokorin,ru RUS,FWMF,Fiorentina,it Serie A,30-046,1991,0.9,23.3,28.9,80.8,328.9,42.2,15.6,16.7,93.3,6.67,6.67,100.0,1.11,3.33,33.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
1307,Aleksandar Kolarov\Aleksandar-Kolarov,rs SRB,DF,Inter,it Serie A,35-175,1985,4.3,74.0,86.3,85.7,1515.8,502.8,27.2,29.5,92.1,34.2,37.7,90.7,11.4,16.7,68.1,0.23,0.21,0.02,1.40,8.60,1.63,0.23,8.37,Matches
1308,Sead Kolašinac\Sead-Kolasinac,ba BIH,DF,Arsenal,eng Premier League,27-318,1993,1.0,54.0,64.0,84.4,801.0,177.0,30.0,35.0,85.7,22.0,24.0,91.7,1.00,3.00,33.3,0.00,0.00,0.00,0.00,3.00,1.00,0.00,4.00,Matches
1309,Sead Kolašinac\Sead-Kolasinac,ba BIH,DFMF,Schalke 04,de Bundesliga,27-318,1993,13.8,37.8,47.8,79.2,645.9,231.7,17.0,19.4,87.3,17.8,21.5,82.8,2.32,4.86,47.8,0.00,0.07,-0.07,0.58,2.25,0.58,0.07,2.83,Matches
1310,Randal Kolo Muani\Randal-Kolo-Muani,fr FRA,FW,Nantes,fr Ligue 1,22-150,1998,30.7,12.7,18.5,68.4,166.4,32.4,8.27,10.9,75.8,3.09,4.79,64.6,0.59,1.01,58.1,0.10,0.19,-0.09,1.07,0.72,0.42,0.10,1.07,Matches
1311,Timothée Kolodziejczak\Timothee-Kolodziejczak,fr FRA,DF,Saint-Étienne,fr Ligue 1,29-215,1991,19.9,50.3,59.9,83.9,1045.8,409.7,16.9,19.1,88.7,24.8,27.5,90.1,8.29,12.1,68.5,0.00,0.02,-0.02,0.10,2.41,0.25,0.10,4.22,Matches
1312,Ghislain Konan\Ghislain-Konan,ci CIV,DF,Reims,fr Ligue 1,25-128,1995,26.0,39.2,50.1,78.3,686.3,263.0,17.0,19.8,86.2,18.5,22.6,81.9,3.23,5.96,54.2,0.04,0.04,-0.00,0.69,2.12,0.73,0.38,4.58,Matches
1313,Ibrahima Konaté\Ibrahima-Konate,fr FRA,DF,RB Leipzig,de Bundesliga,21-344,1999,7.0,60.1,69.7,86.3,1270.0,338.9,12.9,14.3,90.0,38.3,41.6,92.1,8.71,13.1,66.3,0.00,0.00,0.00,0.00,3.86,0.00,0.00,2.86,Matches
1314,Moussa Konaté\Moussa-Konate,sn SEN,FW,Dijon,fr Ligue 1,28-031,1993,11.2,16.1,21.6,74.4,250.4,31.3,8.30,11.1,75.0,6.07,7.95,76.4,0.89,1.25,71.4,0.00,0.04,-0.04,0.36,1.25,0.54,0.09,1.07,Matches
1315,Geoffrey Kondogbia\Geoffrey-Kondogbia,cf CTA,MF,Atlético Madrid,es La Liga,28-078,1993,6.2,51.5,59.4,86.7,967.6,231.6,23.1,24.7,93.5,20.5,23.4,87.6,7.26,9.68,75.0,0.00,0.05,-0.05,0.65,4.52,0.48,0.00,4.52,Matches
1316,Geoffrey Kondogbia\Geoffrey-Kondogbia,cf CTA,MF,Valencia,es La Liga,28-078,1993,4.9,32.9,38.6,85.2,782.2,161.8,10.8,12.2,88.3,14.3,15.9,89.7,7.76,10.4,74.5,0.00,0.00,0.00,0.00,4.29,0.00,0.00,2.86,Matches
1317,Lamine Koné\Lamine-Kone,ci CIV,DF,Strasbourg,fr Ligue 1,32-092,1989,10.6,35.1,42.5,82.7,872.6,324.4,7.45,8.87,84.0,17.1,18.6,91.9,10.2,13.9,73.5,0.00,0.00,0.00,0.09,3.30,0.00,0.00,3.30,Matches
1318,Moussa Koné\Moussa-Kone,sn SEN,FW,Nîmes,fr Ligue 1,24-125,1996,17.0,12.0,15.1,79.4,217.6,26.9,5.18,6.47,80.0,4.94,5.82,84.8,1.47,1.94,75.8,0.00,0.08,-0.08,0.53,0.94,0.18,0.06,0.82,Matches
1319,Youssouf Koné\Youssouf-Kone,ml MLI,DFFW,Elche,es La Liga,25-303,1995,0.8,30.0,36.3,82.8,495.0,197.5,16.3,18.8,86.7,10.0,10.0,100.0,2.50,6.25,40.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.25,Matches
1320,Terence Kongolo\Terence-Kongolo,nl NED,DF,Fulham,eng Premier League,27-079,1994,1.0,37.0,39.0,94.9,723.0,293.0,12.0,13.0,92.3,22.0,23.0,95.7,3.00,3.00,100.0,0.00,0.00,0.00,1.00,3.00,1.00,1.00,3.00,Matches
1321,Ezri Konsa\Ezri-Konsa,eng ENG,DF,Aston Villa,eng Premier League,23-193,1997,30.5,30.6,35.4,86.4,693.4,165.4,6.92,7.93,87.2,17.7,18.9,93.4,5.74,8.00,71.7,0.00,0.01,-0.01,0.03,1.15,0.07,0.00,1.02,Matches
1322,Laurent Koscielny\Laurent-Koscielny,fr FRA,DF,Bordeaux,fr Ligue 1,35-236,1985,23.6,48.6,54.2,89.8,1148.6,378.9,10.3,11.7,87.7,27.0,28.4,95.1,11.1,13.3,83.8,0.08,0.05,0.03,0.30,2.46,0.08,0.00,2.16,Matches
1323,Filip Kostić\Filip-Kostic,rs SRB,DF,Eint Frankfurt,de Bundesliga,28-184,1992,25.2,34.2,55.0,62.2,669.2,276.4,13.8,17.8,77.5,14.2,20.8,68.0,5.52,12.5,44.3,0.48,0.41,0.07,3.21,1.94,2.38,1.75,4.48,Matches
1324,Christian Kouamé\Christian-Kouame,ci CIV,FW,Fiorentina,it Serie A,23-149,1997,10.2,22.5,29.8,75.7,296.2,42.5,14.6,18.4,79.3,6.18,7.75,79.7,0.49,0.69,71.4,0.10,0.12,-0.02,0.98,0.88,0.69,0.10,1.27,Matches
1325,Nianzou Kouassi\Nianzou-Kouassi,fr FRA,DFMF,Bayern Munich,de Bundesliga,18-331,2002,1.3,57.7,63.8,90.4,1298.5,437.7,13.8,15.4,90.0,33.1,34.6,95.6,10.8,13.8,77.8,0.00,0.00,0.00,0.00,11.5,0.00,0.00,6.15,Matches
1326,Kalidou Koulibaly\Kalidou-Koulibaly,sn SEN,DF,Napoli,it Serie A,29-318,1991,24.5,63.5,70.9,89.6,1299.5,481.4,22.0,23.3,94.6,29.5,31.3,94.3,10.5,14.3,73.5,0.00,0.01,-0.01,0.20,4.49,0.29,0.08,3.47,Matches
1327,Jules Koundé\Jules-Kounde,fr FRA,DF,Sevilla,es La Liga,22-173,1998,29.1,64.2,71.2,90.1,1278.7,437.6,21.5,23.0,93.6,33.8,35.4,95.6,8.32,11.7,71.0,0.03,0.02,0.01,0.24,4.95,0.38,0.03,4.57,Matches
1328,Boubakar Kouyaté\Boubakar-Kouyate,ml MLI,DF,Metz,fr Ligue 1,24-019,1997,20.4,28.8,34.2,84.2,605.0,171.7,7.45,8.09,92.1,16.2,17.6,91.7,4.80,7.75,62.0,0.00,0.01,-0.01,0.15,0.64,0.00,0.00,0.83,Matches
1329,Cheikhou Kouyaté\Cheikhou-Kouyate,sn SEN,DF,Crystal Palace,eng Premier League,31-134,1989,29.7,29.0,36.6,79.2,594.2,185.4,10.2,11.9,86.1,13.0,14.8,88.2,5.29,8.99,58.8,0.00,0.01,-0.01,0.17,1.08,0.07,0.03,1.01,Matches
1330,Mateo Kovačić\Mateo-Kovacic,hr CRO,MF,Chelsea,eng Premier League,26-363,1994,18.8,79.2,86.9,91.1,1546.0,372.5,31.4,33.7,93.2,35.7,37.9,94.1,11.1,13.6,81.3,0.05,0.10,-0.04,1.17,8.35,1.17,0.00,8.24,Matches
