 
,,,,,,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
172,Ridle Baku\Ridle-Baku,de GER,FWDF,Wolfsburg,de Bundesliga,23-026,1998,26.8,38.1,50.7,75.2,687.6,217.5,16.8,19.8,84.7,16.8,21.3,78.6,4.14,7.35,56.3,0.15,0.14,0.01,1.34,2.35,1.72,0.63,4.25,Matches
173,Ridle Baku\Ridle-Baku,de GER,DF,Mainz 05,de Bundesliga,23-026,1998,2.0,31.0,44.0,70.5,641.5,354.0,10.0,13.5,74.1,14.5,18.0,80.6,6.00,11.0,54.5,0.00,0.00,0.00,0.00,2.00,1.00,0.00,6.50,Matches
174,Dilane Bakwa\Dilane-Bakwa,fr FRA,FWMF,Bordeaux,fr Ligue 1,18-251,2002,0.6,60.0,66.7,90.0,1005.0,150.0,30.0,31.7,94.7,21.7,23.3,92.9,8.33,10.0,83.3,0.00,0.00,0.00,1.67,5.00,0.00,0.00,3.33,Matches
175,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,eng Premier League,29-254,1991,13.3,26.8,35.0,76.8,646.8,247.8,5.79,6.62,87.5,14.1,16.0,87.8,6.69,11.6,57.8,0.00,0.00,0.00,0.00,2.48,0.00,0.00,2.26,Matches
176,Keita Baldé\Keita-Balde,sn SEN,FW,Sampdoria,it Serie A,26-057,1995,11.4,16.8,23.2,72.7,245.4,40.3,9.12,11.5,79.4,5.96,7.72,77.3,0.96,2.02,47.8,0.09,0.14,-0.05,1.40,0.88,0.70,0.09,1.49,Matches
177,George Baldock\George-Baldock,eng ENG,DF,Sheffield Utd,eng Premier League,28-056,1993,28.0,28.9,36.9,78.3,445.0,146.4,16.7,18.2,91.8,9.68,12.4,77.9,1.75,3.89,45.0,0.07,0.05,0.02,0.54,1.36,0.93,0.25,1.96,Matches
178,Gareth Bale\Gareth-Bale,wal WAL,FW,Tottenham,eng Premier League,31-292,1989,8.0,27.8,40.4,68.7,568.4,173.5,12.9,15.9,81.1,8.00,11.1,71.9,5.75,10.4,55.4,0.25,0.15,0.10,1.63,2.13,0.88,0.25,3.00,Matches
179,Mikel Balenziaga\Mikel-Balenziaga,es ESP,DF,Athletic Club,es La Liga,33-064,1988,14.8,36.7,49.3,74.4,680.7,227.8,15.1,17.6,85.8,16.8,20.8,80.8,4.26,8.38,50.8,0.07,0.02,0.05,0.34,3.38,0.47,0.34,2.64,Matches
180,Leonardo Balerdi\Leonardo-Balerdi,ar ARG,DF,Marseille,fr Ligue 1,22-098,1999,16.1,50.6,57.6,87.8,1052.1,289.6,15.8,17.2,92.1,25.9,28.0,92.7,8.32,11.1,75.3,0.00,0.00,0.00,0.06,2.17,0.00,0.00,1.93,Matches
181,Fodé Ballo-Touré\Fode-Ballo-Toure,sn SEN,DF,Monaco,fr Ligue 1,24-121,1997,7.3,48.2,58.9,81.9,834.9,244.2,21.5,23.6,91.3,21.6,25.8,84.0,4.25,7.26,58.5,0.41,0.10,0.32,1.10,3.01,1.51,0.82,4.11,Matches
182,Botond Balogh\Botond-Balogh,hu HUN,DF,Parma,it Serie A,18-332,2002,1.6,31.9,43.8,72.9,820.0,225.0,3.75,4.38,85.7,17.5,20.6,84.8,10.0,16.3,61.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.25,Matches
183,Abdoulaye Bamba\Abdoulaye-Bamba,ci CIV,DF,Angers,fr Ligue 1,31-009,1990,15.0,44.7,58.3,76.6,759.9,365.1,22.8,25.1,91.0,17.6,22.4,78.6,3.73,8.60,43.4,0.00,0.09,-0.09,0.80,2.67,0.93,0.53,3.60,Matches
184,Jonathan Bamba\Jonathan-Bamba,fr FRA,MF,Lille,fr Ligue 1,25-039,1996,31.2,40.4,51.5,78.3,678.0,185.4,21.3,23.7,89.7,14.2,17.4,81.5,3.78,7.79,48.6,0.29,0.16,0.13,2.02,3.33,1.51,0.32,3.65,Matches
185,Robson Bambu\Robson-Bambu,br BRA,DF,Nice,fr Ligue 1,23-173,1997,11.6,61.1,69.3,88.2,1258.9,373.9,18.6,20.2,92.3,32.3,34.6,93.5,9.31,12.7,73.5,0.00,0.01,-0.01,0.09,1.55,0.00,0.00,1.55,Matches
186,Patrick Bamford\Patrick-Bamford,eng ENG,FW,Leeds United,eng Premier League,27-241,1993,30.9,11.5,15.0,76.3,155.9,24.8,6.54,8.48,77.1,3.33,4.05,82.4,0.68,0.81,84.0,0.23,0.12,0.11,0.81,0.65,0.36,0.06,0.87,Matches
187,Mattia Bani\Mattia-Bani,it ITA,DF,Genoa,it Serie A,27-145,1993,10.2,42.9,50.8,84.6,969.9,315.4,11.5,13.1,87.3,22.2,24.2,91.5,8.92,12.3,72.8,0.00,0.01,-0.01,0.10,1.67,0.20,0.00,1.47,Matches
188,Mattia Bani\Mattia-Bani,it ITA,DF,Parma,it Serie A,27-145,1993,10.7,49.7,55.4,89.7,1144.2,313.3,9.25,10.7,86.8,30.0,31.0,96.7,10.0,13.1,76.4,0.00,0.01,-0.01,0.09,1.68,0.00,0.00,1.87,Matches
189,Simon Banza\Simon-Banza,fr FRA,FW,Lens,fr Ligue 1,24-264,1996,14.6,15.2,20.6,73.8,239.0,39.9,8.08,10.5,76.6,5.21,6.51,80.0,1.30,1.99,65.5,0.14,0.06,0.08,0.68,1.37,0.62,0.21,1.37,Matches
190,Antonín Barák\Antonin-Barak,cz CZE,MFFW,Hellas Verona,it Serie A,26-152,1994,28.2,32.4,41.5,78.0,550.9,137.2,16.2,19.6,82.8,12.4,15.1,82.4,3.05,4.61,66.2,0.07,0.10,-0.02,0.82,3.51,0.99,0.14,4.43,Matches
191,Federico Barba\Federico-Barba,it ITA,DF,Benevento,it Serie A,27-245,1993,26.2,38.0,47.0,80.8,741.0,276.5,13.7,15.0,91.4,18.6,21.6,85.9,4.96,8.70,57.0,0.08,0.06,0.01,0.53,2.02,0.57,0.11,2.63,Matches
192,Danilo Barbosa\Danilo-Barbosa,br BRA,DF,Nice,fr Ligue 1,25-065,1996,2.8,63.6,72.1,88.1,1318.9,344.6,17.1,20.4,84.2,36.1,37.5,96.2,10.0,13.2,75.7,0.00,0.00,0.00,0.36,3.21,0.36,0.00,3.21,Matches
