,,,,,,,,,Touches,,,,,,,Dribbles,,,,,Carries,,,,,,,,Receiving,,,,
519,Jasper Cillessen\Jasper-Cillessen,nl NED,GK,Valencia,es La Liga,30,1989,23.3,34.6,32.1,34.5,0.17,0.00,0.00,23.5,0.00,0.00,,0.00,0.00,15.3,71.4,47.9,0.00,0.00,0.00,0.00,0.00,12.4,12.4,99.3,0.00,Matches
520,Thiago Cionek\Thiago-Cionek,pl POL,DF,SPAL,it Serie A,33,1986,24.1,68.2,6.35,26.4,31.8,14.4,0.71,58.8,0.37,0.58,64.3,0.37,0.00,39.3,198.4,114.6,4.52,1.91,0.08,0.50,0.75,40.1,38.8,96.8,0.95,Matches
521,Ibrahim Cissé\Ibrahim-Cisse,sn SEN,DF,Angers,fr Ligue 1,23,1996,0.7,98.6,1.43,34.3,44.3,22.9,0.00,77.1,4.29,5.71,75.0,4.29,0.00,52.9,212.9,125.7,7.14,1.43,0.00,2.86,0.00,61.4,57.1,93.0,1.43,Matches
522,Ibrahim Cissé\Ibrahim-Cisse,ci CIV,DFFW,Nice,fr Ligue 1,20,1999,0.6,88.3,13.3,60.0,35.0,3.33,1.67,85.0,0.00,0.00,,0.00,0.00,61.7,473.3,371.7,3.33,0.00,0.00,0.00,0.00,65.0,65.0,100.0,0.00,Matches
523,Andrea Cistana\Andrea-Cistana,it ITA,DF,Brescia,it Serie A,22,1997,20.4,51.4,11.4,31.1,21.7,2.40,0.64,49.5,0.20,0.29,66.7,0.20,0.00,27.9,197.9,113.3,1.91,0.25,0.00,0.25,0.10,29.8,29.1,97.5,0.69,Matches
524,Ciaran Clark\Ciaran-Clark,ie IRL,DF,Newcastle Utd,eng Premier League,29,1989,13.2,37.5,8.11,22.4,14.0,2.50,0.68,35.7,0.38,0.53,71.4,0.38,0.08,16.3,78.0,29.1,0.68,0.15,0.00,0.30,0.15,16.9,15.7,92.8,0.61,Matches
525,Leon Clarke\Leon-Clarke,eng ENG,FWMF,Sheffield Utd,eng Premier League,34,1985,0.4,27.5,5.00,10.0,5.00,12.5,5.00,27.5,0.00,0.00,,0.00,0.00,2.50,12.5,10.0,0.00,0.00,0.00,0.00,0.00,35.0,20.0,57.1,7.50,Matches
526,Alexis Claude-Maurice\Alexis-Claude-Maurice,fr FRA,MFFW,Nice,fr Ligue 1,21,1998,18.1,48.7,0.77,7.68,26.5,20.6,3.65,47.3,2.60,3.98,65.3,2.82,0.06,40.6,225.2,143.2,7.35,2.65,0.88,3.15,2.87,44.4,36.9,83.1,7.40,Matches
527,Christian Clemens\Christian-Clemens,de GER,MFFW,Köln,de Bundesliga,27,1991,0.2,25.0,0.00,10.0,10.0,5.00,0.00,20.0,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.0,5.00,50.0,0.00,Matches
528,Óscar Clemente\Oscar-Clemente,es ESP,MF,Atlético Madrid,es La Liga,20,1999,0.0,4,0,1,1,2,0,4,0,0,,0,0,3,18,15,0,0,0,1,0,5,3,60.0,0,Matches
529,Yannis Clementia\Yannis-Clementia,fr FRA,GK,Nice,fr Ligue 1,22,1997,2.0,30.5,29.0,30.5,0.00,0.00,0.00,19.5,0.00,0.00,,0.00,0.00,14.0,79.5,42.5,0.00,0.00,0.00,0.00,0.00,8.00,8.00,100.0,0.00,Matches
530,Denilho Cleonise\Denilho-Cleonise,nl NED,FW,Genoa,it Serie A,17,2001,0.5,22.0,0.00,6.00,12.0,6.00,2.00,22.0,0.00,0.00,,0.00,0.00,22.0,78.0,44.0,2.00,0.00,0.00,0.00,4.00,36.0,16.0,44.4,2.00,Matches
531,Carlos Clerc\Carlos-Clerc,es ESP,DF,Levante,es La Liga,27,1992,20.5,58.0,4.10,21.8,27.3,12.8,0.68,48.4,1.22,1.90,64.1,1.27,0.10,31.5,188.9,108.6,4.83,1.71,0.20,0.98,0.44,34.1,31.1,91.0,1.61,Matches
532,Tom Cleverley\Tom-Cleverley,eng ENG,MF,Watford,eng Premier League,29,1989,10.8,54.0,2.04,10.0,26.6,19.8,2.31,51.4,0.37,0.56,66.7,0.37,0.00,34.6,119.9,52.5,2.59,1.11,0.09,0.74,0.56,41.6,34.6,83.3,3.98,Matches
533,Conor Coady\Conor-Coady,eng ENG,DF,Wolves,eng Premier League,26,1993,38.0,53.8,9.45,35.9,20.7,0.03,0.00,52.9,0.16,0.16,100.0,0.16,0.00,34.8,180.8,82.9,0.95,0.03,0.00,0.08,0.05,35.7,35.6,99.6,0.00,Matches
534,Marcus Coco\Marcus-Coco,fr FRA,FW,Nantes,fr Ligue 1,23,1996,0.2,15.0,0.00,5.00,10.0,0.00,0.00,15.0,0.00,0.00,,0.00,0.00,10.0,55.0,40.0,0.00,0.00,0.00,0.00,0.00,20.0,5.00,25.0,5.00,Matches
535,Renaud Cohade\Renaud-Cohade,fr FRA,MF,Metz,fr Ligue 1,34,1984,8.5,79.3,0.94,12.6,53.9,19.9,1.18,74.7,0.47,1.06,44.4,0.59,0.00,58.6,317.1,165.1,8.71,3.06,0.12,1.18,1.76,63.9,57.3,89.7,3.06,Matches
536,Coke\Coke,es ESP,DF,Levante,es La Liga,32,1987,11.0,63.4,4.45,22.8,27.9,16.9,2.18,53.8,1.36,2.45,55.6,1.55,0.00,37.1,189.5,104.5,4.55,1.64,0.09,1.36,0.55,40.0,36.1,90.2,2.45,Matches
537,Séamus Coleman\Seamus-Coleman,ie IRL,DF,Everton,eng Premier League,30,1988,20.4,64.1,4.26,21.3,31.0,16.1,1.47,53.4,1.86,3.04,61.3,2.16,0.29,38.4,202.8,109.7,4.46,1.76,0.39,1.18,0.83,38.3,33.9,88.4,2.45,Matches
538,Álex Collado\Alex-Collado,es ESP,DF,Barcelona,es La Liga,20,1999,0.1,100.0,0.00,0.00,40.0,60.0,10.0,100.0,0.00,0.00,,0.00,0.00,80.0,420.0,210.0,10.0,0.00,0.00,0.00,0.00,90.0,90.0,100.0,10.0,Matches
539,Ebrima Colley\Ebrima-Colley,gm GAM,FW,Atalanta,it Serie A,19,2000,0.9,75.6,0.00,8.89,25.6,47.8,13.3,75.6,4.44,5.56,80.0,4.44,0.00,63.3,366.7,187.8,7.78,3.33,3.33,4.44,5.56,68.9,54.4,79.0,16.7,Matches
540,Omar Colley\Omar-Colley,gm GAM,DF,Sampdoria,it Serie A,26,1992,30.8,55.4,8.67,29.0,27.1,2.89,1.07,54.0,0.19,0.19,100.0,0.19,0.00,30.1,181.1,97.0,2.37,0.45,0.06,0.19,0.13,31.1,30.5,98.0,0.91,Matches
541,Jamilu Collins\Jamilu-Collins,ng NGA,DF,Paderborn 07,de Bundesliga,24,1994,29.6,74.1,4.36,30.7,36.3,13.6,0.54,63.0,1.52,2.67,57.0,1.59,0.20,43.6,266.1,163.7,5.91,2.26,0.24,0.91,1.01,42.1,39.8,94.5,0.91,Matches
542,Simone Colombi\Simone-Colombi,it ITA,GK,Parma,it Serie A,28,1991,4.0,28.3,26.3,28.3,0.00,0.00,0.00,16.5,0.00,0.00,,0.00,0.00,9.75,25.3,13.3,0.00,0.00,0.00,0.00,0.00,8.00,7.75,96.9,0.00,Matches
543,Lorenzo Colombo\Lorenzo-Colombo,it ITA,FW,Milan,it Serie A,17,2002,0.1,40.0,0.00,0.00,20.0,20.0,10.0,30.0,0.00,0.00,,0.00,0.00,20.0,60.0,50.0,10.0,0.00,0.00,20.0,0.00,30.0,30.0,100.0,20.0,Matches
544,Racine Coly\Racine-Coly,sn SEN,DF,Nice,fr Ligue 1,23,1995,7.2,87.2,4.31,32.5,48.6,12.1,1.39,75.0,0.97,1.81,53.8,0.97,0.00,56.1,278.9,159.6,4.58,0.69,0.14,1.11,1.11,58.5,56.7,96.9,1.11,Matches
545,Kingsley Coman\Kingsley-Coman,fr FRA,FWMF,Bayern Munich,de Bundesliga,23,1996,16.7,62.0,0.12,4.07,23.2,39.6,8.62,61.7,3.59,6.05,59.4,3.89,0.12,53.8,296.8,185.4,11.4,2.63,2.69,1.98,2.63,63.3,50.5,79.8,16.8,Matches
546,Daniel Congré\Daniel-Congre,fr FRA,DF,Montpellier,fr Ligue 1,34,1985,21.6,51.2,3.89,23.5,28.2,3.47,0.37,49.5,0.19,0.32,57.1,0.19,0.00,29.1,159.3,98.2,2.45,0.37,0.00,0.28,0.14,30.6,29.9,97.7,0.46,Matches
547,Aaron Connolly\Aaron-Connolly,ie IRL,FW,Brighton,eng Premier League,19,2000,14.0,24.9,0.14,1.50,10.6,14.2,4.36,23.9,0.43,1.14,37.5,0.43,0.07,16.3,85.9,46.9,2.79,0.64,0.86,3.00,2.43,38.2,16.8,43.9,7.14,Matches
548,Andrea Consigli\Andrea-Consigli,it ITA,GK,Sassuolo,it Serie A,32,1987,31.0,35.0,29.4,34.8,0.26,0.03,0.00,25.7,0.06,0.10,66.7,0.06,0.00,18.4,97.8,58.6,0.00,0.00,0.00,0.00,0.00,15.7,15.7,100.0,0.00,Matches
549,Andrea Conti\Andrea-Conti,it ITA,DF,Milan,it Serie A,25,1994,19.2,64.4,3.91,21.1,35.7,11.7,0.78,55.6,0.47,0.57,81.8,0.52,0.00,38.7,198.5,112.0,5.00,1.56,0.16,0.47,0.47,39.7,38.5,97.0,1.15,Matches
550,Lewis Cook\Lewis-Cook,eng ENG,MF,Bournemouth,eng Premier League,22,1997,15.0,57.5,2.73,14.5,30.8,15.7,0.87,56.3,2.33,2.87,81.4,2.40,0.33,42.3,196.0,85.1,3.20,0.93,0.33,1.27,1.87,43.6,39.3,90.2,2.93,Matches
551,Steve Cook\Steve-Cook,eng ENG,DF,Bournemouth,eng Premier League,28,1991,27.0,57.7,9.70,35.0,22.9,2.56,0.96,55.6,0.15,0.15,100.0,0.15,0.00,30.5,163.4,76.4,1.00,0.04,0.00,0.22,0.15,34.2,33.0,96.5,0.85,Matches
552,Francis Coquelin\Francis-Coquelin,fr FRA,MF,Valencia,es La Liga,28,1991,21.2,55.8,3.21,16.4,34.6,7.88,0.90,54.8,0.99,1.37,72.4,0.99,0.00,39.8,162.3,74.4,2.08,0.47,0.09,0.90,1.08,40.5,38.2,94.3,1.75,Matches
553,Gabriele Corbo\Gabriele-Corbo,it ITA,DF,Bologna,it Serie A,19,2000,1.4,52.9,9.29,32.9,20.0,0.71,0.00,52.1,0.00,0.00,,0.00,0.00,34.3,156.4,92.1,2.86,0.00,0.00,0.00,0.00,34.3,33.6,97.9,0.00,Matches
554,Sébastien Corchia\Sebastien-Corchia,fr FRA,DF,Espanyol,es La Liga,28,1990,3.0,77.7,2.67,15.7,31.7,33.3,1.33,66.0,2.00,3.33,60.0,2.00,0.00,51.7,204.7,113.7,4.33,0.33,0.33,1.00,2.00,58.3,53.0,90.9,4.33,Matches
555,Iñigo Córdoba\Inigo-Cordoba,es ESP,FW,Athletic Club,es La Liga,22,1997,16.0,40.8,0.75,8.63,16.9,17.6,2.31,40.3,1.06,2.00,53.1,1.13,0.00,27.3,124.8,66.8,3.38,0.88,0.31,2.13,1.25,37.8,27.6,73.1,5.00,Matches
556,Jhon Córdoba\Jhon-Cordoba,co COL,FW,Köln,de Bundesliga,26,1993,22.2,33.2,0.95,1.53,17.1,16.3,5.68,31.2,1.17,2.16,54.2,1.22,0.00,21.8,89.2,31.2,1.80,0.68,0.59,3.87,1.80,47.7,23.5,49.2,9.68,Matches
557,Sergio Córdova\Sergio-Cordova,ve VEN,FWMF,Augsburg,de Bundesliga,21,1997,4.1,29.8,0.98,2.93,16.8,12.4,3.41,28.5,0.73,1.22,60.0,0.73,0.00,19.8,92.9,55.4,3.41,1.46,0.98,2.93,1.95,38.5,19.8,51.3,5.61,Matches
558,Benjamin Corgnet\Benjamin-Corgnet,fr FRA,MF,Strasbourg,fr Ligue 1,32,1987,2.9,36.2,0.69,3.45,20.0,14.1,2.76,34.1,0.34,1.72,20.0,0.69,0.34,19.0,76.2,45.5,1.72,0.34,1.03,1.38,0.69,38.3,26.2,68.5,5.17,Matches
559,Jack Cork\Jack-Cork,eng ENG,MF,Burnley,eng Premier League,30,1989,29.0,42.4,2.21,7.62,27.3,9.79,1.03,42.1,0.90,1.21,74.3,0.90,0.03,25.7,117.7,46.6,2.28,1.03,0.14,0.86,1.52,27.2,23.1,85.0,1.90,Matches
560,Andreas Cornelius\Andreas-Cornelius,dk DEN,FW,Parma,it Serie A,26,1993,16.6,39.0,1.69,4.28,19.4,17.6,5.36,37.9,1.08,1.87,58.1,1.20,0.06,23.1,97.4,32.8,2.35,0.72,0.60,3.61,2.29,50.2,29.3,58.5,11.2,Matches
561,Maxwel Cornet\Maxwel-Cornet,ci CIV,FWDF,Lyon,fr Ligue 1,22,1996,14.8,60.1,1.49,11.9,25.8,27.2,2.64,54.1,1.49,2.23,66.7,1.55,0.00,39.7,226.5,143.4,6.01,1.76,0.81,1.69,1.76,48.7,38.5,79.1,8.85,Matches
562,Quentin Cornette\Quentin-Cornette,fr FRA,FWMF,Amiens,fr Ligue 1,25,1994,3.9,56.4,0.00,10.0,21.3,32.1,2.05,51.8,2.31,5.38,42.9,2.82,0.26,37.4,175.9,125.9,5.90,1.28,0.00,4.10,3.33,50.8,36.9,72.7,7.18,Matches
563,Ángel Correa\Angel-Correa,ar ARG,MFFW,Atlético Madrid,es La Liga,24,1995,22.9,41.1,1.27,5.81,16.8,21.3,6.07,40.6,1.79,3.23,55.4,2.01,0.09,30.4,116.9,68.5,4.32,1.44,1.05,3.45,2.66,40.0,29.1,72.6,10.3,Matches
564,Joaquín Correa\Joaquin-Correa,ar ARG,FWMF,Lazio,it Serie A,24,1994,22.2,44.5,0.50,2.16,18.5,28.0,7.52,43.1,2.34,3.69,63.4,2.70,0.18,36.6,212.7,133.2,7.48,2.66,1.94,2.34,1.80,50.9,36.4,71.6,12.7,Matches
565,Rober Correa\Rober-Correa,es ESP,DF,Eibar,es La Liga,26,1992,10.3,61.0,3.79,15.0,31.7,18.0,0.78,47.9,0.49,0.68,71.4,0.49,0.00,27.5,148.0,66.8,3.79,2.04,0.10,0.97,0.58,30.1,26.3,87.4,0.97,Matches
566,Thierry Correia\Thierry-Correia,pt POR,DF,Valencia,es La Liga,20,1999,2.9,59.3,4.14,21.0,33.1,8.28,0.00,48.6,0.34,0.69,50.0,0.34,0.00,30.3,152.1,96.9,3.10,1.38,0.00,1.38,0.34,34.8,31.7,91.1,1.72,Matches
567,Antonio Cortés\Antonio-Cortes,es ESP,FWMF,Granada,es La Liga,19,2000,2.0,34.0,0.00,4.00,14.0,18.5,3.00,33.5,2.00,4.50,44.4,2.00,0.00,26.5,106.5,53.0,3.50,1.00,0.00,3.50,2.50,43.0,24.0,55.8,8.00,Matches
568,Angelo da Costa Júnior\Angelo-da-Costa-Junior,br BRA,GK,Bologna,it Serie A,35,1983,1.0,28.0,20.0,27.0,1.00,0.00,0.00,21.0,0.00,0.00,,0.00,0.00,19.0,60.0,31.0,0.00,0.00,0.00,0.00,0.00,15.0,15.0,100.0,0.00,Matches
569,Danny da Costa\Danny-da-Costa,de GER,DFMF,Eint Frankfurt,de Bundesliga,26,1993,15.4,52.3,1.82,9.94,20.6,24.2,2.92,45.3,1.49,2.60,57.5,1.62,0.00,30.5,155.3,74.3,3.96,1.23,0.78,0.78,0.97,37.8,29.7,78.5,5.91,Matches
570,Diego Costa\Diego-Costa,es ESP,FW,Atlético Madrid,es La Liga,30,1988,15.0,35.5,1.07,2.87,17.5,16.7,4.80,34.5,1.00,1.80,55.6,1.07,0.07,22.5,92.3,36.3,1.93,0.53,0.27,2.73,1.40,49.9,27.4,54.9,9.60,Matches
571,Douglas Costa\Douglas-Costa,br BRA,FWMF,Juventus,it Serie A,28,1990,8.9,68.9,0.67,6.85,33.8,35.4,4.83,65.6,4.16,6.63,62.7,4.49,0.34,57.3,349.2,200.7,11.8,3.37,1.46,2.92,2.47,64.3,56.5,87.9,10.2,Matches
572,Jaume Costa\Jaume-Costa,es ESP,DF,Valencia,es La Liga,31,1988,15.4,63.7,4.48,20.5,31.6,15.6,1.10,55.7,0.78,1.23,63.2,0.78,0.06,38.6,187.3,105.1,4.42,1.69,0.00,0.58,0.39,43.2,39.9,92.2,2.92,Matches
573,Nuno da Costa\Nuno-da-Costa,cv CPV,FWMF,Strasbourg,fr Ligue 1,28,1991,5.9,43.2,0.68,2.88,19.2,23.1,6.27,42.9,3.05,4.75,64.3,3.56,0.34,30.7,100.5,37.8,3.05,0.51,0.68,3.22,2.54,49.5,31.2,63.0,13.1,Matches
574,David Costas\David-Costas,es ESP,DF,Celta Vigo,es La Liga,24,1995,3.8,63.2,7.63,33.7,31.3,1.58,0.53,61.3,0.00,0.00,,0.00,0.00,42.6,234.7,120.0,1.84,0.26,0.00,0.26,0.26,41.6,40.3,96.8,0.53,Matches
575,Benoît Costil\Benoit-Costil,fr FRA,GK,Bordeaux,fr Ligue 1,32,1987,28.0,33.8,29.3,33.5,0.32,0.00,0.00,22.6,0.07,0.07,100.0,0.07,0.00,15.5,68.0,32.6,0.00,0.00,0.00,0.00,0.00,13.9,13.9,100.0,0.00,Matches
576,Kalifa Coulibaly\Kalifa-Coulibaly,ml MLI,FW,Nantes,fr Ligue 1,27,1991,18.0,33.2,2.00,2.50,12.7,18.9,5.72,32.6,0.78,2.17,35.9,0.83,0.06,17.4,49.1,24.4,1.39,0.39,0.44,3.67,2.39,47.7,25.4,53.3,12.2,Matches
577,Senou Coulibaly\Senou-Coulibaly,ml MLI,DF,Dijon,fr Ligue 1,24,1994,7.4,65.4,10.9,40.9,26.1,0.95,0.68,63.9,0.00,0.00,,0.00,0.00,39.1,214.3,117.2,2.03,0.00,0.00,0.14,0.41,43.2,42.4,98.1,0.41,Matches
578,Yoann Court\Yoann-Court,fr FRA,FWMF,Brest,fr Ligue 1,29,1990,16.3,47.2,1.04,8.04,22.5,19.9,2.39,44.5,0.92,1.66,55.6,0.98,0.06,30.2,149.5,92.5,4.85,1.72,0.18,1.41,1.90,42.0,31.3,74.5,7.24,Matches
579,Thibaut Courtois\Thibaut-Courtois,be BEL,GK,Real Madrid,es La Liga,27,1992,34.0,33.9,31.1,33.8,0.09,0.03,0.03,25.6,0.00,0.00,,0.00,0.00,18.5,95.2,41.4,0.00,0.00,0.00,0.00,0.00,16.9,16.8,99.5,0.03,Matches
580,Philippe Coutinho\Philippe-Coutinho,br BRA,MFFW,Bayern Munich,de Bundesliga,27,1992,15.7,68.2,0.13,4.84,35.4,32.8,5.16,64.5,2.87,4.39,65.2,3.12,0.32,54.8,276.4,152.7,9.81,2.42,0.96,1.40,2.10,66.6,54.5,81.9,10.5,Matches
581,Nicolas Cozza\Nicolas-Cozza,fr FRA,DF,Montpellier,fr Ligue 1,20,1999,6.2,46.5,4.19,28.9,21.0,1.77,0.81,45.2,0.32,0.65,50.0,0.48,0.00,31.1,201.1,89.0,1.94,0.16,0.00,0.16,0.00,31.5,30.2,95.9,0.65,Matches
582,Alessio Cragno\Alessio-Cragno,it ITA,GK,Cagliari,it Serie A,25,1994,16.0,33.0,30.1,32.9,0.19,0.00,0.00,19.8,0.00,0.00,,0.00,0.00,10.6,69.8,47.1,0.00,0.00,0.00,0.00,0.00,9.06,9.00,99.3,0.00,Matches
583,Aaron Cresswell\Aaron-Cresswell,eng ENG,DF,West Ham,eng Premier League,29,1989,30.3,65.0,3.56,18.2,31.2,18.5,0.86,52.2,0.53,1.25,42.1,0.63,0.07,35.5,140.1,67.7,3.00,1.19,0.10,0.30,0.43,37.6,34.6,91.9,1.45,Matches
584,Domenico Criscito\Domenico-Criscito,it ITA,DF,Genoa,it Serie A,32,1986,22.8,66.8,5.22,25.5,30.5,14.3,0.92,57.4,0.39,0.48,81.8,0.44,0.09,35.6,171.0,103.9,3.38,0.88,0.09,0.48,0.22,38.9,37.3,96.0,1.18,Matches
585,Bryan Cristante\Bryan-Cristante,it ITA,MF,Roma,it Serie A,24,1995,18.0,68.3,2.44,16.3,44.6,12.6,1.17,66.7,0.78,0.94,82.4,0.78,0.00,47.4,306.1,166.1,6.78,1.44,0.00,0.61,0.89,54.7,51.9,94.9,2.06,Matches
586,Sebastián Cristóforo\Sebastian-Cristoforo,uy URU,MF,Fiorentina,it Serie A,25,1993,1.0,62.0,3.00,21.0,23.0,18.0,0.00,53.0,0.00,0.00,,0.00,0.00,34.0,93.0,40.0,1.00,0.00,0.00,1.00,1.00,33.0,31.0,93.9,2.00,Matches
587,Sebastián Cristóforo\Sebastian-Cristoforo,uy URU,MF,Eibar,es La Liga,25,1993,9.7,48.4,1.13,8.25,26.8,15.8,0.82,47.2,1.03,1.75,58.8,1.13,0.00,29.6,98.7,45.2,2.27,1.13,0.00,1.13,2.06,33.3,26.7,80.2,3.40,Matches
588,Juan Cuadrado\Juan-Cuadrado,co COL,DF,Juventus,it Serie A,31,1988,29.5,90.6,2.37,22.1,49.1,27.5,1.83,82.9,1.73,2.75,63.0,1.86,0.00,63.7,325.0,225.8,11.1,4.07,0.88,0.75,0.98,71.3,66.8,93.7,2.71,Matches
589,Cucho\Cucho,co COL,FWMF,Mallorca,es La Liga,20,1999,16.5,41.8,1.33,6.36,20.1,18.8,3.94,41.2,2.00,3.09,64.7,2.06,0.06,30.4,160.8,92.5,5.21,1.33,0.97,2.67,2.48,45.9,31.8,69.2,8.24,Matches
590,Marc Cucurella\Marc-Cucurella,es ESP,MFDF,Getafe,es La Liga,21,1998,36.0,50.5,1.14,8.22,23.0,22.6,1.81,45.6,0.67,1.33,50.0,0.81,0.06,29.4,135.2,78.9,4.56,1.58,0.33,1.81,1.19,37.5,28.0,74.7,4.47,Matches
591,Iván Cuéllar\Ivan-Cuellar,es ESP,GK,Leganés,es La Liga,35,1984,27.0,33.5,27.2,32.7,0.74,0.04,0.00,20.8,0.00,0.00,,0.00,0.00,12.9,105.5,57.5,0.04,0.00,0.00,0.00,0.00,8.48,8.44,99.6,0.00,Matches
592,Jaume Cuéllar\Jaume-Cuellar,bo BOL,FWMF,SPAL,it Serie A,17,2001,0.8,30.0,0.00,0.00,16.3,15.0,1.25,28.8,2.50,2.50,100.0,2.50,0.00,18.8,110.0,48.8,2.50,1.25,0.00,2.50,1.25,37.5,25.0,66.7,7.50,Matches
593,Mickaël Cuisance\Mickael-Cuisance,fr FRA,MFFW,Bayern Munich,de Bundesliga,19,1999,3.4,67.9,0.88,8.53,34.1,30.3,2.94,62.4,3.24,5.29,61.1,3.53,0.29,51.5,258.5,148.8,8.24,2.06,0.29,0.88,1.18,58.8,53.2,90.5,5.88,Matches
594,Matheus Cunha\Matheus-Cunha,br BRA,FWMF,Hertha BSC,de Bundesliga,20,1999,8.3,38.0,0.72,4.94,20.8,16.7,3.01,37.1,4.10,5.18,79.1,4.34,0.00,32.0,199.6,130.5,6.51,2.53,1.20,2.05,2.89,36.5,24.6,67.3,5.78,Matches
595,Matheus Cunha\Matheus-Cunha,br BRA,FWMF,RB Leipzig,de Bundesliga,20,1999,3.1,50.3,0.65,1.61,22.9,28.4,6.77,49.7,2.26,3.55,63.6,2.26,0.00,39.4,183.5,100.6,5.81,1.61,0.97,3.87,2.90,56.8,35.5,62.5,10.3,Matches
596,Felipe Curcio\Felipe-Curcio,br BRA,DF,Brescia,it Serie A,26,1993,0.1,120.0,0.00,30.0,70.0,40.0,10.0,110.0,0.00,0.00,,0.00,0.00,100.0,1130.0,1020.0,30.0,0.00,0.00,0.00,0.00,90.0,90.0,100.0,20.0,Matches
597,Patrick Cutrone\Patrick-Cutrone,it ITA,FW,Fiorentina,it Serie A,21,1998,9.3,29.6,1.08,3.23,12.5,15.4,4.95,29.1,0.75,1.40,53.8,0.75,0.00,19.5,98.0,44.5,2.47,0.86,1.08,3.55,1.18,44.8,21.9,48.9,10.5,Matches
598,Patrick Cutrone\Patrick-Cutrone,it ITA,FW,Wolves,eng Premier League,21,1998,3.3,31.8,0.30,3.03,15.5,14.8,5.15,29.7,1.52,2.73,55.6,1.82,0.00,21.2,103.9,51.2,3.03,1.21,0.61,3.03,2.73,52.4,18.2,34.7,7.88,Matches
599,Wylan Cyprien\Wylan-Cyprien,fr FRA,MF,Nice,fr Ligue 1,24,1995,19.7,77.4,2.49,18.1,48.0,16.6,0.96,69.3,0.56,0.96,57.9,0.61,0.00,52.4,230.3,136.1,4.52,1.27,0.15,0.76,1.12,60.9,57.0,93.7,2.18,Matches
600,Rafael Czichos\Rafael-Czichos,de GER,DF,Köln,de Bundesliga,29,1990,24.5,60.1,10.2,35.2,27.2,2.20,0.49,57.5,0.20,0.29,71.4,0.20,0.00,34.0,229.3,126.7,2.49,0.78,0.00,0.24,0.29,35.3,34.4,97.3,0.41,Matches
601,Lennart-Marten Czyborra\Lennart-Marten-Czyborra,de GER,DF,Atalanta,it Serie A,20,1999,0.2,65.0,0.00,5.00,40.0,25.0,0.00,60.0,0.00,0.00,,0.00,0.00,45.0,145.0,70.0,10.0,5.00,0.00,0.00,5.00,75.0,50.0,66.7,5.00,Matches
602,Marco D'Alessandro\Marco-DAlessandro,it ITA,MFDF,SPAL,it Serie A,28,1991,8.7,40.5,1.03,7.93,16.7,20.3,2.87,39.4,2.07,3.10,66.7,2.07,0.34,30.1,229.4,143.3,6.78,1.84,0.92,1.84,0.80,34.5,29.2,84.7,5.75,Matches
603,Danilo D'Ambrosio\Danilo-DAmbrosio,it ITA,DF,Inter,it Serie A,30,1988,15.6,66.6,4.36,22.4,35.0,13.0,1.67,60.4,0.77,1.28,60.0,0.77,0.00,43.3,179.8,103.9,4.42,0.90,0.13,0.71,0.45,49.7,45.8,92.1,2.76,Matches
604,Felice D'Amico\Felice-DAmico,it ITA,MF,Sampdoria,it Serie A,18,2000,0.0,10,0,2,3,5,1,8,0,0,,0,0,5,17,6,1,0,1,1,1,6,5,83.3,1,Matches
605,Lucas Da Cunha\Lucas-Da-Cunha,fr FRA,MF,Rennes,fr Ligue 1,18,2001,0.8,36.3,0.00,3.75,16.3,18.8,3.75,35.0,1.25,2.50,50.0,1.25,0.00,26.3,143.8,70.0,2.50,1.25,0.00,1.25,0.00,33.8,23.8,70.4,3.75,Matches
606,Jacopo Da Riva\Jacopo-Da-Riva,it ITA,FW,Atalanta,it Serie A,18,2000,0.0,2,0,0,1,1,0,2,0,0,,0,0,2,7,4,0,0,0,0,0,2,2,100.0,0,Matches
607,Damien Da Silva\Damien-Da-Silva,fr FRA,DF,Rennes,fr Ligue 1,31,1988,24.9,60.8,7.99,36.0,27.9,1.65,0.44,58.9,0.40,0.44,90.9,0.40,0.00,36.8,214.5,104.4,2.29,0.32,0.00,0.12,0.28,38.4,37.8,98.5,0.40,Matches
608,Bryan Dabo\Bryan-Dabo,bf BFA,MF,SPAL,it Serie A,27,1992,12.5,56.0,1.76,12.1,35.6,13.4,0.96,55.1,0.96,1.84,52.2,1.12,0.00,40.5,233.9,131.0,5.28,1.76,0.08,1.28,0.96,47.3,42.7,90.4,2.96,Matches
609,Moanes Dabour\Moanes-Dabour,il ISR,FW,Hoffenheim,de Bundesliga,27,1992,8.5,42.8,0.24,3.88,21.8,19.4,4.24,41.6,1.53,3.18,48.1,1.53,0.24,31.3,112.2,61.9,3.06,0.82,0.12,1.88,2.00,45.9,31.8,69.2,11.3,Matches
610,Moanes Dabour\Moanes-Dabour,il ISR,FW,Sevilla,es La Liga,27,1992,0.3,93.3,0.00,3.33,13.3,76.7,20.0,90.0,0.00,0.00,,0.00,0.00,50.0,146.7,70.0,0.00,0.00,0.00,6.67,3.33,83.3,66.7,80.0,20.0,Matches
611,Colin Dagba\Colin-Dagba,fr FRA,DF,Paris S-G,fr Ligue 1,20,1998,7.4,63.1,2.57,18.1,27.4,22.4,2.16,55.8,1.22,1.76,69.2,1.22,0.00,44.9,245.4,137.3,6.49,2.30,0.41,0.54,1.35,47.4,43.6,92.0,3.11,Matches
