,,,,,,,,,Touches,,,,,,,Dribbles,,,,,Carries,,,,,,,,Receiving,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
1234,Samuel Kalu\Samuel-Kalu,ng NGA,FWMF,Bordeaux,fr Ligue 1,23-251,1997,10.7,49.5,0.37,6.54,22.6,24.1,4.49,48.1,3.46,6.36,54.4,3.64,0.00,37.4,164.9,99.5,6.36,1.40,1.12,3.74,3.08,47.6,35.7,75.0,6.26,Matches
1235,Pierre Kalulu\Pierre-Kalulu,fr FRA,DF,Milan,it Serie A,20-333,2000,8.1,71.1,8.15,33.6,33.3,9.38,0.86,66.4,0.37,0.37,100.0,0.37,0.00,42.3,291.5,156.0,5.68,1.85,0.25,0.25,0.37,48.0,46.0,95.9,0.62,Matches
1236,Daichi Kamada\Daichi-Kamada,jp JPN,MFFW,Eint Frankfurt,de Bundesliga,24-272,1996,23.8,50.9,1.22,6.60,24.2,22.9,4.03,47.5,1.51,2.73,55.4,1.68,0.04,31.1,151.5,81.4,4.62,1.18,0.97,2.14,1.81,49.0,34.1,69.5,9.16,Matches
1237,Aboubakar Kamara\Aboubakar-Kamara,mr MTN,FWDF,Fulham,eng Premier League,26-058,1995,3.5,50.6,0.57,4.86,23.7,26.6,1.43,49.1,1.14,2.29,50.0,1.14,0.29,36.3,157.7,95.4,5.43,1.71,0.00,3.71,2.57,48.6,36.6,75.3,5.14,Matches
1238,Aboubakar Kamara\Aboubakar-Kamara,mr MTN,FWMF,Dijon,fr Ligue 1,26-058,1995,4.7,39.1,0.43,2.34,19.4,20.2,3.40,37.9,2.34,3.62,64.7,2.34,0.00,29.4,144.5,73.4,4.04,1.28,0.43,2.55,3.83,52.1,30.0,57.6,6.17,Matches
1239,Bingourou Kamara\Bingourou-Kamara,sn SEN,GK,Strasbourg,fr Ligue 1,24-195,1996,8.0,33.1,29.1,33.1,0.00,0.00,0.00,24.1,0.00,0.00,,0.00,0.00,15.5,61.5,24.8,0.00,0.00,0.00,0.00,0.00,14.6,14.5,99.1,0.00,Matches
1240,Boubacar Kamara\Boubacar-Kamara,fr FRA,MF,Marseille,fr Ligue 1,21-162,1999,29.5,75.8,3.56,21.3,49.4,9.56,0.85,73.2,0.88,1.39,63.4,0.92,0.07,53.1,223.4,117.9,4.20,1.25,0.20,0.68,1.32,56.4,53.2,94.2,1.32,Matches
1241,Hassane Kamara\Hassane-Kamara,fr FRA,DF,Nice,fr Ligue 1,26-227,1994,29.9,70.0,3.11,23.0,32.0,20.3,1.57,62.2,1.07,1.87,57.1,1.20,0.13,44.9,245.2,146.1,6.25,2.07,0.43,1.20,1.14,51.4,45.9,89.4,3.04,Matches
1242,Marcin Kamiński\Marcin-Kaminski,pl POL,DF,Stuttgart,de Bundesliga,29-109,1992,2.3,96.1,7.83,37.0,62.2,6.96,0.43,93.5,0.00,0.00,,0.00,0.00,63.9,382.2,262.2,11.3,2.17,0.00,0.00,0.00,72.2,70.4,97.6,1.30,Matches
1243,Kevin Kampl\Kevin-Kampl,si SVN,MF,RB Leipzig,de Bundesliga,30-207,1990,19.7,74.6,1.47,12.2,51.4,16.0,0.51,72.9,0.86,1.07,81.0,0.91,0.00,55.0,273.4,114.0,4.92,2.13,0.10,0.46,1.07,57.1,53.7,94.0,1.42,Matches
1244,Harry Kane\Harry-Kane,eng ENG,FW,Tottenham,eng Premier League,27-280,1993,30.2,41.4,1.59,4.57,21.9,17.9,4.77,39.8,1.19,2.19,54.5,1.23,0.17,26.4,132.9,73.9,4.44,1.59,0.76,1.85,2.02,51.6,31.0,60.2,6.52,Matches
1245,Wilfried Kanga\Wilfried-Kanga,fr FRA,FW,Angers,fr Ligue 1,23-072,1998,1.5,18.7,1.33,1.33,8.67,9.33,4.00,16.0,0.00,0.00,,0.00,0.00,10.0,50.7,26.7,1.33,0.67,0.67,2.00,1.33,26.7,11.3,42.5,5.33,Matches
1246,Lee Kangin\Lee-Kangin,kr KOR,FWMF,Valencia,es La Liga,20-074,2001,11.5,50.3,0.35,4.35,28.3,22.1,1.65,45.1,2.43,2.96,82.4,2.52,0.17,37.3,221.8,103.7,6.52,2.35,0.52,1.74,2.09,49.3,37.3,75.7,3.57,Matches
1247,N'Golo Kanté\NGolo-Kante,fr FRA,MF,Chelsea,eng Premier League,30-036,1991,22.8,76.1,2.81,20.4,45.2,15.5,0.61,75.3,1.27,1.71,74.4,1.27,0.04,47.6,226.2,124.1,4.56,1.49,0.09,1.05,1.14,54.3,51.0,93.9,1.71,Matches
1248,Yann Karamoh\Yann-Karamoh,fr FRA,FWMF,Parma,it Serie A,22-300,1998,14.4,37.6,0.97,5.90,18.3,18.0,3.40,37.3,2.57,3.82,67.3,2.71,0.14,30.4,175.7,114.7,5.21,2.01,0.97,2.43,1.94,40.5,27.3,67.4,7.43,Matches
1249,Isaac Karamoko\Isaac-Karamoko,fr FRA,DF,Sassuolo,it Serie A,18-343,2002,0.0,3,0,0,1,2,1,3,0,0,,0,0,2,0,0,0,0,0,0,1,2,2,100.0,0,Matches
1250,Atakan Karazor\Atakan-Karazor,de GER,DFMF,Stuttgart,de Bundesliga,24-203,1996,9.0,71.4,12.2,40.6,30.9,3.67,0.33,67.7,0.56,0.67,83.3,0.56,0.00,43.1,170.1,74.9,1.44,0.78,0.00,0.33,0.44,44.7,42.7,95.5,0.33,Matches
1251,Augustus Kargbo\Augustus-Kargbo,sl SLE,FW,Crotone,it Serie A,21-253,1999,0.4,42.5,0.00,2.50,15.0,25.0,0.00,42.5,0.00,2.50,0.0,0.00,0.00,30.0,25.0,0.00,0.00,0.00,0.00,7.50,7.50,47.5,35.0,73.7,20.0,Matches
1252,Loris Karius\Loris-Karius,de GER,GK,Union Berlin,de Bundesliga,27-316,1993,3.2,31.3,28.4,31.3,0.00,0.00,0.00,22.2,0.00,0.00,,0.00,0.00,13.4,79.1,43.8,0.00,0.00,0.00,0.00,0.00,15.0,14.7,97.9,0.00,Matches
1253,Rick Karsdorp\Rick-Karsdorp,nl NED,DF,Roma,it Serie A,26-082,1995,24.3,52.8,2.43,14.4,24.6,16.4,1.69,46.2,0.58,0.82,70.0,0.62,0.08,33.1,156.6,67.1,3.13,0.86,0.29,0.70,0.49,38.6,33.3,86.3,2.88,Matches
1254,Noah Katterbach\Noah-Katterbach,de GER,DF,Köln,de Bundesliga,20-021,2001,11.3,63.6,2.04,21.2,28.1,18.7,0.35,54.7,1.86,2.83,65.6,2.04,0.00,41.6,195.6,119.6,5.49,1.42,0.00,1.06,1.50,44.2,38.8,87.8,1.06,Matches
1255,Eiji Kawashima\Eiji-Kawashima,jp JPN,GK,Strasbourg,fr Ligue 1,38-045,1983,22.0,32.3,28.8,32.2,0.09,0.05,0.05,21.7,0.05,0.05,100.0,0.05,0.00,14.1,76.3,36.7,0.00,0.00,0.00,0.05,0.00,13.3,13.1,98.6,0.00,Matches
1256,Moise Kean\Moise-Kean,it ITA,FW,Everton,eng Premier League,21-065,2000,0.2,70.0,0.00,5.00,30.0,40.0,20.0,70.0,0.00,15.0,0.0,0.00,0.00,55.0,420.0,280.0,10.0,5.00,5.00,5.00,0.00,65.0,60.0,92.3,30.0,Matches
1257,Moise Kean\Moise-Kean,it ITA,FW,Paris S-G,fr Ligue 1,21-065,2000,17.7,27.2,0.51,2.49,11.5,15.1,4.92,25.9,1.47,2.82,52.0,1.69,0.28,17.9,90.8,54.1,2.94,0.96,0.79,1.69,2.03,35.4,19.7,55.5,5.99,Matches
1258,Michael Keane\Michael-Keane,eng ENG,DF,Everton,eng Premier League,28-113,1993,28.2,68.2,11.6,40.4,30.2,1.99,1.06,66.8,0.14,0.25,57.1,0.18,0.00,40.6,236.3,137.7,2.62,0.21,0.04,0.11,0.25,48.5,47.5,97.9,0.07,Matches
1259,Neeskens Kebano\Neeskens-Kebano,cd COD,FWMF,Fulham,eng Premier League,29-055,1992,1.3,51.5,0.77,5.38,16.9,33.1,3.08,50.0,2.31,4.62,50.0,2.31,0.00,36.2,222.3,116.2,5.38,2.31,0.77,3.08,3.08,49.2,37.7,76.6,8.46,Matches
1260,Thilo Kehrer\Thilo-Kehrer,de GER,DF,Paris S-G,fr Ligue 1,24-225,1996,17.0,77.8,6.00,28.7,45.5,7.76,0.71,74.5,0.24,0.41,57.1,0.24,0.00,55.1,236.6,116.1,3.47,0.76,0.00,0.29,0.18,59.1,56.7,95.9,0.71,Matches
1261,Naby Keïta\Naby-Keita,gn GUI,MF,Liverpool,eng Premier League,26-083,1995,5.8,73.4,1.03,8.62,47.9,22.8,3.10,71.6,2.07,2.59,80.0,2.24,0.00,51.9,250.3,144.3,8.62,2.93,0.34,1.72,2.07,60.7,54.5,89.8,4.31,Matches
1262,Yannik Keitel\Yannik-Keitel,de GER,MF,Freiburg,de Bundesliga,21-078,2000,3.9,46.4,3.59,13.8,22.3,11.0,1.03,44.9,0.77,0.77,100.0,0.77,0.00,23.1,88.2,34.6,1.28,0.26,0.00,1.03,1.03,25.1,22.1,87.8,3.08,Matches
1263,Caoimhín Kelleher\Caoimhin-Kelleher,ie IRL,GK,Liverpool,eng Premier League,22-162,1998,2.0,34.0,28.5,34.0,0.00,0.00,0.00,25.5,0.00,0.00,,0.00,0.00,14.0,49.0,13.5,0.00,0.00,0.00,0.00,0.00,16.5,16.5,100.0,0.00,Matches
1264,Stephane Keller\Stephane-Keller,cm CMR,DF,Alavés,es La Liga,19-257,2001,0.2,70.0,0.00,35.0,30.0,5.00,0.00,70.0,0.00,0.00,,0.00,0.00,55.0,235.0,115.0,5.00,0.00,0.00,0.00,0.00,50.0,50.0,100.0,0.00,Matches
1265,Marc-Oliver Kempf\Marc-Oliver-Kempf,de GER,DF,Stuttgart,de Bundesliga,26-096,1995,27.4,69.9,8.07,31.2,39.0,4.93,0.66,65.4,0.73,1.13,64.5,0.77,0.00,43.1,252.6,151.5,4.67,1.09,0.00,0.40,0.26,44.9,43.7,97.4,0.29,Matches
1266,Kenedy\Kenedy,br BRA,FWMF,Granada,es La Liga,25-085,1996,16.3,35.6,0.98,6.87,14.4,17.4,1.90,32.5,2.27,4.29,52.9,2.27,0.31,23.3,117.9,65.0,2.88,0.92,0.43,2.52,2.33,30.8,19.1,62.2,3.19,Matches
1267,Jonjoe Kenny\Jonjoe-Kenny,eng ENG,DF,Everton,eng Premier League,24-050,1997,0.9,77.8,3.33,17.8,23.3,40.0,4.44,63.3,0.00,1.11,0.0,0.00,0.00,38.9,166.7,70.0,2.22,1.11,0.00,1.11,0.00,54.4,46.7,85.7,2.22,Matches
1268,Franck Kessié\Franck-Kessie,ci CIV,MF,Milan,it Serie A,24-136,1996,31.8,67.5,3.21,17.5,41.3,13.7,2.74,66.1,1.23,1.51,81.3,1.26,0.00,46.6,264.2,122.6,4.62,1.38,0.13,1.23,1.10,52.6,48.1,91.4,2.33,Matches
1269,Reda Khadra\Reda-Khadra,de GER,FW,Brighton,eng Premier League,19-304,2001,0.1,10.0,0.00,0.00,0.00,10.0,10.0,10.0,0.00,0.00,,0.00,0.00,10.0,390.0,360.0,10.0,0.00,10.0,0.00,0.00,50.0,10.0,20.0,10.0,Matches
1270,Omar Khailoti\Omar-Khailoti,it ITA,DF,Bologna,it Serie A,19-241,2001,0.3,76.7,10.0,23.3,36.7,20.0,0.00,76.7,0.00,0.00,,0.00,0.00,56.7,326.7,186.7,13.3,3.33,0.00,0.00,0.00,73.3,60.0,81.8,0.00,Matches
1271,Saîf-Eddine Khaoui\Saif-Eddine-Khaoui,tn TUN,FWMF,Marseille,fr Ligue 1,26-007,1995,6.7,51.6,0.60,12.1,24.2,18.2,2.24,47.0,1.34,1.94,69.2,1.49,0.30,31.8,119.0,61.2,3.13,1.19,0.00,2.24,1.64,39.0,28.5,73.2,4.18,Matches
1272,Wahbi Khazri\Wahbi-Khazri,tn TUN,FW,Saint-Étienne,fr Ligue 1,30-085,1991,10.7,42.8,1.12,5.05,25.4,16.3,2.90,40.2,2.15,4.67,46.0,2.43,0.09,31.6,161.8,100.7,5.05,1.68,0.47,2.24,2.80,45.9,30.0,65.4,4.86,Matches
1273,Rani Khedira\Rani-Khedira,de GER,MF,Augsburg,de Bundesliga,27-097,1994,18.2,42.9,3.30,16.3,22.5,5.66,0.77,41.8,0.05,0.11,50.0,0.05,0.00,22.4,89.7,31.6,0.93,0.27,0.05,0.66,0.55,29.0,24.4,84.1,0.88,Matches
1274,Sami Khedira\Sami-Khedira,de GER,MF,Hertha BSC,de Bundesliga,34-030,1987,3.0,61.3,2.33,20.7,33.7,9.33,1.33,58.7,0.33,0.33,100.0,0.33,0.00,35.7,129.0,56.7,2.33,0.00,0.00,0.67,0.67,41.0,38.3,93.5,2.67,Matches
1275,Kike\Kike,es ESP,FW,Eibar,es La Liga,31-160,1989,30.3,40.5,0.83,2.15,18.6,21.8,5.02,39.1,1.22,2.05,59.7,1.29,0.13,24.8,109.8,37.5,2.28,0.83,0.36,4.29,1.58,61.2,31.2,51.0,8.45,Matches
1276,Luca Kilian\Luca-Kilian,de GER,DF,Mainz 05,de Bundesliga,21-245,1999,4.2,62.4,7.14,38.1,27.1,1.43,0.48,60.7,0.00,0.00,,0.00,0.00,38.8,216.7,93.8,0.71,0.00,0.00,0.24,0.24,40.7,40.2,98.8,0.24,Matches
1277,Max Kilman\Max-Kilman,eng ENG,DF,Wolves,eng Premier League,23-346,1997,12.6,58.1,5.48,27.6,31.4,2.86,0.79,56.6,0.24,0.32,75.0,0.24,0.00,36.7,195.4,106.7,2.46,0.48,0.00,0.24,0.24,41.4,40.5,97.7,0.16,Matches
1278,Joshua Kimmich\Joshua-Kimmich,de GER,MF,Bayern Munich,de Bundesliga,26-085,1995,21.4,97.7,3.18,20.1,55.6,30.7,1.54,87.6,0.89,1.40,63.3,0.93,0.05,64.5,414.5,195.7,7.29,2.20,0.23,0.98,1.17,71.7,67.6,94.3,2.62,Matches
1279,Presnel Kimpembe\Presnel-Kimpembe,fr FRA,DF,Paris S-G,fr Ligue 1,25-264,1995,23.6,85.3,8.77,35.9,51.3,2.46,0.55,83.6,0.30,0.47,63.6,0.30,0.00,62.2,293.2,160.9,3.98,0.76,0.00,0.30,0.21,66.2,65.5,98.8,0.08,Matches
1280,Joshua King\Joshua-King,no NOR,MFFW,Everton,eng Premier League,29-109,1992,1.6,46.9,0.00,6.25,21.9,24.4,3.13,46.9,2.50,3.75,66.7,3.13,0.00,35.6,213.1,140.0,8.13,3.13,0.63,3.13,6.88,56.9,35.0,61.5,11.9,Matches
1281,Giorgos Kiriakopoulos\Giorgos-Kiriakopoulos,gr GRE,DF,Sassuolo,it Serie A,25-088,1996,14.7,74.1,4.15,24.2,33.5,22.2,1.56,66.7,1.84,2.79,65.9,1.97,0.07,50.6,270.1,152.7,7.21,2.52,0.41,1.16,1.29,53.5,49.7,92.9,2.99,Matches
1282,Simon Kjær\Simon-Kjaer,dk DEN,DF,Milan,it Serie A,32-039,1989,22.6,67.0,10.9,37.4,31.4,1.64,0.84,64.2,0.00,0.00,,0.00,0.00,39.0,187.6,100.9,1.42,0.04,0.00,0.22,0.04,44.7,44.0,98.5,0.04,Matches
1283,Davy Klaassen\Davy-Klaassen,nl NED,MF,Werder Bremen,de Bundesliga,28-072,1993,2.5,36.8,1.60,5.60,21.2,11.6,0.80,36.0,0.40,1.20,33.3,0.40,0.00,16.4,55.6,22.4,2.00,0.40,0.00,2.00,0.80,20.4,17.2,84.3,4.00,Matches
1284,Felix Klaus\Felix-Klaus,de GER,DFMF,Wolfsburg,de Bundesliga,28-233,1992,1.5,62.0,3.33,15.3,28.7,23.3,0.67,55.3,0.67,1.33,50.0,0.67,0.00,31.3,167.3,109.3,4.67,2.67,0.67,1.33,0.67,44.7,35.3,79.1,2.67,Matches
1285,Klauss\Klauss,br BRA,FW,Hoffenheim,de Bundesliga,24-064,1997,0.6,48.3,0.00,1.67,18.3,31.7,3.33,46.7,1.67,1.67,100.0,1.67,0.00,38.3,171.7,105.0,1.67,1.67,0.00,1.67,5.00,56.7,36.7,64.7,6.67,Matches
1286,Ragnar Klavan\Ragnar-Klavan,ee EST,DF,Cagliari,it Serie A,35-186,1985,7.5,53.7,9.20,30.5,23.6,2.93,0.80,51.5,0.00,0.00,,0.00,0.00,27.5,188.4,93.1,2.53,1.07,0.00,0.13,0.13,32.1,31.9,99.2,0.00,Matches
1287,Philipp Klement\Philipp-Klement,de GER,MFFW,Stuttgart,de Bundesliga,28-237,1992,3.1,84.5,2.26,16.8,41.0,31.3,0.97,69.4,0.65,1.61,40.0,0.65,0.00,51.0,337.7,142.3,7.10,0.97,0.00,0.97,2.58,60.6,51.6,85.1,5.16,Matches
1288,Mateusz Klich\Mateusz-Klich,pl POL,MF,Leeds United,eng Premier League,30-325,1990,24.8,65.8,1.25,10.5,33.8,26.0,2.66,63.3,0.48,0.93,52.2,0.60,0.12,40.7,223.7,111.5,5.52,2.50,0.16,1.09,1.05,57.4,48.0,83.6,7.30,Matches
1289,Mateo Klimowicz\Mateo-Klimowicz,de GER,FWMF,Stuttgart,de Bundesliga,20-302,2000,13.3,38.0,0.38,5.04,18.5,17.8,3.53,37.1,1.80,3.31,54.5,2.03,0.38,27.0,153.5,92.3,5.04,1.95,0.98,2.11,2.11,37.8,27.5,72.8,6.09,Matches
1290,Fabian Klos\Fabian-Klos,de GER,FW,Arminia,de Bundesliga,33-153,1987,27.2,37.0,1.14,3.16,18.3,17.1,4.08,35.7,0.37,0.99,37.0,0.40,0.00,17.2,79.9,36.7,1.88,0.63,0.15,2.57,1.58,50.5,27.3,54.1,5.33,Matches
1291,Lukas Klostermann\Lukas-Klostermann,de GER,DF,RB Leipzig,de Bundesliga,24-336,1996,13.2,84.5,5.68,27.5,50.6,10.8,1.67,80.2,0.08,0.45,16.7,0.15,0.00,57.7,283.3,152.1,6.44,0.68,0.15,0.23,0.30,62.2,60.1,96.6,0.68,Matches
1292,Justin Kluivert\Justin-Kluivert,nl NED,FWMF,Roma,it Serie A,21-364,1999,0.2,70.0,0.00,15.0,30.0,45.0,0.00,65.0,0.00,0.00,,0.00,0.00,40.0,470.0,345.0,20.0,15.0,0.00,5.00,5.00,60.0,35.0,58.3,10.0,Matches
1293,Justin Kluivert\Justin-Kluivert,nl NED,FWMF,RB Leipzig,de Bundesliga,21-364,1999,7.2,41.0,0.28,2.92,15.0,25.4,7.36,40.1,2.64,4.31,61.3,2.92,0.28,33.2,168.6,103.5,7.22,0.83,2.08,2.64,2.36,49.0,30.6,62.3,9.03,Matches
1294,Lukas Klünter\Lukas-Klunter,de GER,DF,Hertha BSC,de Bundesliga,24-343,1996,9.0,55.1,3.44,27.3,26.9,5.22,0.22,51.9,0.22,0.56,40.0,0.22,0.00,36.7,191.6,91.9,3.78,1.11,0.00,0.33,0.33,34.2,33.7,98.4,0.44,Matches
1295,Ansgar Knauff\Ansgar-Knauff,de GER,MFFW,Dortmund,de Bundesliga,19-114,2002,0.7,51.4,1.43,10.0,22.9,24.3,5.71,50.0,8.57,12.9,66.7,8.57,0.00,45.7,260.0,201.4,10.0,2.86,0.00,1.43,1.43,47.1,35.7,75.8,4.29,Matches
1296,Robin Knoche\Robin-Knoche,de GER,DF,Union Berlin,de Bundesliga,28-347,1992,30.8,71.1,8.67,42.7,32.0,1.88,0.68,69.0,0.16,0.26,62.5,0.16,0.00,43.3,271.3,142.0,2.11,0.26,0.00,0.26,0.32,46.0,45.0,97.8,0.00,Matches
1297,Gregor Kobel\Gregor-Kobel,ch SUI,GK,Stuttgart,de Bundesliga,23-149,1997,31.0,39.8,34.8,39.7,0.13,0.00,0.00,29.8,0.03,0.03,100.0,0.03,0.00,20.2,92.5,34.9,0.00,0.00,0.00,0.00,0.00,18.5,18.5,99.7,0.00,Matches
1298,Robin Koch\Robin-Koch,de GER,DF,Leeds United,eng Premier League,24-291,1996,11.6,72.2,13.1,42.1,30.5,3.62,0.78,70.8,0.09,0.09,100.0,0.09,0.00,45.3,257.1,165.9,2.76,0.52,0.00,0.00,0.43,49.2,48.4,98.2,0.60,Matches
1299,Giorgi Kochorashvili\Giorgi-Kochorashvili,ge GEO,MF,Levante,es La Liga,21-309,1999,0.0,3,0,0,0,3,0,3,0,0,,0,0,2,6,0,0,0,0,0,0,5,3,60.0,0,Matches
1300,Kenan Kodro\Kenan-Kodro,ba BIH,FWMF,Valladolid,es La Liga,27-258,1993,4.3,31.9,1.16,2.56,17.9,12.3,3.26,30.7,0.70,2.09,33.3,0.93,0.00,19.3,83.3,25.6,2.09,0.23,0.47,1.16,1.86,55.6,24.4,43.9,4.19,Matches
1301,Kenan Kodro\Kenan-Kodro,ba BIH,FWMF,Athletic Club,es La Liga,27-258,1993,0.5,24.0,0.00,2.00,8.00,14.0,2.00,24.0,0.00,2.00,0.0,0.00,0.00,16.0,88.0,60.0,2.00,0.00,0.00,2.00,0.00,36.0,24.0,66.7,10.0,Matches
1302,Dominik Kohr\Dominik-Kohr,de GER,MF,Mainz 05,de Bundesliga,27-093,1994,12.0,53.3,2.67,12.8,30.6,12.5,1.58,52.9,0.17,0.42,40.0,0.17,0.00,25.6,120.7,65.8,2.83,0.92,0.25,0.75,0.83,31.8,28.0,88.2,2.25,Matches
1303,Dominik Kohr\Dominik-Kohr,de GER,MFFW,Eint Frankfurt,de Bundesliga,27-093,1994,2.9,77.6,2.76,13.1,44.8,24.1,2.76,75.5,1.03,1.03,100.0,1.03,0.00,41.4,176.9,91.7,3.45,1.72,0.34,1.38,1.38,55.9,47.6,85.2,5.86,Matches
1304,Koba Koindredi\Koba-Koindredi,fr FRA,MF,Valencia,es La Liga,19-189,2001,0.2,75.0,0.00,15.0,65.0,0.00,0.00,70.0,0.00,0.00,,0.00,0.00,45.0,375.0,205.0,10.0,0.00,0.00,0.00,0.00,50.0,50.0,100.0,0.00,Matches
1305,Koke\Koke,es ESP,MF,Atlético Madrid,es La Liga,29-116,1992,29.6,81.3,2.06,16.3,51.1,17.3,1.05,78.2,0.84,1.15,73.5,0.95,0.03,55.9,209.9,101.3,4.83,0.88,0.14,0.84,0.78,65.3,60.9,93.4,1.86,Matches
1306,Aleksandr Kokorin\Aleksandr-Kokorin,ru RUS,FWMF,Fiorentina,it Serie A,30-046,1991,0.9,32.2,0.00,3.33,15.6,15.6,1.11,30.0,0.00,0.00,,0.00,0.00,16.7,66.7,44.4,2.22,2.22,0.00,2.22,0.00,40.0,23.3,58.3,10.0,Matches
1307,Aleksandar Kolarov\Aleksandar-Kolarov,rs SRB,DF,Inter,it Serie A,35-175,1985,4.3,94.7,9.30,31.6,55.6,18.8,0.23,86.3,0.00,0.70,0.0,0.00,0.00,64.7,523.5,387.4,14.0,4.42,0.00,0.70,0.00,67.9,66.3,97.6,1.40,Matches
1308,Sead Kolašinac\Sead-Kolasinac,ba BIH,DF,Arsenal,eng Premier League,27-318,1993,1.0,66.0,1.00,14.0,36.0,18.0,1.00,62.0,0.00,0.00,,0.00,0.00,51.0,170.0,113.0,5.00,1.00,0.00,1.00,0.00,52.0,50.0,96.2,6.00,Matches
1309,Sead Kolašinac\Sead-Kolasinac,ba BIH,DFMF,Schalke 04,de Bundesliga,27-318,1993,13.8,56.4,3.55,20.1,27.2,12.8,2.17,50.3,1.09,1.81,60.0,1.23,0.00,34.1,166.4,106.7,3.77,1.23,0.65,1.23,0.51,39.1,34.6,88.7,2.46,Matches
1310,Randal Kolo Muani\Randal-Kolo-Muani,fr FRA,FW,Nantes,fr Ligue 1,22-150,1998,30.7,32.9,1.01,2.96,15.4,16.5,5.08,31.7,1.63,3.26,50.0,1.76,0.10,22.2,107.4,73.5,4.01,0.68,1.24,2.93,2.77,45.2,22.9,50.6,7.59,Matches
1311,Timothée Kolodziejczak\Timothee-Kolodziejczak,fr FRA,DF,Saint-Étienne,fr Ligue 1,29-215,1991,19.9,69.9,8.14,38.4,31.8,3.67,0.70,65.5,0.10,0.10,100.0,0.10,0.00,38.8,235.0,134.7,2.36,0.25,0.00,0.30,0.20,45.6,44.3,97.1,0.20,Matches
1312,Ghislain Konan\Ghislain-Konan,ci CIV,DF,Reims,fr Ligue 1,25-128,1995,26.0,61.1,4.46,21.1,31.1,15.0,0.69,51.5,1.73,2.46,70.3,1.77,0.00,37.5,230.5,154.8,6.42,2.73,0.31,1.12,1.08,37.8,34.2,90.2,1.69,Matches
1313,Ibrahima Konaté\Ibrahima-Konate,fr FRA,DF,RB Leipzig,de Bundesliga,21-344,1999,7.0,81.0,8.86,38.0,46.3,4.14,1.29,79.3,0.71,0.86,83.3,0.86,0.00,60.4,388.9,218.1,3.86,0.86,0.00,0.71,0.71,61.7,60.6,98.1,0.43,Matches
1314,Moussa Konaté\Moussa-Konate,sn SEN,FW,Dijon,fr Ligue 1,28-031,1993,11.2,32.9,0.63,2.59,18.8,12.9,3.93,30.4,0.36,0.71,50.0,0.45,0.00,18.9,71.2,23.3,1.25,0.36,0.18,2.59,1.16,50.5,23.5,46.5,6.79,Matches
1315,Geoffrey Kondogbia\Geoffrey-Kondogbia,cf CTA,MF,Atlético Madrid,es La Liga,28-078,1993,6.2,71.0,3.39,19.0,49.0,7.10,0.48,70.6,1.13,1.77,63.6,1.13,0.00,50.3,246.1,135.6,5.00,1.29,0.16,0.48,0.32,49.7,46.8,94.2,1.13,Matches
1316,Geoffrey Kondogbia\Geoffrey-Kondogbia,cf CTA,MF,Valencia,es La Liga,28-078,1993,4.9,48.6,3.06,15.9,31.8,4.29,0.00,46.7,1.22,1.84,66.7,1.22,0.00,32.0,184.9,87.1,2.24,0.41,0.00,0.00,0.61,31.2,29.8,95.4,0.61,Matches
1317,Lamine Koné\Lamine-Kone,ci CIV,DF,Strasbourg,fr Ligue 1,32-092,1989,10.6,51.1,6.04,30.7,23.4,1.98,0.75,49.2,0.00,0.19,0.0,0.00,0.00,28.4,223.5,121.1,2.64,0.47,0.00,0.28,0.19,32.0,31.4,98.2,0.09,Matches
1318,Moussa Koné\Moussa-Kone,sn SEN,FW,Nîmes,fr Ligue 1,24-125,1996,17.0,27.1,0.53,1.82,15.9,11.0,3.71,24.8,1.88,2.82,66.7,2.00,0.12,18.4,71.8,34.4,1.65,0.65,0.59,3.24,1.71,42.6,17.8,41.7,5.94,Matches
1319,Youssouf Koné\Youssouf-Kone,ml MLI,DFFW,Elche,es La Liga,25-303,1995,0.8,48.8,1.25,23.8,7.50,17.5,2.50,35.0,3.75,5.00,75.0,3.75,0.00,30.0,68.8,23.8,0.00,0.00,0.00,3.75,1.25,33.8,23.8,70.4,7.50,Matches
1320,Terence Kongolo\Terence-Kongolo,nl NED,DF,Fulham,eng Premier League,27-079,1994,1.0,51.0,4.00,28.0,24.0,2.00,1.00,51.0,0.00,0.00,,0.00,0.00,25.0,82.0,32.0,1.00,0.00,0.00,0.00,0.00,33.0,31.0,93.9,0.00,Matches
1321,Ezri Konsa\Ezri-Konsa,eng ENG,DF,Aston Villa,eng Premier League,23-193,1997,30.5,45.3,8.95,26.5,18.5,1.84,0.89,44.4,0.16,0.30,55.6,0.16,0.00,25.7,100.9,39.6,0.59,0.10,0.00,0.16,0.13,27.7,26.5,95.7,0.20,Matches
1322,Laurent Koscielny\Laurent-Koscielny,fr FRA,DF,Bordeaux,fr Ligue 1,35-236,1985,23.6,64.6,10.0,39.4,28.6,1.27,0.51,63.3,0.08,0.08,100.0,0.08,0.00,42.2,264.5,137.8,2.03,0.21,0.00,0.04,0.04,43.2,42.2,97.6,0.17,Matches
