,,,,,,,,,Touches,,,,,,,Dribbles,,,,,Carries,,,,,,,,Receiving,,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
32,Ruben Aguilar\Ruben-Aguilar,fr FRA,DFFW,Monaco,fr Ligue 1,28-008,1993,23.6,77.0,2.16,16.4,37.8,27.2,2.54,68.3,0.89,1.69,52.5,0.97,0.08,46.6,225.6,135.8,6.61,2.03,0.17,1.23,1.06,57.2,48.3,84.4,5.00,Matches
33,Naouirou Ahamada\Naouirou-Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,19-036,2002,2.4,58.3,1.67,15.4,37.1,11.7,1.67,58.3,3.75,4.58,81.8,4.17,0.00,48.3,295.8,137.9,5.83,1.25,0.42,1.25,3.75,46.7,43.8,93.8,2.08,Matches
34,Matteo Ahlinvi\Matteo-Ahlinvi,bj BEN,MF,Nîmes,fr Ligue 1,21-306,1999,9.1,45.8,1.43,11.6,29.7,9.34,1.43,45.2,1.76,2.31,76.2,1.87,0.00,34.4,215.8,129.0,4.29,1.10,0.22,2.09,1.87,37.1,31.3,84.3,2.31,Matches
35,Cheikh Ahmadou Dieng\Cheikh-Ahmadou-Dieng,sn SEN,FW,Marseille,fr Ligue 1,21-042,2000,1.3,16.9,0.00,2.31,13.8,2.31,1.54,15.4,0.00,0.00,,0.00,0.00,10.0,43.1,30.8,0.77,0.00,0.00,0.77,1.54,40.0,9.23,23.1,2.31,Matches
36,Jean-Eudes Aholou\Jean-Eudes-Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,27-045,1994,22.1,46.6,2.26,10.8,29.8,8.82,1.18,46.1,0.95,1.54,61.8,1.18,0.05,29.5,128.1,65.6,2.62,1.13,0.09,1.13,1.04,32.0,28.0,87.3,1.18,Matches
37,Jean-Eudes Aholou\Jean-Eudes-Aholou,ci CIV,MF,Monaco,fr Ligue 1,27-045,1994,0.4,42.5,2.50,22.5,15.0,7.50,5.00,42.5,0.00,0.00,,0.00,0.00,15.0,67.5,30.0,2.50,0.00,0.00,2.50,0.00,30.0,25.0,83.3,5.00,Matches
38,Joseph Aidoo\Joseph-Aidoo,gh GHA,DF,Celta Vigo,es La Liga,25-217,1995,13.1,56.3,8.55,34.7,22.7,1.37,0.69,55.2,0.38,0.46,83.3,0.46,0.08,32.9,191.1,99.4,2.44,0.23,0.08,0.31,0.38,32.1,31.8,99.0,0.08,Matches
39,Ola Aina\Ola-Aina,ng NGA,DF,Fulham,eng Premier League,24-208,1996,28.9,69.2,3.94,26.9,34.0,12.2,0.73,60.1,0.69,1.14,60.6,0.73,0.07,39.3,204.9,113.0,3.84,1.21,0.17,0.62,0.48,43.8,41.8,95.4,0.87,Matches
40,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Wolves,eng Premier League,19-332,2001,12.7,60.6,2.76,17.2,28.6,18.2,1.50,52.9,1.97,3.39,58.1,1.97,0.16,39.1,184.6,117.2,5.98,1.65,0.79,1.26,1.18,40.7,37.7,92.6,1.73,Matches
41,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Angers,fr Ligue 1,19-332,2001,2.1,82.4,0.95,18.6,48.1,22.9,2.38,72.9,3.81,4.76,80.0,4.29,0.00,63.3,255.7,174.8,9.05,2.86,0.48,1.90,1.90,65.2,61.0,93.4,3.33,Matches
