,,,,,,,,,Goals,,,,,Expected,,,,Launched,,,Passes,,,,Goal Kicks,,,Crosses,,,Sweeper,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
29,Sébastien Cibois\Sebastien-Cibois,fr FRA,GK,Brest,fr Ligue 1,23-064,1998,3.0,1.33,0.33,0.00,0.00,0.00,1.67,0.45,0.33,+0.34,4.67,12.3,37.8,22.7,4.33,41.2,38.5,7.33,40.9,39.8,9.33,1.00,10.7,0.67,0.67,4.73,Matches
30,Alberto Cifuentes\Alberto-Cifuentes,es ESP,GK,Cádiz,es La Liga,41-341,1979,2.0,1.50,0.00,0.00,0.00,0.00,0.90,0.29,-0.60,-0.62,12.5,31.5,39.7,26.5,1.50,92.5,59.7,8.00,87.5,61.1,8.50,0.50,5.9,1.00,1.00,7.15,Matches
31,Jasper Cillessen\Jasper-Cillessen,nl NED,GK,Valencia,es La Liga,32-013,1989,6.0,1.50,0.17,0.17,0.00,0.00,1.45,0.32,-0.05,-0.04,7.00,17.8,39.3,21.5,4.00,59.7,44.0,8.67,57.7,47.4,8.67,0.67,7.7,1.17,1.17,2.32,Matches
32,Simone Colombi\Simone-Colombi,it ITA,GK,Parma,it Serie A,29-308,1991,2.0,3.50,0.50,0.00,1.50,0.00,2.45,0.46,-1.05,-1.07,8.00,15.0,53.3,19.5,3.00,56.4,40.9,5.50,72.7,50.5,6.50,0.50,7.7,0.50,0.50,6.50,Matches
33,Andrea Consigli\Andrea-Consigli,it ITA,GK,Sassuolo,it Serie A,34-098,1987,33.0,1.55,0.12,0.00,0.12,0.03,1.61,0.31,0.09,+0.09,5.12,11.3,45.4,30.6,4.27,31.6,31.0,6.09,26.4,26.1,8.64,0.79,9.1,0.73,0.73,0.48,Matches
34,Alex Cordaz\Alex-Cordaz,it ITA,GK,Crotone,it Serie A,38-124,1983,34.0,2.50,0.15,0.06,0.29,0.03,2.16,0.36,-0.31,-0.32,6.76,16.4,41.4,31.8,4.32,41.1,34.9,8.56,38.5,32.8,8.79,0.50,5.7,0.88,0.88,0.45,Matches
35,Angelo da Costa Júnior\Angelo-da-Costa-Junior,br BRA,GK,Bologna,it Serie A,37-174,1983,6.0,1.50,0.17,0.17,0.00,0.00,1.57,0.36,0.07,+0.07,5.83,11.7,50.0,40.8,3.83,24.5,30.3,7.00,23.8,24.4,8.00,0.00,0.0,1.17,1.17,2.67,Matches
36,Benoît Costil\Benoit-Costil,fr FRA,GK,Bordeaux,fr Ligue 1,33-306,1987,35.0,1.51,0.17,0.06,0.17,0.03,1.26,0.28,-0.20,-0.20,8.14,17.8,45.7,27.8,4.03,46.3,38.7,7.54,65.5,49.0,8.43,0.51,6.1,0.54,0.54,0.40,Matches
37,Thibaut Courtois\Thibaut-Courtois,be BEL,GK,Real Madrid,es La Liga,28-359,1992,34.0,0.71,0.18,0.00,0.09,0.03,0.82,0.22,0.14,+0.14,3.56,9.44,37.7,28.3,6.18,24.5,32.4,6.24,40.6,39.9,7.85,0.68,8.6,0.62,0.62,0.44,Matches
38,Alessio Cragno\Alessio-Cragno,it ITA,GK,Cagliari,it Serie A,26-311,1994,30.0,1.70,0.17,0.03,0.23,0.00,1.74,0.30,0.04,+0.04,6.03,14.3,42.1,20.7,3.97,45.8,36.8,8.33,58.0,42.1,9.37,0.93,10.0,0.50,0.50,0.44,Matches
39,Finn Dahmen\Finn-Dahmen,de GER,GK,Mainz 05,de Bundesliga,23-039,1998,1.0,5.00,1.00,0.00,1.00,0.00,5.50,0.43,0.50,+0.50,0.00,5.00,0.0,18.0,8.00,27.8,32.3,5.00,0.0,16.0,16.0,1.00,6.3,0.00,0.00,8.40,Matches
40,Karl Darlow\Karl-Darlow,eng ENG,GK,Newcastle Utd,eng Premier League,30-209,1990,25.0,1.72,0.12,0.04,0.16,0.08,1.48,0.28,-0.16,-0.16,7.36,21.3,34.6,20.2,3.52,68.4,50.5,8.80,84.5,60.2,9.56,0.88,9.2,0.24,0.24,0.49,Matches
41,Yehvann Diouf\Yehvann-Diouf,fr FRA,GK,Reims,fr Ligue 1,21-170,1999,1.5,0.67,0.67,0.00,0.00,0.00,0.67,0.03,0.00,+0.01,3.33,10.7,31.3,26.7,8.67,27.5,32.2,8.00,41.7,39.0,7.33,0.00,0.0,0.67,0.67,10.2,Matches
42,Marko Dmitrović\Marko-Dmitrovic,rs SRB,GK,Eibar,es La Liga,29-101,1992,31.7,1.39,0.09,0.00,0.16,0.00,1.37,0.34,-0.02,-0.02,8.74,23.1,37.9,24.6,2.78,68.4,54.6,6.88,90.8,72.8,7.48,0.60,8.0,1.17,1.17,0.54,Matches
43,Jaume Doménech\Jaume-Domenech,es ESP,GK,Valencia,es La Liga,30-181,1990,28.0,1.50,0.14,0.07,0.25,0.07,1.40,0.28,-0.03,-0.03,9.43,18.8,50.3,23.4,3.75,53.4,40.8,8.68,72.4,53.4,11.6,0.75,6.5,0.54,0.54,0.46,Matches
44,Gianluigi Donnarumma\Gianluigi-Donnarumma,it ITA,GK,Milan,it Serie A,22-069,1999,33.0,1.15,0.06,0.06,0.21,0.03,1.15,0.30,0.03,+0.03,4.58,11.1,41.4,27.7,3.91,31.8,31.9,5.76,38.9,34.2,8.82,0.79,8.9,0.55,0.55,0.43,Matches
45,Bartłomiej Drągowski\Bartlomiej-Dragowski,pl POL,GK,Fiorentina,it Serie A,23-259,1997,33.5,1.64,0.24,0.03,0.30,0.03,1.58,0.35,-0.03,-0.03,6.39,15.8,40.5,22.9,4.72,51.2,41.4,7.37,55.1,44.2,9.49,0.66,6.9,0.48,0.48,0.43,Matches
46,Matthieu Dreyer\Matthieu-Dreyer,fr FRA,GK,Lorient,fr Ligue 1,32-046,1989,15.0,1.67,0.40,0.07,0.20,0.07,1.37,0.32,-0.23,-0.23,5.07,13.4,37.8,16.9,2.87,48.6,40.4,7.20,72.2,48.6,7.40,0.47,6.3,0.40,0.40,0.85,Matches
47,Martin Dúbravka\Martin-Dubravka,sk SVK,GK,Newcastle Utd,eng Premier League,32-110,1989,9.0,1.44,0.11,0.00,0.00,0.11,1.48,0.29,0.14,+0.14,6.11,15.1,40.4,24.0,5.00,38.9,37.5,9.22,62.7,50.0,11.7,0.89,7.6,0.56,0.56,1.48,Matches
48,Ederson\Ederson,br BRA,GK,Manchester City,eng Premier League,27-261,1993,33.0,0.70,0.21,0.00,0.06,0.03,0.75,0.26,0.08,+0.08,3.88,8.12,47.8,25.6,4.12,23.8,31.2,4.30,47.2,43.7,4.97,0.36,7.3,0.64,0.64,0.48,Matches
49,Aarón Escandell\Aaron-Escandell,es ESP,GK,Granada,es La Liga,25-220,1995,2.0,1.00,0.00,0.00,0.00,0.00,1.40,0.40,0.40,+0.41,6.00,20.5,29.3,21.5,4.50,67.4,50.3,8.00,75.0,62.4,10.5,1.50,14.3,2.00,2.00,8.35,Matches
50,Łukasz Fabiański\Lukasz-Fabianski,pl POL,GK,West Ham,eng Premier League,36-017,1985,32.0,1.31,0.09,0.00,0.13,0.13,1.31,0.32,0.12,+0.12,7.84,19.0,41.4,20.9,3.91,61.5,46.2,7.72,79.4,56.7,10.6,0.78,7.4,0.28,0.28,0.38,Matches
51,Ralf Fährmann\Ralf-Fahrmann,de GER,GK,Schalke 04,de Bundesliga,32-220,1988,16.8,2.38,0.18,0.00,0.30,0.12,1.96,0.29,-0.30,-0.30,6.13,17.7,34.7,31.0,5.18,39.4,35.9,8.63,63.4,47.0,9.58,0.60,6.2,0.89,0.89,0.87,Matches
52,Wuilker Faríñez\Wuilker-Farinez,ve VEN,GK,Lens,fr Ligue 1,23-079,1998,1.2,2.50,0.83,0.00,0.83,0.00,3.50,0.53,1.00,+0.97,1.67,9.17,18.2,15.0,2.50,44.4,40.9,7.50,33.3,29.9,7.50,0.00,0.0,0.83,0.84,11.5,Matches
