,,,,,,,,,Goals,,,,,Expected,,,,Launched,,,Passes,,,,Goal Kicks,,,Crosses,,,Sweeper,,,
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
163,Marco Silvestri\Marco-Silvestri,it ITA,GK,Hellas Verona,it Serie A,30-064,1991,34.0,1.24,0.18,0.03,0.21,0.06,1.10,0.26,-0.07,-0.07,6.24,21.9,28.4,21.4,2.32,68.6,47.0,8.09,89.8,58.9,8.47,0.29,3.5,0.38,0.38,0.39,Matches
164,Unai Simón\Unai-Simon,es ESP,GK,Athletic Club,es La Liga,23-328,1997,34.0,1.06,0.15,0.03,0.21,0.03,0.95,0.29,-0.08,-0.08,6.56,14.5,45.1,21.5,5.18,43.0,39.2,6.94,75.8,57.6,9.71,0.59,6.1,0.56,0.56,0.41,Matches
165,Tobias Sippel\Tobias-Sippel,de GER,GK,M'Gladbach,de Bundesliga,33-044,1988,3.8,1.58,0.00,0.00,0.53,0.00,1.87,0.37,0.29,+0.29,9.74,22.6,43.0,26.6,3.16,51.5,42.9,12.1,73.9,58.0,14.7,0.79,5.4,1.05,1.05,4.21,Matches
166,Salvatore Sirigu\Salvatore-Sirigu,it ITA,GK,Torino,it Serie A,34-113,1987,28.0,1.79,0.21,0.04,0.18,0.04,1.31,0.32,-0.44,-0.44,5.86,13.7,42.8,23.1,3.25,41.8,35.4,8.29,48.3,37.7,9.29,0.57,6.2,0.46,0.46,0.46,Matches
167,Łukasz Skorupski\Lukasz-Skorupski,pl POL,GK,Bologna,it Serie A,30-000,1991,26.0,1.58,0.19,0.04,0.31,0.04,1.58,0.28,0.04,+0.04,4.15,11.5,36.2,26.3,5.73,34.1,33.4,8.23,30.4,26.5,8.85,0.92,10.4,0.46,0.46,0.50,Matches
168,Yann Sommer\Yann-Sommer,ch SUI,GK,M'Gladbach,de Bundesliga,32-139,1988,27.1,1.48,0.18,0.00,0.15,0.00,1.32,0.31,-0.16,-0.16,6.01,12.9,46.6,34.4,4.10,31.7,31.8,6.97,28.6,30.1,8.01,0.44,5.5,0.63,0.63,0.49,Matches
169,David Soria\David-Soria,es ESP,GK,Getafe,es La Liga,28-031,1993,25.0,1.12,0.20,0.00,0.16,0.12,1.14,0.34,0.14,+0.14,10.4,26.8,38.7,23.6,0.52,87.3,58.6,7.16,86.0,58.5,7.68,0.72,9.4,1.36,1.36,0.66,Matches
170,Marco Sportiello\Marco-Sportiello,it ITA,GK,Atalanta,it Serie A,28-360,1992,13.0,1.46,0.08,0.00,0.15,0.00,1.15,0.28,-0.32,-0.32,3.77,8.31,45.4,23.5,4.85,24.5,30.3,4.08,62.3,48.6,6.23,0.46,7.4,1.08,1.08,1.32,Matches
171,Zack Steffen\Zack-Steffen,us USA,GK,Manchester City,eng Premier League,26-033,1995,1.0,1.00,0.00,0.00,0.00,0.00,0.60,0.32,-0.40,-0.37,2.00,6.00,33.3,20.0,4.00,25.0,31.1,8.00,12.5,20.5,10.0,0.00,0.0,0.00,0.00,7.00,Matches
172,Thomas Strakosha\Thomas-Strakosha,al ALB,GK,Lazio,it Serie A,26-047,1995,6.0,2.00,0.17,0.00,0.17,0.00,1.77,0.36,-0.23,-0.23,6.83,14.3,47.7,36.7,5.83,36.8,32.3,5.33,15.6,26.0,10.2,0.67,6.6,0.17,0.17,1.95,Matches
173,Wojciech Szczęsny\Wojciech-Szczesny,pl POL,GK,Juventus,it Serie A,31-017,1990,27.0,1.00,0.11,0.00,0.15,0.04,0.96,0.26,-0.01,-0.01,3.52,6.22,56.5,27.3,4.37,19.6,28.7,6.22,14.3,23.7,8.26,0.56,6.7,0.81,0.81,0.53,Matches
174,Ciprian Tătărușanu\Ciprian-Tatarusanu,ro ROU,GK,Milan,it Serie A,35-085,1986,1.0,3.00,1.00,0.00,2.00,0.00,2.90,0.35,-0.10,-0.05,2.00,5.00,40.0,23.0,7.00,13.0,21.8,4.00,50.0,30.8,3.00,1.00,33.3,0.00,0.00,8.10,Matches
175,Marc-André ter Stegen\Marc-Andre-ter-Stegen,de GER,GK,Barcelona,es La Liga,29-005,1992,28.0,0.96,0.11,0.04,0.14,0.07,0.94,0.28,0.05,+0.05,4.54,7.79,58.3,28.4,4.79,21.9,29.0,5.29,29.7,31.8,5.68,0.68,11.9,0.79,0.79,0.62,Matches
176,Pietro Terracciano\Pietro-Terracciano,it ITA,GK,Fiorentina,it Serie A,31-058,1990,0.5,4.00,0.00,0.00,2.00,0.00,3.00,0.73,-1.00,-1.02,16.0,30.0,53.3,24.0,4.00,83.3,51.3,12.0,83.3,51.2,10.0,0.00,0.0,0.00,0.00,15.4,Matches
177,Kevin Trapp\Kevin-Trapp,de GER,GK,Eint Frankfurt,de Bundesliga,30-301,1990,31.0,1.52,0.13,0.03,0.23,0.06,1.32,0.28,-0.14,-0.13,8.23,20.4,40.3,33.5,4.94,47.8,38.6,8.13,54.0,44.7,8.90,0.74,8.3,0.74,0.74,0.48,Matches
178,Tomáš Vaclík\Tomas-Vaclik,cz CZE,GK,Sevilla,es La Liga,32-037,1989,4.0,1.25,0.00,0.00,0.00,0.00,0.82,0.28,-0.42,-0.41,4.00,8.75,45.7,25.8,4.25,29.1,30.4,3.75,33.3,29.9,8.00,0.25,3.1,0.75,0.75,3.70,Matches
179,Koke Vegas\Koke-Vegas,es ESP,GK,Levante,es La Liga,25-220,1995,1.0,2.00,0.00,0.00,0.00,0.00,2.60,0.64,0.60,+0.56,2.00,11.0,18.2,18.0,4.00,44.4,37.7,11.0,27.3,30.5,7.00,0.00,0.0,1.00,1.00,18.8,Matches
180,Guglielmo Vicario\Guglielmo-Vicario,it ITA,GK,Cagliari,it Serie A,24-210,1996,4.0,1.50,0.00,0.00,0.50,0.00,1.25,0.24,-0.25,-0.25,6.75,15.3,44.3,20.5,3.75,50.0,40.6,6.25,80.0,55.8,10.0,0.50,5.0,0.00,0.00,2.63,Matches
181,Iván Villar\Ivan-Villar,es ESP,GK,Celta Vigo,es La Liga,23-300,1997,15.8,1.52,0.25,0.00,0.06,0.06,1.30,0.32,-0.16,-0.16,4.94,17.7,28.0,25.1,3.99,49.0,40.5,8.16,65.9,50.8,10.4,1.08,10.4,0.95,0.95,1.02,Matches
182,João Virgínia\Joao-Virginia,pt POR,GK,Everton,eng Premier League,21-207,1999,0.5,0.00,0.00,0.00,0.00,0.00,0.40,0.07,0.40,+0.39,6.00,22.0,27.3,26.0,6.00,61.5,50.9,8.00,75.0,54.5,4.00,0.00,0.0,0.00,0.00,42.0,Matches
183,Rubén Yáñez\Ruben-Yanez,es ESP,GK,Getafe,es La Liga,27-205,1993,9.0,1.33,0.11,0.00,0.00,0.00,1.23,0.36,-0.10,-0.10,8.67,20.1,43.1,20.8,2.78,71.1,48.7,6.44,82.8,60.0,7.44,0.56,7.5,0.56,0.56,1.62,Matches
184,Yoel\Yoel,es ESP,GK,Eibar,es La Liga,32-250,1988,2.3,0.87,0.00,0.00,0.00,0.00,0.48,0.56,-0.39,-0.38,12.6,23.0,54.7,32.2,10.0,59.5,44.4,3.91,100.0,70.3,2.61,0.43,16.7,2.61,2.57,8.00,Matches
185,Robin Zentner\Robin-Zentner,de GER,GK,Mainz 05,de Bundesliga,26-189,1994,30.0,1.50,0.17,0.03,0.13,0.03,1.31,0.27,-0.15,-0.15,5.23,15.7,33.3,26.9,6.47,42.1,39.0,7.87,55.9,47.2,9.30,0.93,10.0,0.63,0.63,0.47,Matches
186,Ron-Robert Zieler\Ron-Robert-Zieler,de GER,GK,Köln,de Bundesliga,32-082,1989,0.6,1.67,1.67,0.00,0.00,0.00,1.17,0.01,-0.50,-0.46,10.0,18.3,54.5,28.3,6.67,35.3,35.0,10.0,83.3,49.7,16.7,0.00,0.0,0.00,0.00,19.7,Matches
187,Jeroen Zoet\Jeroen-Zoet,nl NED,GK,Spezia,it Serie A,30-119,1991,5.7,1.93,0.35,0.00,0.35,0.00,1.82,0.34,-0.11,-0.11,8.77,18.1,48.5,42.1,6.67,39.2,36.8,4.56,34.6,35.2,7.54,0.70,9.3,1.05,1.05,2.67,Matches
